           N LOWER =  2  N UPPER=  6  WAVELENGTH (angstroms)=  4102.94
                electronic density(1/cm**3)       1.000E+11
                conversion factor for wlengths=f0 2.696E-02
                wings factor                  =   1.944E-02

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.224E-01                8.654E-02                6.119E-02
width Stark         1.123E-01                1.023E-01                9.181E-02
width incl.Dop.     2.785E+00                3.877E+00                5.503E+00

  0.000E+00  1.709E-01 ( 3.428E+00 )  1.213E-01 ( 3.672E+00 )  8.596E-02 ( 4.054E+00 )
  3.981E-03  1.709E-01 ( 3.424E+00 )  1.213E-01 ( 3.667E+00 )  8.596E-02 ( 4.047E+00 )
  6.310E-03  1.709E-01 ( 3.417E+00 )  1.213E-01 ( 3.658E+00 )  8.596E-02 ( 4.036E+00 )
  1.000E-02  1.709E-01 ( 3.400E+00 )  1.213E-01 ( 3.638E+00 )  8.596E-02 ( 4.008E+00 )
  1.585E-02  1.709E-01 ( 3.357E+00 )  1.213E-01 ( 3.586E+00 )  8.596E-02 ( 3.943E+00 )
  2.512E-02  1.709E-01 ( 3.267E+00 )  1.213E-01 ( 3.474E+00 )  8.596E-02 ( 3.788E+00 )
  3.981E-02  1.709E-01 ( 3.059E+00 )  1.213E-01 ( 3.220E+00 )  8.596E-02 ( 3.446E+00 )
  6.310E-02  1.709E-01 ( 2.629E+00 )  1.213E-01 ( 2.705E+00 )  8.595E-02 ( 2.784E+00 )
  1.000E-01  1.708E-01 ( 1.896E+00 )  1.212E-01 ( 1.872E+00 )  8.594E-02 ( 1.811E+00 )
  1.585E-01  1.705E-01 ( 1.031E+00 )  1.212E-01 ( 9.706E-01 )  8.591E-02 ( 8.856E-01 )
  2.512E-01  1.699E-01 ( 4.178E-01 )  1.209E-01 ( 3.856E-01 )  8.584E-02 ( 3.451E-01 )
  3.981E-01  1.684E-01 ( 1.420E-01 )  1.204E-01 ( 1.320E-01 )  8.565E-02 ( 1.197E-01 )
  6.310E-01  1.648E-01 ( 4.519E-02 )  1.191E-01 ( 4.256E-02 )  8.517E-02 ( 3.947E-02 )
  1.000E+00  1.559E-01 ( 1.427E-02 )  1.158E-01 ( 1.354E-02 )  8.399E-02 ( 1.277E-02 )
  1.585E+00  1.357E-01 ( 4.400E-03 )  1.080E-01 ( 4.158E-03 )  8.110E-02 ( 4.110E-03 )
  2.512E+00  9.581E-02 ( 1.437E-03 )  9.064E-02 ( 1.349E-03 )  7.427E-02 ( 1.274E-03 )
  3.981E+00  4.005E-02 ( 4.742E-04 )  5.837E-02 ( 4.429E-04 )  5.955E-02 ( 4.158E-04 )
  6.310E+00  4.622E-03 ( 1.571E-04 )  1.937E-02 ( 1.463E-04 )  3.419E-02 ( 1.367E-04 )
  1.000E+01  8.703E-05 ( 5.209E-05 )  1.269E-03 ( 4.848E-05 )  8.510E-03 ( 4.517E-05 )
  1.585E+01  1.896E-05 ( 1.724E-05 )  2.110E-05 ( 1.608E-05 )  2.777E-04 ( 1.496E-05 )
  2.512E+01  5.889E-06 ( 5.682E-06 )  5.737E-06 ( 5.328E-06 )  5.881E-06 ( 4.962E-06 )
  3.981E+01  1.888E-06 ( 1.862E-06 )  1.810E-06 ( 1.760E-06 )  1.743E-06 ( 1.645E-06 )
  6.310E+01  6.094E-07 ( 6.060E-07 )  5.851E-07 ( 5.787E-07 )  5.567E-07 ( 5.446E-07 )
  1.000E+02  1.960E-07 ( 1.956E-07 )  1.899E-07 ( 1.891E-07 )  1.811E-07 ( 1.796E-07 )
  1.585E+02  6.157E-08 ( 6.151E-08 )  6.140E-08 ( 6.129E-08 )  5.909E-08 ( 5.888E-08 )
