           N LOWER =  2  N UPPER= 13  WAVELENGTH (angstroms)=  3735.47
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   1.798E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         8.821E-01                9.235E-01                9.464E-01
width incl.Dop.     8.821E-01                9.235E-01                9.464E-01

  0.000E+00  4.625E-01 ( 4.625E-01 )  4.425E-01 ( 4.425E-01 )  4.320E-01 ( 4.320E-01 )
  2.512E-02  4.611E-01 ( 4.611E-01 )  4.414E-01 ( 4.414E-01 )  4.310E-01 ( 4.310E-01 )
  3.981E-02  4.603E-01 ( 4.603E-01 )  4.408E-01 ( 4.408E-01 )  4.304E-01 ( 4.304E-01 )
  6.310E-02  4.591E-01 ( 4.591E-01 )  4.398E-01 ( 4.398E-01 )  4.296E-01 ( 4.296E-01 )
  1.000E-01  4.571E-01 ( 4.571E-01 )  4.381E-01 ( 4.381E-01 )  4.282E-01 ( 4.282E-01 )
  1.585E-01  4.509E-01 ( 4.509E-01 )  4.329E-01 ( 4.329E-01 )  4.236E-01 ( 4.236E-01 )
  2.512E-01  4.360E-01 ( 4.360E-01 )  4.206E-01 ( 4.206E-01 )  4.126E-01 ( 4.126E-01 )
  3.981E-01  4.004E-01 ( 4.004E-01 )  3.904E-01 ( 3.904E-01 )  3.851E-01 ( 3.851E-01 )
  6.310E-01  3.204E-01 ( 3.204E-01 )  3.197E-01 ( 3.197E-01 )  3.190E-01 ( 3.190E-01 )
  1.000E+00  1.894E-01 ( 1.894E-01 )  1.955E-01 ( 1.955E-01 )  1.985E-01 ( 1.985E-01 )
  1.585E+00  7.488E-02 ( 7.488E-02 )  7.850E-02 ( 7.850E-02 )  8.037E-02 ( 8.037E-02 )
  2.512E+00  2.323E-02 ( 2.323E-02 )  2.403E-02 ( 2.403E-02 )  2.447E-02 ( 2.447E-02 )
  3.981E+00  6.865E-03 ( 6.865E-03 )  6.970E-03 ( 6.970E-03 )  7.032E-03 ( 7.032E-03 )
  6.310E+00  1.984E-03 ( 1.984E-03 )  1.992E-03 ( 1.992E-03 )  1.997E-03 ( 1.997E-03 )
  1.000E+01  6.097E-04 ( 6.097E-04 )  6.110E-04 ( 6.110E-04 )  6.117E-04 ( 6.117E-04 )
  1.585E+01  1.919E-04 ( 1.919E-04 )  1.921E-04 ( 1.921E-04 )  1.922E-04 ( 1.922E-04 )
  2.512E+01  6.193E-05 ( 6.193E-05 )  6.196E-05 ( 6.196E-05 )  6.198E-05 ( 6.198E-05 )
  3.981E+01  2.041E-05 ( 2.041E-05 )  2.041E-05 ( 2.041E-05 )  2.042E-05 ( 2.042E-05 )
  6.310E+01  6.910E-06 ( 6.910E-06 )  6.910E-06 ( 6.910E-06 )  6.912E-06 ( 6.912E-06 )
  1.000E+02  2.431E-06 ( 2.431E-06 )  2.431E-06 ( 2.431E-06 )  2.431E-06 ( 2.431E-06 )
  1.585E+02  9.042E-07 ( 9.042E-07 )  9.042E-07 ( 9.042E-07 )  9.042E-07 ( 9.042E-07 )
  2.512E+02  3.623E-07 ( 3.623E-07 )  3.623E-07 ( 3.623E-07 )  3.623E-07 ( 3.623E-07 )
  3.981E+02  1.572E-07 ( 1.572E-07 )  1.572E-07 ( 1.572E-07 )  1.572E-07 ( 1.572E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.660E-01                1.175E-01                8.318E-02
width Stark         9.501E-01                9.367E-01                9.098E-01
width incl.Dop.     9.501E-01                9.367E-01                9.098E-01

  0.000E+00  4.296E-01 ( 4.296E-01 )  4.346E-01 ( 4.346E-01 )  4.464E-01 ( 4.464E-01 )
  2.512E-02  4.287E-01 ( 4.287E-01 )  4.337E-01 ( 4.337E-01 )  4.456E-01 ( 4.456E-01 )
  3.981E-02  4.282E-01 ( 4.282E-01 )  4.332E-01 ( 4.332E-01 )  4.451E-01 ( 4.451E-01 )
  6.310E-02  4.274E-01 ( 4.274E-01 )  4.325E-01 ( 4.325E-01 )  4.443E-01 ( 4.443E-01 )
  1.000E-01  4.261E-01 ( 4.261E-01 )  4.313E-01 ( 4.313E-01 )  4.430E-01 ( 4.430E-01 )
  1.585E-01  4.218E-01 ( 4.218E-01 )  4.268E-01 ( 4.268E-01 )  4.380E-01 ( 4.380E-01 )
  2.512E-01  4.111E-01 ( 4.111E-01 )  4.156E-01 ( 4.156E-01 )  4.255E-01 ( 4.255E-01 )
  3.981E-01  3.842E-01 ( 3.842E-01 )  3.871E-01 ( 3.871E-01 )  3.936E-01 ( 3.936E-01 )
  6.310E-01  3.186E-01 ( 3.186E-01 )  3.184E-01 ( 3.184E-01 )  3.188E-01 ( 3.188E-01 )
  1.000E+00  1.985E-01 ( 1.985E-01 )  1.963E-01 ( 1.963E-01 )  1.923E-01 ( 1.923E-01 )
  1.585E+00  8.067E-02 ( 8.067E-02 )  7.944E-02 ( 7.944E-02 )  7.668E-02 ( 7.668E-02 )
  2.512E+00  2.455E-02 ( 2.455E-02 )  2.425E-02 ( 2.425E-02 )  2.354E-02 ( 2.354E-02 )
  3.981E+00  7.053E-03 ( 7.053E-03 )  7.013E-03 ( 7.013E-03 )  6.892E-03 ( 6.892E-03 )
  6.310E+00  2.000E-03 ( 2.000E-03 )  2.000E-03 ( 2.000E-03 )  2.064E-03 ( 2.064E-03 )
  1.000E+01  6.121E-04 ( 6.121E-04 )  6.124E-04 ( 6.124E-04 )  6.154E-04 ( 6.154E-04 )
  1.585E+01  1.922E-04 ( 1.922E-04 )  1.923E-04 ( 1.923E-04 )  1.923E-04 ( 1.923E-04 )
  2.512E+01  6.198E-05 ( 6.198E-05 )  6.199E-05 ( 6.199E-05 )  6.199E-05 ( 6.199E-05 )
  3.981E+01  2.042E-05 ( 2.042E-05 )  2.042E-05 ( 2.042E-05 )  2.042E-05 ( 2.042E-05 )
  6.310E+01  6.912E-06 ( 6.912E-06 )  6.912E-06 ( 6.912E-06 )  6.913E-06 ( 6.913E-06 )
  1.000E+02  2.431E-06 ( 2.431E-06 )  2.431E-06 ( 2.431E-06 )  2.431E-06 ( 2.431E-06 )
  1.585E+02  9.042E-07 ( 9.042E-07 )  9.042E-07 ( 9.042E-07 )  9.042E-07 ( 9.042E-07 )
  2.512E+02  3.623E-07 ( 3.623E-07 )  3.623E-07 ( 3.623E-07 )  3.623E-07 ( 3.623E-07 )
  3.981E+02  1.572E-07 ( 1.572E-07 )  1.572E-07 ( 1.572E-07 )  1.572E-07 ( 1.572E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            5.889E-02                4.169E-02                2.951E-02
width Stark         8.744E-01                8.350E-01                7.941E-01
width incl.Dop.     8.793E-01                8.458E-01                8.187E-01

  0.000E+00  4.618E-01 ( 4.639E-01 )  4.806E-01 ( 4.859E-01 )  4.980E-01 ( 5.109E-01 )
  2.512E-02  4.616E-01 ( 4.630E-01 )  4.804E-01 ( 4.847E-01 )  4.976E-01 ( 5.095E-01 )
  3.981E-02  4.613E-01 ( 4.624E-01 )  4.799E-01 ( 4.841E-01 )  4.971E-01 ( 5.087E-01 )
  6.310E-02  4.604E-01 ( 4.616E-01 )  4.789E-01 ( 4.831E-01 )  4.958E-01 ( 5.075E-01 )
  1.000E-01  4.582E-01 ( 4.602E-01 )  4.762E-01 ( 4.814E-01 )  4.926E-01 ( 5.055E-01 )
  1.585E-01  4.526E-01 ( 4.544E-01 )  4.694E-01 ( 4.745E-01 )  4.846E-01 ( 4.971E-01 )
  2.512E-01  4.379E-01 ( 4.396E-01 )  4.522E-01 ( 4.568E-01 )  4.648E-01 ( 4.758E-01 )
  3.981E-01  4.007E-01 ( 4.027E-01 )  4.101E-01 ( 4.135E-01 )  4.183E-01 ( 4.252E-01 )
  6.310E-01  3.197E-01 ( 3.195E-01 )  3.202E-01 ( 3.201E-01 )  3.212E-01 ( 3.204E-01 )
  1.000E+00  1.877E-01 ( 1.868E-01 )  1.830E-01 ( 1.804E-01 )  1.792E-01 ( 1.734E-01 )
  1.585E+00  7.355E-02 ( 7.297E-02 )  6.989E-02 ( 6.867E-02 )  6.663E-02 ( 6.420E-02 )
  2.512E+00  2.257E-02 ( 2.247E-02 )  2.133E-02 ( 2.115E-02 )  2.008E-02 ( 1.972E-02 )
  3.981E+00  6.685E-03 ( 6.674E-03 )  6.377E-03 ( 6.355E-03 )  6.019E-03 ( 5.977E-03 )
  6.310E+00  2.029E-03 ( 2.028E-03 )  1.964E-03 ( 1.962E-03 )  1.877E-03 ( 1.872E-03 )
  1.000E+01  6.308E-04 ( 6.306E-04 )  6.189E-04 ( 6.186E-04 )  5.992E-04 ( 5.986E-04 )
  1.585E+01  1.931E-04 ( 1.931E-04 )  1.957E-04 ( 1.957E-04 )  1.916E-04 ( 1.915E-04 )
  2.512E+01  6.200E-05 ( 6.199E-05 )  6.218E-05 ( 6.218E-05 )  6.281E-05 ( 6.280E-05 )
  3.981E+01  2.042E-05 ( 2.042E-05 )  2.042E-05 ( 2.042E-05 )  2.049E-05 ( 2.049E-05 )
  6.310E+01  6.913E-06 ( 6.913E-06 )  6.913E-06 ( 6.913E-06 )  6.913E-06 ( 6.913E-06 )
  1.000E+02  2.431E-06 ( 2.431E-06 )  2.431E-06 ( 2.431E-06 )  2.431E-06 ( 2.431E-06 )
  1.585E+02  9.042E-07 ( 9.042E-07 )  9.042E-07 ( 9.042E-07 )  9.042E-07 ( 9.042E-07 )
  2.512E+02  3.623E-07 ( 3.623E-07 )  3.623E-07 ( 3.623E-07 )  3.623E-07 ( 3.623E-07 )
  3.981E+02  1.572E-07 ( 1.572E-07 )  1.572E-07 ( 1.572E-07 )  1.572E-07 ( 1.572E-07 )

T(K)                1.259E+06
RO/Debye            2.089E-02
width Stark         4.589E-02
width incl.Dop.     8.400E-02

  0.000E+00  5.079E-01 ( 5.381E-01 )
  2.512E-02  5.075E-01 ( 5.365E-01 )
  3.981E-02  5.069E-01 ( 5.355E-01 )
  6.310E-02  5.055E-01 ( 5.340E-01 )
  1.000E-01  5.020E-01 ( 5.316E-01 )
  1.585E-01  4.933E-01 ( 5.214E-01 )
  2.512E-01  4.721E-01 ( 4.962E-01 )
  3.981E-01  4.230E-01 ( 4.373E-01 )
  6.310E-01  3.233E-01 ( 3.200E-01 )
  1.000E+00  1.785E-01 ( 1.659E-01 )
  1.585E+00  6.456E-02 ( 5.970E-02 )
  2.512E+00  1.899E-02 ( 1.831E-02 )
  3.981E+00  5.664E-03 ( 5.587E-03 )
  6.310E+00  1.769E-03 ( 1.760E-03 )
  1.000E+01  5.695E-04 ( 5.684E-04 )
  1.585E+01  1.844E-04 ( 1.842E-04 )
  2.512E+01  6.117E-05 ( 6.115E-05 )
  3.981E+01  2.056E-05 ( 2.056E-05 )
  6.310E+01  6.931E-06 ( 6.931E-06 )
  1.000E+02  2.433E-06 ( 2.433E-06 )
  1.585E+02  9.047E-07 ( 9.047E-07 )
  2.512E+02  3.623E-07 ( 3.623E-07 )
  3.981E+02  1.572E-07 ( 1.572E-07 )
  6.310E+02  7.970E-08 ( 7.970E-08 )
