           N LOWER =  2  N UPPER= 23  WAVELENGTH (angstroms)=  3674.84
                electronic density(1/cm**3)       1.000E+12
                conversion factor for wlengths=f0 1.251E-01
                wings factor                  =   9.557E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.796E-01                1.270E-01                8.982E-02
width Stark         3.046E+00                3.028E+00                2.953E+00
width incl.Dop.     3.094E+00                3.122E+00                3.157E+00

  0.000E+00  1.366E-01 ( 1.384E-01 )  1.353E-01 ( 1.388E-01 )  1.339E-01 ( 1.415E-01 )
  3.981E-02  1.366E-01 ( 1.383E-01 )  1.353E-01 ( 1.388E-01 )  1.339E-01 ( 1.414E-01 )
  6.310E-02  1.366E-01 ( 1.383E-01 )  1.353E-01 ( 1.387E-01 )  1.338E-01 ( 1.414E-01 )
  1.000E-01  1.365E-01 ( 1.382E-01 )  1.352E-01 ( 1.387E-01 )  1.338E-01 ( 1.414E-01 )
  1.585E-01  1.364E-01 ( 1.381E-01 )  1.351E-01 ( 1.386E-01 )  1.336E-01 ( 1.413E-01 )
  2.512E-01  1.361E-01 ( 1.376E-01 )  1.347E-01 ( 1.382E-01 )  1.333E-01 ( 1.408E-01 )
  3.981E-01  1.352E-01 ( 1.367E-01 )  1.339E-01 ( 1.372E-01 )  1.324E-01 ( 1.399E-01 )
  6.310E-01  1.330E-01 ( 1.346E-01 )  1.317E-01 ( 1.351E-01 )  1.301E-01 ( 1.376E-01 )
  1.000E+00  1.277E-01 ( 1.293E-01 )  1.263E-01 ( 1.297E-01 )  1.246E-01 ( 1.317E-01 )
  1.585E+00  1.143E-01 ( 1.157E-01 )  1.131E-01 ( 1.157E-01 )  1.117E-01 ( 1.166E-01 )
  2.512E+00  8.507E-02 ( 8.489E-02 )  8.480E-02 ( 8.453E-02 )  8.450E-02 ( 8.372E-02 )
  3.981E+00  4.281E-02 ( 4.178E-02 )  4.355E-02 ( 4.153E-02 )  4.453E-02 ( 4.056E-02 )
  6.310E+00  1.400E-02 ( 1.367E-02 )  1.428E-02 ( 1.362E-02 )  1.465E-02 ( 1.330E-02 )
  1.000E+01  3.916E-03 ( 3.877E-03 )  3.952E-03 ( 3.871E-03 )  3.985E-03 ( 3.824E-03 )
  1.585E+01  1.067E-03 ( 1.063E-03 )  1.123E-03 ( 1.114E-03 )  1.128E-03 ( 1.111E-03 )
  2.512E+01  3.200E-04 ( 3.196E-04 )  3.216E-04 ( 3.206E-04 )  3.227E-04 ( 3.206E-04 )
  3.981E+01  9.793E-05 ( 9.787E-05 )  9.866E-05 ( 9.856E-05 )  9.883E-05 ( 9.862E-05 )
  6.310E+01  3.067E-05 ( 3.066E-05 )  3.069E-05 ( 3.068E-05 )  3.071E-05 ( 3.068E-05 )
  1.000E+02  9.676E-06 ( 9.675E-06 )  9.677E-06 ( 9.675E-06 )  9.678E-06 ( 9.675E-06 )
  1.585E+02  3.063E-06 ( 3.063E-06 )  3.063E-06 ( 3.063E-06 )  3.064E-06 ( 3.064E-06 )
  2.512E+02  9.741E-07 ( 9.741E-07 )  9.741E-07 ( 9.741E-07 )  9.741E-07 ( 9.741E-07 )
