           N LOWER =  2  N UPPER= 24  WAVELENGTH (angstroms)=  3672.56
                electronic density(1/cm**3)       1.000E+12
                conversion factor for wlengths=f0 1.251E-01
                wings factor                  =   1.084E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.796E-01                1.270E-01                8.982E-02
width Stark         3.326E+00                3.315E+00                3.250E+00
width incl.Dop.     3.365E+00                3.393E+00                3.417E+00

  0.000E+00  1.250E-01 ( 1.263E-01 )  1.238E-01 ( 1.264E-01 )  1.229E-01 ( 1.285E-01 )
  3.981E-02  1.250E-01 ( 1.262E-01 )  1.238E-01 ( 1.264E-01 )  1.229E-01 ( 1.285E-01 )
  6.310E-02  1.249E-01 ( 1.262E-01 )  1.238E-01 ( 1.263E-01 )  1.229E-01 ( 1.285E-01 )
  1.000E-01  1.249E-01 ( 1.261E-01 )  1.238E-01 ( 1.263E-01 )  1.229E-01 ( 1.284E-01 )
  1.585E-01  1.248E-01 ( 1.260E-01 )  1.237E-01 ( 1.262E-01 )  1.228E-01 ( 1.283E-01 )
  2.512E-01  1.245E-01 ( 1.257E-01 )  1.234E-01 ( 1.259E-01 )  1.225E-01 ( 1.280E-01 )
  3.981E-01  1.239E-01 ( 1.250E-01 )  1.228E-01 ( 1.252E-01 )  1.218E-01 ( 1.273E-01 )
  6.310E-01  1.223E-01 ( 1.234E-01 )  1.211E-01 ( 1.236E-01 )  1.201E-01 ( 1.256E-01 )
  1.000E+00  1.182E-01 ( 1.194E-01 )  1.171E-01 ( 1.197E-01 )  1.159E-01 ( 1.214E-01 )
  1.585E+00  1.081E-01 ( 1.092E-01 )  1.071E-01 ( 1.094E-01 )  1.058E-01 ( 1.103E-01 )
  2.512E+00  8.467E-02 ( 8.488E-02 )  8.417E-02 ( 8.459E-02 )  8.359E-02 ( 8.414E-02 )
  3.981E+00  4.649E-02 ( 4.568E-02 )  4.705E-02 ( 4.548E-02 )  4.768E-02 ( 4.458E-02 )
  6.310E+00  1.615E-02 ( 1.580E-02 )  1.649E-02 ( 1.578E-02 )  1.687E-02 ( 1.544E-02 )
  1.000E+01  4.547E-03 ( 4.501E-03 )  4.595E-03 ( 4.500E-03 )  4.638E-03 ( 4.449E-03 )
  1.585E+01  1.287E-03 ( 1.282E-03 )  1.294E-03 ( 1.284E-03 )  1.299E-03 ( 1.279E-03 )
  2.512E+01  3.664E-04 ( 3.658E-04 )  3.672E-04 ( 3.660E-04 )  3.686E-04 ( 3.662E-04 )
  3.981E+01  1.123E-04 ( 1.122E-04 )  1.123E-04 ( 1.122E-04 )  1.125E-04 ( 1.123E-04 )
  6.310E+01  3.485E-05 ( 3.484E-05 )  3.486E-05 ( 3.485E-05 )  3.488E-05 ( 3.485E-05 )
  1.000E+02  1.098E-05 ( 1.098E-05 )  1.099E-05 ( 1.098E-05 )  1.099E-05 ( 1.098E-05 )
  1.585E+02  3.476E-06 ( 3.476E-06 )  3.476E-06 ( 3.476E-06 )  3.477E-06 ( 3.477E-06 )
  2.512E+02  1.105E-06 ( 1.105E-06 )  1.105E-06 ( 1.105E-06 )  1.105E-06 ( 1.105E-06 )
  3.981E+02  3.524E-07 ( 3.524E-07 )  3.524E-07 ( 3.524E-07 )  3.524E-07 ( 3.524E-07 )
  6.310E+02  1.132E-07 ( 1.132E-07 )  1.132E-07 ( 1.132E-07 )  1.132E-07 ( 1.132E-07 )
  1.000E+03  3.670E-08 ( 3.670E-08 )  3.670E-08 ( 3.670E-08 )  3.670E-08 ( 3.670E-08 )
  1.585E+03  1.207E-08 ( 1.207E-08 )  1.207E-08 ( 1.207E-08 )  1.207E-08 ( 1.207E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
