           N LOWER =  1  N UPPER=  2  WAVELENGTH (angstroms)=  1215.68
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   6.731E-06

T(K)                                                                  7.943E+04
RO/Debye                                                              5.667E-01
width Stark                                                           2.536E-04
width incl.Dop.                                                       2.536E-04

  0.000E+00                                                    1.102E+03 ( 1.102E+03 )
  2.512E-05                                                    1.092E+03 ( 1.092E+03 )
  3.981E-05                                                    1.072E+03 ( 1.072E+03 )
  6.310E-05                                                    1.033E+03 ( 1.033E+03 )
  1.000E-04                                                    9.416E+02 ( 9.416E+02 )
  1.585E-04                                                    7.773E+02 ( 7.773E+02 )
  2.512E-04                                                    5.544E+02 ( 5.544E+02 )
  3.981E-04                                                    3.430E+02 ( 3.430E+02 )
  6.310E-04                                                    1.963E+02 ( 1.963E+02 )
  1.000E-03                                                    1.059E+02 ( 1.059E+02 )
  1.585E-03                                                    4.918E+01 ( 4.918E+01 )
  2.512E-03                                                    1.903E+01 ( 1.903E+01 )
  3.981E-03                                                    6.634E+00 ( 6.634E+00 )
  6.310E-03                                                    2.271E+00 ( 2.271E+00 )
  1.000E-02                                                    7.444E-01 ( 7.444E-01 )
  1.585E-02                                                    2.399E-01 ( 2.399E-01 )
  2.512E-02                                                    7.631E-02 ( 7.631E-02 )
  3.981E-02                                                    2.543E-02 ( 2.543E-02 )
  6.310E-02                                                    8.677E-03 ( 8.677E-03 )
  1.000E-01                                                    3.040E-03 ( 3.040E-03 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-01                2.840E-01                2.011E-01
width Stark         2.482E-04                2.433E-04                2.409E-04
width incl.Dop.     2.482E-04                2.433E-04                2.444E-04

  0.000E+00  1.103E+03 ( 1.103E+03 )  1.111E+03 ( 1.111E+03 )  1.101E+03 ( 1.113E+03 )
  2.512E-05  1.093E+03 ( 1.093E+03 )  1.100E+03 ( 1.100E+03 )  1.089E+03 ( 1.100E+03 )
  3.981E-05  1.072E+03 ( 1.072E+03 )  1.078E+03 ( 1.078E+03 )  1.071E+03 ( 1.078E+03 )
  6.310E-05  1.031E+03 ( 1.031E+03 )  1.033E+03 ( 1.033E+03 )  1.026E+03 ( 1.031E+03 )
  1.000E-04  9.361E+02 ( 9.361E+02 )  9.344E+02 ( 9.344E+02 )  9.277E+02 ( 9.294E+02 )
  1.585E-04  7.679E+02 ( 7.679E+02 )  7.611E+02 ( 7.611E+02 )  7.568E+02 ( 7.542E+02 )
  2.512E-04  5.442E+02 ( 5.442E+02 )  5.363E+02 ( 5.363E+02 )  5.342E+02 ( 5.318E+02 )
  3.981E-04  3.369E+02 ( 3.369E+02 )  3.329E+02 ( 3.329E+02 )  3.340E+02 ( 3.329E+02 )
  6.310E-04  1.959E+02 ( 1.959E+02 )  1.962E+02 ( 1.962E+02 )  1.999E+02 ( 1.996E+02 )
  1.000E-03  1.083E+02 ( 1.083E+02 )  1.105E+02 ( 1.105E+02 )  1.135E+02 ( 1.134E+02 )
  1.585E-03  5.089E+01 ( 5.089E+01 )  5.214E+01 ( 5.214E+01 )  5.261E+01 ( 5.259E+01 )
  2.512E-03  1.936E+01 ( 1.936E+01 )  1.944E+01 ( 1.944E+01 )  1.910E+01 ( 1.910E+01 )
  3.981E-03  6.631E+00 ( 6.631E+00 )  6.501E+00 ( 6.501E+00 )  6.254E+00 ( 6.253E+00 )
