           N LOWER =  1  N UPPER=  2  WAVELENGTH (angstroms)=  1215.68
                electronic density(1/cm**3)       1.000E+12
                conversion factor for wlengths=f0 1.251E-01
                wings factor                  =   6.731E-06

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.796E-01                1.270E-01                8.982E-02
width Stark         1.518E-04                1.295E-04                1.044E-04
width incl.Dop.     1.765E-01                2.464E-01                3.502E-01

  0.000E+00  2.709E+00 ( 2.141E+03 )  1.915E+00 ( 2.546E+03 )  1.351E+00 ( 3.102E+03 )
  6.310E-06  2.709E+00 ( 2.137E+03 )  1.915E+00 ( 2.538E+03 )  1.351E+00 ( 3.055E+03 )
  1.000E-05  2.709E+00 ( 2.131E+03 )  1.915E+00 ( 2.525E+03 )  1.351E+00 ( 3.039E+03 )
  1.585E-05  2.709E+00 ( 2.115E+03 )  1.915E+00 ( 2.494E+03 )  1.351E+00 ( 3.003E+03 )
  2.512E-05  2.709E+00 ( 2.063E+03 )  1.915E+00 ( 2.438E+03 )  1.351E+00 ( 2.906E+03 )
  3.981E-05  2.709E+00 ( 1.987E+03 )  1.915E+00 ( 2.308E+03 )  1.351E+00 ( 2.684E+03 )
  6.310E-05  2.709E+00 ( 1.813E+03 )  1.915E+00 ( 2.034E+03 )  1.351E+00 ( 2.252E+03 )
  1.000E-04  2.709E+00 ( 1.485E+03 )  1.915E+00 ( 1.562E+03 )  1.351E+00 ( 1.602E+03 )
  1.585E-04  2.709E+00 ( 1.017E+03 )  1.915E+00 ( 9.898E+02 )  1.351E+00 ( 9.296E+02 )
  2.512E-04  2.709E+00 ( 5.681E+02 )  1.915E+00 ( 5.168E+02 )  1.351E+00 ( 4.511E+02 )
  3.981E-04  2.709E+00 ( 2.698E+02 )  1.915E+00 ( 2.337E+02 )  1.351E+00 ( 1.963E+02 )
  6.310E-04  2.709E+00 ( 1.158E+02 )  1.915E+00 ( 9.809E+01 )  1.351E+00 ( 8.138E+01 )
  1.000E-03  2.709E+00 ( 4.730E+01 )  1.915E+00 ( 3.986E+01 )  1.351E+00 ( 3.264E+01 )
  1.585E-03  2.709E+00 ( 1.875E+01 )  1.915E+00 ( 1.573E+01 )  1.351E+00 ( 1.293E+01 )
