           N LOWER =  1  N UPPER=  2  WAVELENGTH (angstroms)=  1215.68
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   6.731E-06

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.736E-01                1.935E-01
width Stark         2.848E-04                2.792E-04                2.557E-04
width incl.Dop.     8.264E-03                1.168E-02                1.633E-02

  0.000E+00  5.752E+01 ( 1.188E+03 )  4.091E+01 ( 1.212E+03 )  2.902E+01 ( 1.298E+03 )
  1.585E-05  5.752E+01 ( 1.190E+03 )  4.091E+01 ( 1.208E+03 )  2.902E+01 ( 1.292E+03 )
  2.512E-05  5.752E+01 ( 1.184E+03 )  4.091E+01 ( 1.202E+03 )  2.902E+01 ( 1.284E+03 )
  3.981E-05  5.752E+01 ( 1.164E+03 )  4.091E+01 ( 1.188E+03 )  2.902E+01 ( 1.267E+03 )
  6.310E-05  5.752E+01 ( 1.132E+03 )  4.091E+01 ( 1.153E+03 )  2.902E+01 ( 1.225E+03 )
  1.000E-04  5.752E+01 ( 1.053E+03 )  4.090E+01 ( 1.070E+03 )  2.902E+01 ( 1.125E+03 )
  1.585E-04  5.751E+01 ( 8.960E+02 )  4.090E+01 ( 9.077E+02 )  2.902E+01 ( 9.360E+02 )
  2.512E-04  5.749E+01 ( 6.553E+02 )  4.089E+01 ( 6.571E+02 )  2.902E+01 ( 6.575E+02 )
  3.981E-04  5.743E+01 ( 3.918E+02 )  4.087E+01 ( 3.889E+02 )  2.901E+01 ( 3.770E+02 )
  6.310E-04  5.729E+01 ( 1.942E+02 )  4.082E+01 ( 1.911E+02 )  2.899E+01 ( 1.805E+02 )
  1.000E-03  5.693E+01 ( 8.426E+01 )  4.069E+01 ( 8.226E+01 )  2.895E+01 ( 7.668E+01 )
  1.585E-03  5.605E+01 ( 3.330E+01 )  4.037E+01 ( 3.233E+01 )  2.883E+01 ( 3.001E+01 )
  2.512E-03  5.388E+01 ( 1.221E+01 )  3.958E+01 ( 1.183E+01 )  2.854E+01 ( 1.102E+01 )
  3.981E-03  4.881E+01 ( 4.224E+00 )  3.765E+01 ( 4.090E+00 )  2.784E+01 ( 3.849E+00 )
  6.310E-03  3.809E+01 ( 1.408E+00 )  3.322E+01 ( 1.362E+00 )  2.614E+01 ( 1.295E+00 )
  1.000E-02  2.047E+01 ( 4.629E-01 )  2.426E+01 ( 4.458E-01 )  2.231E+01 ( 4.263E-01 )
  1.585E-02  4.392E+00 ( 1.480E-01 )  1.104E+01 ( 1.406E-01 )  1.500E+01 ( 1.391E-01 )
  2.512E-02  1.549E-01 ( 4.890E-02 )  1.566E+00 ( 4.610E-02 )  5.544E+00 ( 4.369E-02 )
  3.981E-02  1.872E-02 ( 1.630E-02 )  3.142E-02 ( 1.527E-02 )  4.703E-01 ( 1.436E-02 )
  6.310E-02  5.717E-03 ( 5.443E-03 )  5.641E-03 ( 5.075E-03 )  6.924E-03 ( 4.745E-03 )
  1.000E-01  1.849E-03 ( 1.814E-03 )  1.756E-03 ( 1.688E-03 )  1.707E-03 ( 1.573E-03 )
  1.585E-01  6.065E-04 ( 6.020E-04 )  5.700E-04 ( 5.614E-04 )  5.387E-04 ( 5.222E-04 )
  2.512E-01  1.992E-04 ( 1.986E-04 )  1.873E-04 ( 1.862E-04 )  1.755E-04 ( 1.734E-04 )
  3.981E-01  6.516E-05 ( 6.508E-05 )  6.167E-05 ( 6.152E-05 )  5.778E-05 ( 5.751E-05 )
  6.310E-01  2.117E-05 ( 2.116E-05 )  2.024E-05 ( 2.022E-05 )  1.907E-05 ( 1.903E-05 )
  1.000E+00  6.740E-06 ( 6.738E-06 )  6.606E-06 ( 6.603E-06 )  6.282E-06 ( 6.277E-06 )
  1.585E+00  2.132E-06 ( 2.132E-06 )  2.133E-06 ( 2.132E-06 )  2.058E-06 ( 2.057E-06 )
  2.512E+00                           6.750E-07 ( 6.750E-07 )  6.693E-07 ( 6.693E-07 )
  3.981E+00                                                    2.138E-07 ( 2.138E-07 )
  6.310E+00                                                    6.778E-08 ( 6.778E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.370E-01                9.698E-02                6.866E-02
width Stark         2.294E-04                1.988E-04                1.615E-04
width incl.Dop.     2.297E-02                3.262E-02                4.625E-02

  0.000E+00  2.056E+01 ( 1.453E+03 )  1.458E+01 ( 1.688E+03 )  1.032E+01 ( 2.020E+03 )
  1.585E-05  2.056E+01 ( 1.443E+03 )  1.458E+01 ( 1.676E+03 )  1.032E+01 ( 1.989E+03 )
  2.512E-05  2.056E+01 ( 1.427E+03 )  1.458E+01 ( 1.658E+03 )  1.032E+01 ( 1.962E+03 )
  3.981E-05  2.056E+01 ( 1.404E+03 )  1.458E+01 ( 1.619E+03 )  1.032E+01 ( 1.896E+03 )
  6.310E-05  2.056E+01 ( 1.346E+03 )  1.458E+01 ( 1.517E+03 )  1.032E+01 ( 1.746E+03 )
  1.000E-04  2.056E+01 ( 1.213E+03 )  1.458E+01 ( 1.333E+03 )  1.032E+01 ( 1.454E+03 )
  1.585E-04  2.056E+01 ( 9.738E+02 )  1.458E+01 ( 1.010E+03 )  1.032E+01 ( 1.024E+03 )
  2.512E-04  2.056E+01 ( 6.506E+02 )  1.458E+01 ( 6.284E+02 )  1.032E+01 ( 5.862E+02 )
  3.981E-04  2.056E+01 ( 3.541E+02 )  1.458E+01 ( 3.215E+02 )  1.032E+01 ( 2.828E+02 )
  6.310E-04  2.055E+01 ( 1.639E+02 )  1.457E+01 ( 1.438E+02 )  1.032E+01 ( 1.218E+02 )
  1.000E-03  2.053E+01 ( 6.855E+01 )  1.457E+01 ( 5.893E+01 )  1.032E+01 ( 4.937E+01 )
  1.585E-03  2.049E+01 ( 2.675E+01 )  1.455E+01 ( 2.297E+01 )  1.031E+01 ( 1.916E+01 )
  2.512E-03  2.039E+01 ( 9.891E+00 )  1.452E+01 ( 8.566E+00 )  1.030E+01 ( 7.203E+00 )
  3.981E-03  2.014E+01 ( 3.507E+00 )  1.442E+01 ( 3.083E+00 )  1.027E+01 ( 2.629E+00 )
  6.310E-03  1.951E+01 ( 1.202E+00 )  1.420E+01 ( 1.079E+00 )  1.018E+01 ( 9.432E-01 )
  1.000E-02  1.802E+01 ( 4.023E-01 )  1.364E+01 ( 3.714E-01 )  9.981E+00 ( 3.302E-01 )
  1.585E-02  1.475E+01 ( 1.326E-01 )  1.234E+01 ( 1.249E-01 )  9.491E+00 ( 1.136E-01 )
  2.512E-02  8.931E+00 ( 4.168E-02 )  9.587E+00 ( 4.131E-02 )  8.362E+00 ( 3.843E-02 )
  3.981E-02  2.538E+00 ( 1.360E-02 )  5.090E+00 ( 1.297E-02 )  6.085E+00 ( 1.278E-02 )
  6.310E-02  1.131E-01 ( 4.465E-03 )  1.040E+00 ( 4.232E-03 )  2.739E+00 ( 4.042E-03 )
  1.000E-01  1.812E-03 ( 1.472E-03 )  2.110E-02 ( 1.387E-03 )  3.700E-01 ( 1.317E-03 )
  1.585E-01  5.195E-04 ( 4.869E-04 )  5.263E-04 ( 4.564E-04 )  2.990E-03 ( 4.309E-04 )
  2.512E-01  1.653E-04 ( 1.613E-04 )  1.585E-04 ( 1.506E-04 )  1.576E-04 ( 1.415E-04 )
  3.981E-01  5.402E-05 ( 5.351E-05 )  5.080E-05 ( 4.983E-05 )  4.851E-05 ( 4.660E-05 )
  6.310E-01  1.782E-05 ( 1.775E-05 )  1.664E-05 ( 1.652E-05 )  1.564E-05 ( 1.540E-05 )
  1.000E+00  5.895E-06 ( 5.886E-06 )  5.499E-06 ( 5.483E-06 )  5.133E-06 ( 5.102E-06 )
  1.585E+00  1.947E-06 ( 1.945E-06 )  1.821E-06 ( 1.819E-06 )  1.697E-06 ( 1.693E-06 )
  2.512E+00  6.400E-07 ( 6.400E-07 )  6.028E-07 ( 6.025E-07 )  5.625E-07 ( 5.620E-07 )
  3.981E+00  2.093E-07 ( 2.093E-07 )  1.990E-07 ( 1.989E-07 )  1.866E-07 ( 1.865E-07 )
  6.310E+00  6.778E-08 ( 6.778E-08 )  6.533E-08 ( 6.532E-08 )  6.176E-08 ( 6.176E-08 )
