           N LOWER =  1  N UPPER=  9  WAVELENGTH (angstroms)=   923.16
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   8.885E-04

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         1.564E-02                1.469E-02                1.338E-02
width incl.Dop.     2.890E+00                4.042E+00                5.719E+00

  0.000E+00  1.651E-01 ( 2.463E+01 )  1.167E-01 ( 2.622E+01 )  8.255E-02 ( 2.873E+01 )
  6.310E-04  1.651E-01 ( 2.459E+01 )  1.167E-01 ( 2.618E+01 )  8.255E-02 ( 2.867E+01 )
  1.000E-03  1.651E-01 ( 2.454E+01 )  1.167E-01 ( 2.612E+01 )  8.255E-02 ( 2.857E+01 )
  1.585E-03  1.651E-01 ( 2.440E+01 )  1.167E-01 ( 2.596E+01 )  8.255E-02 ( 2.834E+01 )
  2.512E-03  1.651E-01 ( 2.407E+01 )  1.167E-01 ( 2.558E+01 )  8.255E-02 ( 2.781E+01 )
  3.981E-03  1.651E-01 ( 2.330E+01 )  1.167E-01 ( 2.464E+01 )  8.255E-02 ( 2.659E+01 )
  6.310E-03  1.651E-01 ( 2.155E+01 )  1.167E-01 ( 2.255E+01 )  8.255E-02 ( 2.387E+01 )
  1.000E-02  1.651E-01 ( 1.797E+01 )  1.167E-01 ( 1.836E+01 )  8.255E-02 ( 1.865E+01 )
  1.585E-02  1.651E-01 ( 1.210E+01 )  1.167E-01 ( 1.181E+01 )  8.255E-02 ( 1.124E+01 )
  2.512E-02  1.651E-01 ( 5.876E+00 )  1.167E-01 ( 5.480E+00 )  8.255E-02 ( 4.966E+00 )
  3.981E-02  1.650E-01 ( 2.155E+00 )  1.167E-01 ( 1.991E+00 )  8.255E-02 ( 1.797E+00 )
  6.310E-02  1.650E-01 ( 6.916E-01 )  1.167E-01 ( 6.462E-01 )  8.254E-02 ( 5.949E-01 )
  1.000E-01  1.649E-01 ( 2.154E-01 )  1.167E-01 ( 2.034E-01 )  8.253E-02 ( 1.908E-01 )
  1.585E-01  1.647E-01 ( 6.538E-02 )  1.166E-01 ( 6.173E-02 )  8.251E-02 ( 6.082E-02 )
  2.512E-01  1.642E-01 ( 2.116E-02 )  1.164E-01 ( 1.984E-02 )  8.244E-02 ( 1.873E-02 )
  3.981E-01  1.629E-01 ( 6.949E-03 )  1.159E-01 ( 6.484E-03 )  8.227E-02 ( 6.084E-03 )
  6.310E-01  1.596E-01 ( 2.296E-03 )  1.147E-01 ( 2.139E-03 )  8.185E-02 ( 1.997E-03 )
  1.000E+00  1.516E-01 ( 7.605E-04 )  1.118E-01 ( 7.079E-04 )  8.081E-02 ( 6.592E-04 )
  1.585E+00  1.332E-01 ( 2.514E-04 )  1.048E-01 ( 2.346E-04 )  7.824E-02 ( 2.183E-04 )
  2.512E+00  9.636E-02 ( 8.276E-05 )  8.916E-02 ( 7.768E-05 )  7.215E-02 ( 7.239E-05 )
  3.981E+00  4.271E-02 ( 2.709E-05 )  5.935E-02 ( 2.564E-05 )  5.886E-02 ( 2.399E-05 )
  6.310E+00  5.541E-03 ( 8.800E-06 )  2.135E-02 ( 8.422E-06 )  3.530E-02 ( 7.936E-06 )
  1.000E+01  3.652E-05 ( 2.835E-06 )  1.641E-03 ( 2.747E-06 )  9.775E-03 ( 2.614E-06 )
  1.585E+01  9.976E-07 ( 8.886E-07 )  3.729E-06 ( 8.890E-07 )  3.894E-04 ( 8.560E-07 )
  2.512E+01  2.928E-07 ( 2.810E-07 )  3.070E-07 ( 2.810E-07 )  4.531E-07 ( 2.782E-07 )
  3.981E+01  9.032E-08 ( 8.887E-08 )  9.181E-08 ( 8.887E-08 )  9.580E-08 ( 8.968E-08 )
  6.310E+01  2.828E-08 ( 2.810E-08 )  2.847E-08 ( 2.810E-08 )  2.887E-08 ( 2.810E-08 )
  1.000E+02  8.910E-09 ( 8.888E-09 )  8.932E-09 ( 8.888E-09 )  8.976E-09 ( 8.888E-09 )
  1.585E+02  2.814E-09 ( 2.811E-09 )  2.817E-09 ( 2.811E-09 )  2.823E-09 ( 2.811E-09 )
  2.512E+02                                                    8.905E-10 ( 8.891E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            2.951E-02                2.089E-02                1.479E-02
width Stark         1.174E-02                9.712E-03                8.119E-03
width incl.Dop.     8.134E+00                1.153E+01                1.612E+01

  0.000E+00  5.844E-02 ( 3.238E+01 )  4.138E-02 ( 3.761E+01 )  2.929E-02 ( 4.494E+01 )
  1.000E-03  5.844E-02 ( 3.215E+01 )  4.138E-02 ( 3.720E+01 )  2.929E-02 ( 4.426E+01 )
  1.585E-03  5.844E-02 ( 3.181E+01 )  4.138E-02 ( 3.671E+01 )  2.929E-02 ( 4.335E+01 )
  2.512E-03  5.844E-02 ( 3.102E+01 )  4.138E-02 ( 3.543E+01 )  2.929E-02 ( 4.110E+01 )
  3.981E-03  5.844E-02 ( 2.924E+01 )  4.138E-02 ( 3.257E+01 )  2.929E-02 ( 3.632E+01 )
  6.310E-03  5.844E-02 ( 2.542E+01 )  4.138E-02 ( 2.689E+01 )  2.929E-02 ( 2.782E+01 )
  1.000E-02  5.844E-02 ( 1.865E+01 )  4.138E-02 ( 1.812E+01 )  2.929E-02 ( 1.691E+01 )
  1.585E-02  5.844E-02 ( 1.037E+01 )  4.138E-02 ( 9.227E+00 )  2.929E-02 ( 7.917E+00 )
  2.512E-02  5.844E-02 ( 4.368E+00 )  4.138E-02 ( 3.732E+00 )  2.929E-02 ( 3.107E+00 )
  3.981E-02  5.844E-02 ( 1.581E+00 )  4.138E-02 ( 1.356E+00 )  2.929E-02 ( 1.134E+00 )
  6.310E-02  5.844E-02 ( 5.360E-01 )  4.138E-02 ( 4.705E-01 )  2.929E-02 ( 4.019E-01 )
  1.000E-01  5.843E-02 ( 1.764E-01 )  4.138E-02 ( 1.592E-01 )  2.929E-02 ( 1.397E-01 )
  1.585E-01  5.842E-02 ( 5.726E-02 )  4.137E-02 ( 5.297E-02 )  2.929E-02 ( 4.772E-02 )
  2.512E-01  5.840E-02 ( 1.781E-02 )  4.137E-02 ( 1.741E-02 )  2.929E-02 ( 1.606E-02 )
  3.981E-01  5.834E-02 ( 5.749E-03 )  4.134E-02 ( 5.476E-03 )  2.928E-02 ( 5.241E-03 )
  6.310E-01  5.819E-02 ( 1.876E-03 )  4.129E-02 ( 1.776E-03 )  2.926E-02 ( 1.695E-03 )
  1.000E+00  5.782E-02 ( 6.166E-04 )  4.116E-02 ( 5.805E-04 )  2.922E-02 ( 5.509E-04 )
  1.585E+00  5.689E-02 ( 2.035E-04 )  4.083E-02 ( 1.907E-04 )  2.910E-02 ( 1.800E-04 )
  2.512E+00  5.463E-02 ( 6.738E-05 )  4.000E-02 ( 6.291E-05 )  2.880E-02 ( 5.909E-05 )
  3.981E+00  4.933E-02 ( 2.234E-05 )  3.801E-02 ( 2.081E-05 )  2.807E-02 ( 1.947E-05 )
  6.310E+00  3.818E-02 ( 7.409E-06 )  3.343E-02 ( 6.897E-06 )  2.632E-02 ( 6.431E-06 )
  1.000E+01  2.005E-02 ( 2.454E-06 )  2.421E-02 ( 2.288E-06 )  2.239E-02 ( 2.130E-06 )
  1.585E+01  3.981E-03 ( 8.103E-07 )  1.076E-02 ( 7.584E-07 )  1.492E-02 ( 7.062E-07 )
  2.512E+01  6.891E-05 ( 2.662E-07 )  1.406E-03 ( 2.509E-07 )  5.377E-03 ( 2.342E-07 )
  3.981E+01  1.026E-07 ( 8.688E-08 )  8.565E-06 ( 8.267E-08 )  4.145E-04 ( 7.760E-08 )
  6.310E+01  2.961E-08 ( 2.813E-08 )  3.017E-08 ( 2.708E-08 )  6.953E-07 ( 2.563E-08 )
  1.000E+02  9.075E-09 ( 8.888E-09 )  9.164E-09 ( 8.803E-09 )  9.150E-09 ( 8.424E-09 )
  1.585E+02  2.834E-09 ( 2.811E-09 )  2.884E-09 ( 2.839E-09 )  2.837E-09 ( 2.749E-09 )
  2.512E+02  8.919E-10 ( 8.891E-10 )  8.950E-10 ( 8.891E-10 )  9.012E-10 ( 8.902E-10 )
  3.981E+02  2.817E-10 ( 2.813E-10 )  2.820E-10 ( 2.813E-10 )  2.828E-10 ( 2.813E-10 )
  6.310E+02                           8.911E-11 ( 8.902E-11 )  8.920E-11 ( 8.902E-11 )
  1.000E+03                                                    2.821E-11 ( 2.818E-11 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.047E-02                7.413E-03                5.248E-03
width Stark         6.333E-03                5.087E-03                3.849E-03
width incl.Dop.     2.277E+01                3.237E+01                4.592E+01

