           N LOWER =  1  N UPPER= 10  WAVELENGTH (angstroms)=   920.97
                electronic density(1/cm**3)       3.162E+12
                conversion factor for wlengths=f0 2.696E-01
                wings factor                  =   1.214E-03

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.176E-01                1.539E-01                1.088E-01
width Stark         2.658E-02                2.615E-02                2.537E-02
width incl.Dop.     7.273E-02                9.558E-02                1.312E-01

  0.000E+00  6.291E+00 ( 1.488E+01 )  4.795E+00 ( 1.512E+01 )  3.561E+00 ( 1.553E+01 )
  1.585E-03  6.289E+00 ( 1.484E+01 )  4.794E+00 ( 1.507E+01 )  3.561E+00 ( 1.548E+01 )
  2.512E-03  6.286E+00 ( 1.477E+01 )  4.793E+00 ( 1.500E+01 )  3.560E+00 ( 1.541E+01 )
  3.981E-03  6.278E+00 ( 1.459E+01 )  4.790E+00 ( 1.483E+01 )  3.559E+00 ( 1.522E+01 )
  6.310E-03  6.257E+00 ( 1.418E+01 )  4.781E+00 ( 1.441E+01 )  3.555E+00 ( 1.477E+01 )
  1.000E-02  6.205E+00 ( 1.323E+01 )  4.759E+00 ( 1.343E+01 )  3.546E+00 ( 1.372E+01 )
  1.585E-02  6.076E+00 ( 1.124E+01 )  4.703E+00 ( 1.136E+01 )  3.524E+00 ( 1.154E+01 )
  2.512E-02  5.766E+00 ( 7.826E+00 )  4.567E+00 ( 7.838E+00 )  3.469E+00 ( 7.833E+00 )
  3.981E-02  5.059E+00 ( 3.930E+00 )  4.244E+00 ( 3.863E+00 )  3.335E+00 ( 3.758E+00 )
  6.310E-02  3.660E+00 ( 1.428E+00 )  3.532E+00 ( 1.375E+00 )  3.020E+00 ( 1.304E+00 )
  1.000E-01  1.689E+00 ( 4.470E-01 )  2.243E+00 ( 4.266E-01 )  2.357E+00 ( 4.019E-01 )
  1.585E-01  3.408E-01 ( 1.368E-01 )  7.577E-01 ( 1.312E-01 )  1.275E+00 ( 1.239E-01 )
  2.512E-01  5.408E-02 ( 4.200E-02 )  9.228E-02 ( 4.080E-02 )  2.943E-01 ( 3.908E-02 )
  3.981E-01  1.410E-02 ( 1.300E-02 )  1.530E-02 ( 1.279E-02 )  2.264E-02 ( 1.241E-02 )
  6.310E-01  4.021E-03 ( 3.887E-03 )  4.160E-03 ( 3.887E-03 )  4.468E-03 ( 3.898E-03 )
  1.000E+00  1.235E-03 ( 1.222E-03 )  1.250E-03 ( 1.222E-03 )  1.284E-03 ( 1.222E-03 )
  1.585E+00  3.869E-04 ( 3.851E-04 )  3.888E-04 ( 3.851E-04 )  3.924E-04 ( 3.851E-04 )
  2.512E+00  1.218E-04 ( 1.216E-04 )  1.220E-04 ( 1.216E-04 )  1.225E-04 ( 1.216E-04 )
  3.981E+00  3.846E-05 ( 3.844E-05 )  3.849E-05 ( 3.844E-05 )  3.855E-05 ( 3.844E-05 )
  6.310E+00                                                    1.217E-05 ( 1.215E-05 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-02                5.454E-02                3.861E-02
width Stark         2.460E-02                2.380E-02                2.285E-02
width incl.Dop.     1.817E-01                2.495E-01                3.511E-01

