           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       3.162E+12
                conversion factor for wlengths=f0 2.696E-01
                wings factor                  =   1.018E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.176E-01                1.539E-01                1.088E-01
width Stark         1.896E-01                1.713E-01                1.491E-01
width incl.Dop.     1.347E+00                1.866E+00                2.568E+00

  0.000E+00  3.432E-01 ( 1.816E+00 )  2.518E-01 ( 1.979E+00 )  1.823E-01 ( 2.241E+00 )
  6.310E-03  3.432E-01 ( 1.815E+00 )  2.518E-01 ( 1.976E+00 )  1.823E-01 ( 2.234E+00 )
  1.000E-02  3.432E-01 ( 1.813E+00 )  2.518E-01 ( 1.971E+00 )  1.823E-01 ( 2.237E+00 )
  1.585E-02  3.431E-01 ( 1.806E+00 )  2.518E-01 ( 1.962E+00 )  1.823E-01 ( 2.218E+00 )
  2.512E-02  3.431E-01 ( 1.787E+00 )  2.518E-01 ( 1.938E+00 )  1.823E-01 ( 2.177E+00 )
  3.981E-02  3.430E-01 ( 1.736E+00 )  2.517E-01 ( 1.873E+00 )  1.823E-01 ( 2.089E+00 )
  6.310E-02  3.426E-01 ( 1.626E+00 )  2.516E-01 ( 1.734E+00 )  1.823E-01 ( 1.894E+00 )
  1.000E-01  3.418E-01 ( 1.403E+00 )  2.513E-01 ( 1.462E+00 )  1.821E-01 ( 1.535E+00 )
  1.585E-01  3.398E-01 ( 1.045E+00 )  2.505E-01 ( 1.050E+00 )  1.819E-01 ( 1.041E+00 )
  2.512E-01  3.348E-01 ( 6.364E-01 )  2.485E-01 ( 6.132E-01 )  1.811E-01 ( 5.740E-01 )
  3.981E-01  3.224E-01 ( 3.182E-01 )  2.437E-01 ( 2.968E-01 )  1.793E-01 ( 2.668E-01 )
  6.310E-01  2.935E-01 ( 1.369E-01 )  2.319E-01 ( 1.255E-01 )  1.748E-01 ( 1.107E-01 )
  1.000E+00  2.320E-01 ( 5.292E-02 )  2.049E-01 ( 4.834E-02 )  1.639E-01 ( 4.252E-02 )
  1.585E+00  1.301E-01 ( 1.889E-02 )  1.503E-01 ( 1.738E-02 )  1.396E-01 ( 1.546E-02 )
  2.512E+00  3.359E-02 ( 6.382E-03 )  6.992E-02 ( 5.953E-03 )  9.340E-02 ( 5.396E-03 )
  3.981E+00  3.571E-03 ( 2.093E-03 )  1.175E-02 ( 1.981E-03 )  3.452E-02 ( 1.833E-03 )
  6.310E+00  7.783E-04 ( 6.811E-04 )  9.402E-04 ( 6.491E-04 )  3.456E-03 ( 6.107E-04 )
  1.000E+01  2.261E-04 ( 2.145E-04 )  2.283E-04 ( 2.043E-04 )  2.574E-04 ( 2.009E-04 )
  1.585E+01  7.172E-05 ( 7.047E-05 )  6.910E-05 ( 6.660E-05 )  6.909E-05 ( 6.336E-05 )
  2.512E+01  2.350E-05 ( 2.333E-05 )  2.223E-05 ( 2.190E-05 )  2.131E-05 ( 2.070E-05 )
  3.981E+01  7.768E-06 ( 7.747E-06 )  7.280E-06 ( 7.239E-06 )  6.883E-06 ( 6.802E-06 )
  6.310E+01  2.576E-06 ( 2.573E-06 )  2.404E-06 ( 2.398E-06 )  2.253E-06 ( 2.243E-06 )
  1.000E+02  8.545E-07 ( 8.542E-07 )  7.964E-07 ( 7.957E-07 )  7.437E-07 ( 7.424E-07 )
  1.585E+02  2.829E-07 ( 2.829E-07 )  2.641E-07 ( 2.641E-07 )  2.461E-07 ( 2.459E-07 )
  2.512E+02  9.335E-08 ( 9.335E-08 )  8.755E-08 ( 8.755E-08 )  8.162E-08 ( 8.162E-08 )
  3.981E+02  3.067E-08 ( 3.067E-08 )  2.897E-08 ( 2.897E-08 )  2.708E-08 ( 2.708E-08 )
  6.310E+02  1.000E-08 ( 1.000E-08 )  9.544E-09 ( 9.544E-09 )  8.975E-09 ( 8.975E-09 )
  1.000E+03  3.240E-09 ( 3.240E-09 )  3.127E-09 ( 3.127E-09 )  2.967E-09 ( 2.967E-09 )
  1.585E+03  1.029E-09 ( 1.029E-09 )  1.019E-09 ( 1.019E-09 )  9.771E-10 ( 9.771E-10 )
  2.512E+03                           3.300E-10 ( 3.300E-10 )  3.200E-10 ( 3.200E-10 )
  3.981E+03                           1.047E-10 ( 1.047E-10 )  1.045E-10 ( 1.045E-10 )
  6.310E+03                           3.361E-11 ( 3.361E-11 )  3.361E-11 ( 3.361E-11 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-02                5.454E-02                3.861E-02
width Stark         1.284E-01                1.040E-01                8.507E-02
width incl.Dop.     3.588E+00                5.074E+00                7.160E+00

  0.000E+00  1.310E-01 ( 2.625E+00 )  9.351E-02 ( 3.163E+00 )  6.653E-02 ( 3.899E+00 )
  3.981E-03  1.310E-01 ( 2.622E+00 )  9.351E-02 ( 3.159E+00 )  6.653E-02 ( 3.883E+00 )
  6.310E-03  1.310E-01 ( 2.618E+00 )  9.351E-02 ( 3.152E+00 )  6.653E-02 ( 3.881E+00 )
  1.000E-02  1.310E-01 ( 2.608E+00 )  9.351E-02 ( 3.128E+00 )  6.653E-02 ( 3.848E+00 )
  1.585E-02  1.310E-01 ( 2.583E+00 )  9.351E-02 ( 3.092E+00 )  6.653E-02 ( 3.765E+00 )
  2.512E-02  1.310E-01 ( 2.526E+00 )  9.351E-02 ( 2.984E+00 )  6.653E-02 ( 3.574E+00 )
  3.981E-02  1.310E-01 ( 2.384E+00 )  9.351E-02 ( 2.753E+00 )  6.653E-02 ( 3.170E+00 )
  6.310E-02  1.310E-01 ( 2.092E+00 )  9.350E-02 ( 2.301E+00 )  6.652E-02 ( 2.474E+00 )
  1.000E-01  1.309E-01 ( 1.601E+00 )  9.349E-02 ( 1.629E+00 )  6.652E-02 ( 1.593E+00 )
  1.585E-01  1.308E-01 ( 1.007E+00 )  9.345E-02 ( 9.388E-01 )  6.651E-02 ( 8.393E-01 )
  2.512E-01  1.305E-01 ( 5.193E-01 )  9.335E-02 ( 4.532E-01 )  6.647E-02 ( 3.822E-01 )
  3.981E-01  1.299E-01 ( 2.317E-01 )  9.311E-02 ( 1.949E-01 )  6.638E-02 ( 1.597E-01 )
  6.310E-01  1.282E-01 ( 9.437E-02 )  9.249E-02 ( 7.827E-02 )  6.616E-02 ( 6.344E-02 )
  1.000E+00  1.241E-01 ( 3.623E-02 )  9.097E-02 ( 3.005E-02 )  6.561E-02 ( 2.438E-02 )
  1.585E+00  1.143E-01 ( 1.332E-02 )  8.726E-02 ( 1.116E-02 )  6.424E-02 ( 9.129E-03 )
  2.512E+00  9.297E-02 ( 4.739E-03 )  7.859E-02 ( 4.040E-03 )  6.094E-02 ( 3.354E-03 )
  3.981E+00  5.548E-02 ( 1.648E-03 )  6.043E-02 ( 1.435E-03 )  5.337E-02 ( 1.212E-03 )
  6.310E+00  1.540E-02 ( 5.611E-04 )  3.129E-02 ( 5.002E-04 )  3.825E-02 ( 4.319E-04 )
  1.000E+01  8.421E-04 ( 1.881E-04 )  6.098E-03 ( 1.715E-04 )  1.660E-02 ( 1.514E-04 )
  1.585E+01  7.409E-05 ( 6.226E-05 )  1.743E-04 ( 5.787E-05 )  2.084E-03 ( 5.228E-05 )
  2.512E+01  2.108E-05 ( 1.971E-05 )  2.193E-05 ( 1.927E-05 )  3.397E-05 ( 1.777E-05 )
  3.981E+01  6.588E-06 ( 6.439E-06 )  6.470E-06 ( 6.142E-06 )  6.568E-06 ( 5.953E-06 )
  6.310E+01  2.132E-06 ( 2.112E-06 )  2.040E-06 ( 2.003E-06 )  1.993E-06 ( 1.915E-06 )
  1.000E+02  6.979E-07 ( 6.954E-07 )  6.610E-07 ( 6.561E-07 )  6.329E-07 ( 6.238E-07 )
  1.585E+02  2.300E-07 ( 2.297E-07 )  2.162E-07 ( 2.156E-07 )  2.051E-07 ( 2.039E-07 )
  2.512E+02  7.608E-08 ( 7.604E-08 )  7.120E-08 ( 7.112E-08 )  6.709E-08 ( 6.694E-08 )
  3.981E+02  2.522E-08 ( 2.522E-08 )  2.353E-08 ( 2.352E-08 )  2.207E-08 ( 2.205E-08 )
  6.310E+02  8.375E-09 ( 8.375E-09 )  7.798E-09 ( 7.798E-09 )  7.283E-09 ( 7.283E-09 )
  1.000E+03  2.782E-09 ( 2.782E-09 )  2.591E-09 ( 2.591E-09 )  2.416E-09 ( 2.416E-09 )
  1.585E+03  9.223E-10 ( 9.223E-10 )  8.620E-10 ( 8.620E-10 )  8.031E-10 ( 8.031E-10 )
  2.512E+03  3.051E-10 ( 3.051E-10 )  2.869E-10 ( 2.869E-10 )  2.675E-10 ( 2.675E-10 )
  3.981E+03  1.009E-10 ( 1.009E-10 )  9.541E-11 ( 9.541E-11 )  8.940E-11 ( 8.940E-11 )
  6.310E+03  3.318E-11 ( 3.318E-11 )  3.174E-11 ( 3.174E-11 )  2.990E-11 ( 2.990E-11 )
  1.000E+04  1.093E-11 ( 1.093E-11 )  1.059E-11 ( 1.059E-11 )  1.005E-11 ( 1.005E-11 )
  1.585E+04  3.566E-12 ( 3.566E-12 )  3.542E-12 ( 3.542E-12 )  3.405E-12 ( 3.405E-12 )
