           N LOWER =  3  N UPPER=  5  WAVELENGTH (angstroms)= 12821.67
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   1.998E-01

T(K)                                                                  7.943E+04
RO/Debye                                                              5.667E-01
width Stark                                                           4.172E-01
width incl.Dop.                                                       4.172E-01

  0.000E+00                                                    4.168E-01 ( 4.168E-01 )
  6.310E-02                                                    3.702E-01 ( 3.702E-01 )
  1.000E-01                                                    3.465E-01 ( 3.465E-01 )
  1.585E-01                                                    3.133E-01 ( 3.133E-01 )
  2.512E-01                                                    2.687E-01 ( 2.687E-01 )
  3.981E-01                                                    2.134E-01 ( 2.134E-01 )
  6.310E-01                                                    1.523E-01 ( 1.523E-01 )
  1.000E+00                                                    9.485E-02 ( 9.485E-02 )
  1.585E+00                                                    5.133E-02 ( 5.133E-02 )
  2.512E+00                                                    2.471E-02 ( 2.471E-02 )
  3.981E+00                                                    1.097E-02 ( 1.097E-02 )
  6.310E+00                                                    4.644E-03 ( 4.644E-03 )
  1.000E+01                                                    1.913E-03 ( 1.913E-03 )
  1.585E+01                                                    7.762E-04 ( 7.762E-04 )
  2.512E+01                                                    3.125E-04 ( 3.125E-04 )
  3.981E+01                                                    1.252E-04 ( 1.252E-04 )
  6.310E+01                                                    5.006E-05 ( 5.006E-05 )
  1.000E+02                                                    1.998E-05 ( 1.998E-05 )
  1.585E+02                                                    7.965E-06 ( 7.965E-06 )
  2.512E+02                                                    3.174E-06 ( 3.174E-06 )
  3.981E+02                                                    1.264E-06 ( 1.264E-06 )
  6.310E+02                                                    5.035E-07 ( 5.035E-07 )
  1.000E+03                                                    2.005E-07 ( 2.005E-07 )
  1.585E+03                                                    7.984E-08 ( 7.984E-08 )
  2.512E+03                                                    3.179E-08 ( 3.179E-08 )
  3.981E+03                                                    1.265E-08 ( 1.265E-08 )
  6.310E+03                                                    5.038E-09 ( 5.038E-09 )
  1.000E+04                                                    2.006E-09 ( 2.006E-09 )
  1.585E+04                                                    7.985E-10 ( 7.985E-10 )
  2.512E+04                                                    3.179E-10 ( 3.179E-10 )
  3.981E+04                                                    1.266E-10 ( 1.266E-10 )
  6.310E+04                                                    5.038E-11 ( 5.038E-11 )
  1.000E+05                                                    2.006E-11 ( 2.006E-11 )
  1.585E+05                                                    7.985E-12 ( 7.985E-12 )
  2.512E+05                                                    3.179E-12 ( 3.179E-12 )
  3.981E+05                                                    1.266E-12 ( 1.266E-12 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-01                2.840E-01                2.011E-01
width Stark         4.240E-01                4.305E-01                4.391E-01
width incl.Dop.     4.240E-01                4.305E-01                4.391E-01

  0.000E+00  3.982E-01 ( 3.982E-01 )  3.875E-01 ( 3.875E-01 )  3.838E-01 ( 3.838E-01 )
  6.310E-02  3.536E-01 ( 3.536E-01 )  3.441E-01 ( 3.441E-01 )  3.411E-01 ( 3.411E-01 )
  1.000E-01  3.311E-01 ( 3.311E-01 )  3.223E-01 ( 3.223E-01 )  3.197E-01 ( 3.197E-01 )
  1.585E-01  2.994E-01 ( 2.994E-01 )  2.918E-01 ( 2.918E-01 )  2.899E-01 ( 2.899E-01 )
  2.512E-01  2.574E-01 ( 2.574E-01 )  2.514E-01 ( 2.514E-01 )  2.505E-01 ( 2.505E-01 )
  3.981E-01  2.055E-01 ( 2.055E-01 )  2.015E-01 ( 2.015E-01 )  2.016E-01 ( 2.016E-01 )
  6.310E-01  1.479E-01 ( 1.479E-01 )  1.458E-01 ( 1.458E-01 )  1.465E-01 ( 1.465E-01 )
  1.000E+00  9.326E-02 ( 9.326E-02 )  9.250E-02 ( 9.250E-02 )  9.305E-02 ( 9.305E-02 )
  1.585E+00  5.113E-02 ( 5.113E-02 )  5.102E-02 ( 5.102E-02 )  5.128E-02 ( 5.128E-02 )
  2.512E+00  2.489E-02 ( 2.489E-02 )  2.497E-02 ( 2.497E-02 )  2.505E-02 ( 2.505E-02 )
  3.981E+00  1.115E-02 ( 1.115E-02 )  1.123E-02 ( 1.123E-02 )  1.124E-02 ( 1.124E-02 )
  6.310E+00  4.746E-03 ( 4.746E-03 )  4.792E-03 ( 4.792E-03 )  4.793E-03 ( 4.793E-03 )
  1.000E+01  1.962E-03 ( 1.962E-03 )  1.985E-03 ( 1.985E-03 )  1.984E-03 ( 1.984E-03 )
  1.585E+01  7.981E-04 ( 7.981E-04 )  8.085E-04 ( 8.085E-04 )  8.076E-04 ( 8.076E-04 )
  2.512E+01  3.218E-04 ( 3.218E-04 )  3.262E-04 ( 3.262E-04 )  3.257E-04 ( 3.257E-04 )
  3.981E+01  1.291E-04 ( 1.291E-04 )  1.309E-04 ( 1.309E-04 )  1.307E-04 ( 1.307E-04 )
  6.310E+01  5.162E-05 ( 5.162E-05 )  5.237E-05 ( 5.237E-05 )  5.228E-05 ( 5.228E-05 )
  1.000E+02  2.061E-05 ( 2.061E-05 )  2.091E-05 ( 2.091E-05 )  2.087E-05 ( 2.087E-05 )
  1.585E+02  8.219E-06 ( 8.219E-06 )  8.341E-06 ( 8.341E-06 )  8.325E-06 ( 8.325E-06 )
