           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   2.785E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         7.962E-01                8.112E-01                8.148E-01
width incl.Dop.     8.267E-01                8.652E-01                9.078E-01

  0.000E+00  4.701E-01 ( 4.856E-01 )  4.560E-01 ( 4.834E-01 )  4.409E-01 ( 4.865E-01 )
  3.981E-02  4.689E-01 ( 4.842E-01 )  4.551E-01 ( 4.818E-01 )  4.402E-01 ( 4.845E-01 )
  6.310E-02  4.671E-01 ( 4.814E-01 )  4.537E-01 ( 4.789E-01 )  4.391E-01 ( 4.815E-01 )
  1.000E-01  4.626E-01 ( 4.748E-01 )  4.502E-01 ( 4.721E-01 )  4.364E-01 ( 4.745E-01 )
  1.585E-01  4.520E-01 ( 4.603E-01 )  4.416E-01 ( 4.577E-01 )  4.297E-01 ( 4.601E-01 )
  2.512E-01  4.281E-01 ( 4.318E-01 )  4.218E-01 ( 4.304E-01 )  4.137E-01 ( 4.338E-01 )
  3.981E-01  3.801E-01 ( 3.810E-01 )  3.795E-01 ( 3.829E-01 )  3.774E-01 ( 3.882E-01 )
  6.310E-01  2.964E-01 ( 2.954E-01 )  3.008E-01 ( 3.000E-01 )  3.049E-01 ( 3.047E-01 )
  1.000E+00  1.807E-01 ( 1.779E-01 )  1.861E-01 ( 1.806E-01 )  1.923E-01 ( 1.813E-01 )
  1.585E+00  7.930E-02 ( 7.780E-02 )  8.061E-02 ( 7.741E-02 )  8.270E-02 ( 7.597E-02 )
  2.512E+00  2.751E-02 ( 2.721E-02 )  2.701E-02 ( 2.639E-02 )  2.661E-02 ( 2.533E-02 )
  3.981E+00  8.868E-03 ( 8.828E-03 )  8.481E-03 ( 8.401E-03 )  8.091E-03 ( 7.933E-03 )
  6.310E+00  2.714E-03 ( 2.708E-03 )  2.575E-03 ( 2.565E-03 )  2.430E-03 ( 2.409E-03 )
  1.000E+01  8.747E-04 ( 8.742E-04 )  8.333E-04 ( 8.322E-04 )  7.863E-04 ( 7.842E-04 )
  1.585E+01  2.819E-04 ( 2.818E-04 )  2.711E-04 ( 2.709E-04 )  2.572E-04 ( 2.569E-04 )
  2.512E+01  9.030E-05 ( 9.029E-05 )  8.804E-05 ( 8.802E-05 )  8.420E-05 ( 8.416E-05 )
  3.981E+01  2.807E-05 ( 2.807E-05 )  2.833E-05 ( 2.833E-05 )  2.744E-05 ( 2.743E-05 )
  6.310E+01  8.862E-06 ( 8.862E-06 )  8.863E-06 ( 8.862E-06 )  8.875E-06 ( 8.875E-06 )
  1.000E+02  2.804E-06 ( 2.804E-06 )  2.805E-06 ( 2.805E-06 )  2.805E-06 ( 2.805E-06 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         8.077E-01                7.870E-01                7.469E-01
width incl.Dop.     9.666E-01                1.084E+00                1.268E+00

  0.000E+00  4.206E-01 ( 4.946E-01 )  3.892E-01 ( 5.094E-01 )  3.430E-01 ( 5.350E-01 )
  3.981E-02  4.201E-01 ( 4.925E-01 )  3.888E-01 ( 5.070E-01 )  3.427E-01 ( 5.327E-01 )
  6.310E-02  4.192E-01 ( 4.892E-01 )  3.882E-01 ( 5.036E-01 )  3.424E-01 ( 5.292E-01 )
  1.000E-01  4.171E-01 ( 4.819E-01 )  3.867E-01 ( 4.962E-01 )  3.414E-01 ( 5.205E-01 )
  1.585E-01  4.119E-01 ( 4.676E-01 )  3.829E-01 ( 4.819E-01 )  3.389E-01 ( 5.055E-01 )
  2.512E-01  3.993E-01 ( 4.422E-01 )  3.735E-01 ( 4.566E-01 )  3.330E-01 ( 4.786E-01 )
  3.981E-01  3.696E-01 ( 3.968E-01 )  3.513E-01 ( 4.089E-01 )  3.185E-01 ( 4.241E-01 )
  6.310E-01  3.068E-01 ( 3.093E-01 )  3.020E-01 ( 3.129E-01 )  2.852E-01 ( 3.135E-01 )
  1.000E+00  2.007E-01 ( 1.798E-01 )  2.109E-01 ( 1.752E-01 )  2.178E-01 ( 1.670E-01 )
  1.585E+00  8.735E-02 ( 7.343E-02 )  9.785E-02 ( 6.971E-02 )  1.166E-01 ( 6.490E-02 )
  2.512E+00  2.676E-02 ( 2.412E-02 )  2.848E-02 ( 2.275E-02 )  3.486E-02 ( 2.129E-02 )
  3.981E+00  7.793E-03 ( 7.480E-03 )  7.693E-03 ( 7.062E-03 )  8.029E-03 ( 6.658E-03 )
  6.310E+00  2.299E-03 ( 2.260E-03 )  2.196E-03 ( 2.120E-03 )  2.149E-03 ( 1.998E-03 )
  1.000E+01  7.365E-04 ( 7.325E-04 )  6.913E-04 ( 6.837E-04 )  6.550E-04 ( 6.401E-04 )
  1.585E+01  2.412E-04 ( 2.406E-04 )  2.252E-04 ( 2.242E-04 )  2.110E-04 ( 2.090E-04 )
  2.512E+01  7.937E-05 ( 7.930E-05 )  7.415E-05 ( 7.402E-05 )  6.914E-05 ( 6.889E-05 )
  3.981E+01  2.609E-05 ( 2.608E-05 )  2.450E-05 ( 2.448E-05 )  2.285E-05 ( 2.282E-05 )
  6.310E+01  8.543E-06 ( 8.542E-06 )  8.087E-06 ( 8.085E-06 )  7.569E-06 ( 7.565E-06 )
  1.000E+02  2.779E-06 ( 2.779E-06 )  2.659E-06 ( 2.659E-06 )  2.506E-06 ( 2.505E-06 )
  1.585E+02  8.977E-07 ( 8.977E-07 )  8.698E-07 ( 8.697E-07 )  8.281E-07 ( 8.280E-07 )
  2.512E+02  2.826E-07 ( 2.826E-07 )  2.829E-07 ( 2.829E-07 )  2.723E-07 ( 2.723E-07 )
  3.981E+02  9.007E-08 ( 9.007E-08 )  9.007E-08 ( 9.007E-08 )  8.915E-08 ( 8.915E-08 )
  6.310E+02                                                    2.908E-08 ( 2.908E-08 )
  1.000E+03                                                    9.297E-09 ( 9.297E-09 )
  1.585E+03                                                    3.027E-09 ( 3.027E-09 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-02                2.840E-02                2.011E-02
width Stark         6.823E-01                5.996E-01                5.230E-01
width incl.Dop.     1.543E+00                2.022E+00                2.705E+00

  0.000E+00  2.855E-01 ( 5.750E-01 )  2.255E-01 ( 6.370E-01 )  1.711E-01 ( 7.280E-01 )
  2.512E-02  2.855E-01 ( 5.740E-01 )  2.255E-01 ( 6.365E-01 )  1.711E-01 ( 7.283E-01 )
  3.981E-02  2.854E-01 ( 5.726E-01 )  2.255E-01 ( 6.333E-01 )  1.711E-01 ( 7.228E-01 )
  6.310E-02  2.852E-01 ( 5.680E-01 )  2.254E-01 ( 6.282E-01 )  1.711E-01 ( 7.165E-01 )
  1.000E-01  2.847E-01 ( 5.592E-01 )  2.251E-01 ( 6.175E-01 )  1.710E-01 ( 7.007E-01 )
  1.585E-01  2.834E-01 ( 5.423E-01 )  2.245E-01 ( 5.956E-01 )  1.707E-01 ( 6.680E-01 )
