           N LOWER =  3  N UPPER=  9  WAVELENGTH (angstroms)=  9231.60
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   8.885E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         2.347E+00                2.428E+00                2.448E+00
width incl.Dop.     2.347E+00                2.428E+00                2.448E+00

  0.000E+00  1.708E-01 ( 1.708E-01 )  1.654E-01 ( 1.654E-01 )  1.641E-01 ( 1.641E-01 )
  6.310E-02  1.703E-01 ( 1.703E-01 )  1.650E-01 ( 1.650E-01 )  1.638E-01 ( 1.638E-01 )
  1.000E-01  1.701E-01 ( 1.701E-01 )  1.648E-01 ( 1.648E-01 )  1.636E-01 ( 1.636E-01 )
  1.585E-01  1.697E-01 ( 1.697E-01 )  1.645E-01 ( 1.645E-01 )  1.633E-01 ( 1.633E-01 )
  2.512E-01  1.690E-01 ( 1.690E-01 )  1.640E-01 ( 1.640E-01 )  1.628E-01 ( 1.628E-01 )
  3.981E-01  1.668E-01 ( 1.668E-01 )  1.621E-01 ( 1.621E-01 )  1.610E-01 ( 1.610E-01 )
  6.310E-01  1.614E-01 ( 1.614E-01 )  1.573E-01 ( 1.573E-01 )  1.564E-01 ( 1.564E-01 )
  1.000E+00  1.487E-01 ( 1.487E-01 )  1.460E-01 ( 1.460E-01 )  1.454E-01 ( 1.454E-01 )
  1.585E+00  1.216E-01 ( 1.216E-01 )  1.210E-01 ( 1.210E-01 )  1.210E-01 ( 1.210E-01 )
  2.512E+00  7.755E-02 ( 7.755E-02 )  7.885E-02 ( 7.885E-02 )  7.917E-02 ( 7.917E-02 )
  3.981E+00  3.434E-02 ( 3.434E-02 )  3.538E-02 ( 3.538E-02 )  3.553E-02 ( 3.553E-02 )
  6.310E+00  1.143E-02 ( 1.143E-02 )  1.169E-02 ( 1.169E-02 )  1.169E-02 ( 1.169E-02 )
  1.000E+01  3.446E-03 ( 3.446E-03 )  3.492E-03 ( 3.492E-03 )  3.487E-03 ( 3.487E-03 )
  1.585E+01  1.040E-03 ( 1.040E-03 )  1.045E-03 ( 1.045E-03 )  1.044E-03 ( 1.044E-03 )
  2.512E+01  3.058E-04 ( 3.058E-04 )  3.064E-04 ( 3.064E-04 )  3.068E-04 ( 3.068E-04 )
  3.981E+01  9.638E-05 ( 9.638E-05 )  9.653E-05 ( 9.653E-05 )  9.661E-05 ( 9.661E-05 )
  6.310E+01  3.104E-05 ( 3.104E-05 )  3.106E-05 ( 3.106E-05 )  3.107E-05 ( 3.107E-05 )
  1.000E+02  1.029E-05 ( 1.029E-05 )  1.029E-05 ( 1.029E-05 )  1.029E-05 ( 1.029E-05 )
  1.585E+02  3.519E-06 ( 3.519E-06 )  3.519E-06 ( 3.519E-06 )  3.520E-06 ( 3.520E-06 )
  2.512E+02  8.494E-07 ( 8.494E-07 )  8.494E-07 ( 8.494E-07 )  8.494E-07 ( 8.494E-07 )
  3.981E+02  2.791E-07 ( 2.791E-07 )  2.791E-07 ( 2.791E-07 )  2.791E-07 ( 2.791E-07 )
  6.310E+02  9.330E-08 ( 9.330E-08 )  9.330E-08 ( 9.330E-08 )  9.330E-08 ( 9.330E-08 )
  1.000E+03  3.186E-08 ( 3.186E-08 )  3.186E-08 ( 3.186E-08 )  3.186E-08 ( 3.186E-08 )
  1.585E+03  1.116E-08 ( 1.116E-08 )  1.116E-08 ( 1.116E-08 )  1.116E-08 ( 1.116E-08 )
  2.512E+03  4.010E-09 ( 4.010E-09 )  4.010E-09 ( 4.010E-09 )  4.010E-09 ( 4.010E-09 )
  3.981E+03  1.478E-09 ( 1.478E-09 )  1.478E-09 ( 1.478E-09 )  1.478E-09 ( 1.478E-09 )
  6.310E+03  5.565E-10 ( 5.565E-10 )  5.565E-10 ( 5.565E-10 )  5.565E-10 ( 5.565E-10 )
  1.000E+04  2.131E-10 ( 2.131E-10 )  2.131E-10 ( 2.131E-10 )  2.131E-10 ( 2.131E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.660E-01                1.175E-01                8.318E-02
width Stark         2.421E+00                2.361E+00                2.284E+00
width incl.Dop.     2.421E+00                2.361E+00                2.284E+00

  0.000E+00  1.659E-01 ( 1.659E-01 )  1.701E-01 ( 1.701E-01 )  1.762E-01 ( 1.762E-01 )
  6.310E-02  1.656E-01 ( 1.656E-01 )  1.698E-01 ( 1.698E-01 )  1.759E-01 ( 1.759E-01 )
  1.000E-01  1.654E-01 ( 1.654E-01 )  1.696E-01 ( 1.696E-01 )  1.757E-01 ( 1.757E-01 )
  1.585E-01  1.651E-01 ( 1.651E-01 )  1.693E-01 ( 1.693E-01 )  1.754E-01 ( 1.754E-01 )
  2.512E-01  1.646E-01 ( 1.646E-01 )  1.689E-01 ( 1.689E-01 )  1.749E-01 ( 1.749E-01 )
  3.981E-01  1.627E-01 ( 1.627E-01 )  1.668E-01 ( 1.668E-01 )  1.725E-01 ( 1.725E-01 )
  6.310E-01  1.580E-01 ( 1.580E-01 )  1.616E-01 ( 1.616E-01 )  1.667E-01 ( 1.667E-01 )
  1.000E+00  1.465E-01 ( 1.465E-01 )  1.491E-01 ( 1.491E-01 )  1.527E-01 ( 1.527E-01 )
  1.585E+00  1.214E-01 ( 1.214E-01 )  1.222E-01 ( 1.222E-01 )  1.235E-01 ( 1.235E-01 )
