           N LOWER =  3  N UPPER=  9  WAVELENGTH (angstroms)=  9231.60
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   8.885E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         1.908E+00                1.869E+00                1.809E+00
width incl.Dop.     3.724E+00                4.835E+00                6.310E+00

  0.000E+00  1.177E-01 ( 2.081E-01 )  9.403E-02 ( 2.134E-01 )  7.223E-02 ( 2.207E-01 )
  2.512E-02  1.177E-01 ( 2.080E-01 )  9.403E-02 ( 2.133E-01 )  7.223E-02 ( 2.205E-01 )
  3.981E-02  1.176E-01 ( 2.079E-01 )  9.402E-02 ( 2.132E-01 )  7.223E-02 ( 2.205E-01 )
  6.310E-02  1.176E-01 ( 2.078E-01 )  9.402E-02 ( 2.131E-01 )  7.223E-02 ( 2.203E-01 )
  1.000E-01  1.176E-01 ( 2.077E-01 )  9.400E-02 ( 2.129E-01 )  7.222E-02 ( 2.201E-01 )
  1.585E-01  1.175E-01 ( 2.069E-01 )  9.396E-02 ( 2.121E-01 )  7.220E-02 ( 2.193E-01 )
  2.512E-01  1.173E-01 ( 2.051E-01 )  9.384E-02 ( 2.101E-01 )  7.215E-02 ( 2.172E-01 )
  3.981E-01  1.167E-01 ( 2.004E-01 )  9.356E-02 ( 2.052E-01 )  7.203E-02 ( 2.119E-01 )
  6.310E-01  1.152E-01 ( 1.895E-01 )  9.286E-02 ( 1.937E-01 )  7.173E-02 ( 1.995E-01 )
  1.000E+00  1.117E-01 ( 1.661E-01 )  9.113E-02 ( 1.691E-01 )  7.097E-02 ( 1.729E-01 )
  1.585E+00  1.032E-01 ( 1.233E-01 )  8.692E-02 ( 1.242E-01 )  6.910E-02 ( 1.248E-01 )
  2.512E+00  8.500E-02 ( 6.812E-02 )  7.724E-02 ( 6.706E-02 )  6.462E-02 ( 6.511E-02 )
  3.981E+00  5.327E-02 ( 2.672E-02 )  5.768E-02 ( 2.564E-02 )  5.467E-02 ( 2.430E-02 )
  6.310E+00  1.912E-02 ( 8.647E-03 )  2.861E-02 ( 8.171E-03 )  3.611E-02 ( 7.699E-03 )
  1.000E+01  3.882E-03 ( 2.694E-03 )  6.505E-03 ( 2.528E-03 )  1.336E-02 ( 2.369E-03 )
  1.585E+01  9.543E-04 ( 8.528E-04 )  1.025E-03 ( 7.669E-04 )  1.807E-03 ( 7.164E-04 )
  2.512E+01  2.844E-04 ( 2.731E-04 )  2.706E-04 ( 2.496E-04 )  2.815E-04 ( 2.329E-04 )
  3.981E+01  8.788E-05 ( 8.645E-05 )  8.444E-05 ( 8.179E-05 )  8.172E-05 ( 7.654E-05 )
  6.310E+01  2.818E-05 ( 2.801E-05 )  2.710E-05 ( 2.678E-05 )  2.584E-05 ( 2.523E-05 )
  1.000E+02  9.031E-06 ( 9.009E-06 )  8.765E-06 ( 8.723E-06 )  8.378E-06 ( 8.298E-06 )
  1.585E+02  2.826E-06 ( 2.823E-06 )  2.828E-06 ( 2.823E-06 )  2.727E-06 ( 2.716E-06 )
  2.512E+02  8.933E-07 ( 8.930E-07 )  8.937E-07 ( 8.930E-07 )  8.851E-07 ( 8.838E-07 )
  3.981E+02  2.828E-07 ( 2.828E-07 )  2.829E-07 ( 2.828E-07 )  2.854E-07 ( 2.853E-07 )
  6.310E+02  8.971E-08 ( 8.970E-08 )  8.971E-08 ( 8.970E-08 )  8.973E-08 ( 8.971E-08 )
  1.000E+03  2.851E-08 ( 2.851E-08 )  2.851E-08 ( 2.851E-08 )  2.851E-08 ( 2.851E-08 )
  1.585E+03  9.093E-09 ( 9.093E-09 )  9.093E-09 ( 9.093E-09 )  9.093E-09 ( 9.093E-09 )
  2.512E+03  2.516E-09 ( 2.516E-09 )  2.914E-09 ( 2.914E-09 )  2.914E-09 ( 2.914E-09 )
  3.981E+03  7.993E-10 ( 7.993E-10 )  7.993E-10 ( 7.993E-10 )  7.993E-10 ( 7.993E-10 )
  6.310E+03                           2.545E-10 ( 2.545E-10 )  2.545E-10 ( 2.545E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            5.248E-02                3.716E-02                2.630E-02
width Stark         1.715E+00                1.578E+00                1.449E+00
width incl.Dop.     8.617E+00                1.195E+01                1.652E+01

