           N LOWER =  3  N UPPER= 11  WAVELENGTH (angstroms)=  8865.27
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   1.449E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         3.414E+00                3.553E+00                3.614E+00
width incl.Dop.     3.414E+00                3.553E+00                3.614E+00

  0.000E+00  1.180E-01 ( 1.180E-01 )  1.136E-01 ( 1.136E-01 )  1.116E-01 ( 1.116E-01 )
  1.585E-02  1.179E-01 ( 1.179E-01 )  1.135E-01 ( 1.135E-01 )  1.116E-01 ( 1.116E-01 )
  2.512E-02  1.179E-01 ( 1.179E-01 )  1.135E-01 ( 1.135E-01 )  1.116E-01 ( 1.116E-01 )
  3.981E-02  1.178E-01 ( 1.178E-01 )  1.135E-01 ( 1.135E-01 )  1.115E-01 ( 1.115E-01 )
  6.310E-02  1.178E-01 ( 1.178E-01 )  1.134E-01 ( 1.134E-01 )  1.115E-01 ( 1.115E-01 )
  1.000E-01  1.177E-01 ( 1.177E-01 )  1.133E-01 ( 1.133E-01 )  1.114E-01 ( 1.114E-01 )
  1.585E-01  1.175E-01 ( 1.175E-01 )  1.131E-01 ( 1.131E-01 )  1.112E-01 ( 1.112E-01 )
  2.512E-01  1.172E-01 ( 1.172E-01 )  1.128E-01 ( 1.128E-01 )  1.110E-01 ( 1.110E-01 )
  3.981E-01  1.166E-01 ( 1.166E-01 )  1.123E-01 ( 1.123E-01 )  1.105E-01 ( 1.105E-01 )
  6.310E-01  1.147E-01 ( 1.147E-01 )  1.108E-01 ( 1.108E-01 )  1.091E-01 ( 1.091E-01 )
  1.000E+00  1.104E-01 ( 1.104E-01 )  1.071E-01 ( 1.071E-01 )  1.057E-01 ( 1.057E-01 )
  1.585E+00  1.003E-01 ( 1.003E-01 )  9.818E-02 ( 9.818E-02 )  9.730E-02 ( 9.730E-02 )
  2.512E+00  7.885E-02 ( 7.885E-02 )  7.876E-02 ( 7.876E-02 )  7.866E-02 ( 7.866E-02 )
  3.981E+00  4.651E-02 ( 4.651E-02 )  4.774E-02 ( 4.774E-02 )  4.820E-02 ( 4.820E-02 )
