           N LOWER =  3  N UPPER= 12  WAVELENGTH (angstroms)=  8752.93
                electronic density(1/cm**3)       1.000E+13
                conversion factor for wlengths=f0 5.808E-01
                wings factor                  =   1.813E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.637E-01                1.864E-01                1.318E-01
width Stark         3.819E+00                3.801E+00                3.724E+00
width incl.Dop.     3.819E+00                3.801E+00                3.776E+00

  0.000E+00  1.025E-01 ( 1.025E-01 )  1.030E-01 ( 1.030E-01 )  1.038E-01 ( 1.051E-01 )
  2.512E-02  1.024E-01 ( 1.024E-01 )  1.029E-01 ( 1.029E-01 )  1.038E-01 ( 1.050E-01 )
  3.981E-02  1.024E-01 ( 1.024E-01 )  1.028E-01 ( 1.028E-01 )  1.038E-01 ( 1.050E-01 )
  6.310E-02  1.023E-01 ( 1.023E-01 )  1.028E-01 ( 1.028E-01 )  1.038E-01 ( 1.049E-01 )
  1.000E-01  1.022E-01 ( 1.022E-01 )  1.027E-01 ( 1.027E-01 )  1.037E-01 ( 1.048E-01 )
  1.585E-01  1.020E-01 ( 1.020E-01 )  1.025E-01 ( 1.025E-01 )  1.037E-01 ( 1.046E-01 )
  2.512E-01  1.017E-01 ( 1.017E-01 )  1.022E-01 ( 1.022E-01 )  1.035E-01 ( 1.043E-01 )
  3.981E-01  1.012E-01 ( 1.012E-01 )  1.018E-01 ( 1.018E-01 )  1.029E-01 ( 1.038E-01 )
  6.310E-01  1.002E-01 ( 1.002E-01 )  1.007E-01 ( 1.007E-01 )  1.016E-01 ( 1.027E-01 )
  1.000E+00  9.701E-02 ( 9.701E-02 )  9.750E-02 ( 9.750E-02 )  9.843E-02 ( 9.930E-02 )
  1.585E+00  8.963E-02 ( 8.963E-02 )  9.005E-02 ( 9.005E-02 )  9.075E-02 ( 9.132E-02 )
  2.512E+00  7.404E-02 ( 7.404E-02 )  7.424E-02 ( 7.424E-02 )  7.451E-02 ( 7.462E-02 )
  3.981E+00  4.843E-02 ( 4.843E-02 )  4.831E-02 ( 4.831E-02 )  4.823E-02 ( 4.786E-02 )
  6.310E+00  2.225E-02 ( 2.225E-02 )  2.202E-02 ( 2.202E-02 )  2.176E-02 ( 2.147E-02 )
  1.000E+01  7.494E-03 ( 7.494E-03 )  7.384E-03 ( 7.384E-03 )  7.203E-03 ( 7.137E-03 )
  1.585E+01  2.238E-03 ( 2.238E-03 )  2.211E-03 ( 2.211E-03 )  2.154E-03 ( 2.146E-03 )
  2.512E+01  6.586E-04 ( 6.586E-04 )  6.598E-04 ( 6.598E-04 )  6.480E-04 ( 6.471E-04 )
  3.981E+01  1.921E-04 ( 1.921E-04 )  1.985E-04 ( 1.985E-04 )  1.970E-04 ( 1.969E-04 )
  6.310E+01  5.942E-05 ( 5.942E-05 )  5.944E-05 ( 5.944E-05 )  5.947E-05 ( 5.946E-05 )
  1.000E+02  1.859E-05 ( 1.859E-05 )  1.859E-05 ( 1.859E-05 )  1.859E-05 ( 1.859E-05 )
  1.585E+02  5.904E-06 ( 5.904E-06 )  5.904E-06 ( 5.904E-06 )  5.905E-06 ( 5.905E-06 )
  2.512E+02  1.889E-06 ( 1.889E-06 )  1.889E-06 ( 1.889E-06 )  1.889E-06 ( 1.889E-06 )
  3.981E+02  1.053E-06 ( 1.053E-06 )  1.053E-06 ( 1.053E-06 )  1.053E-06 ( 1.053E-06 )
  6.310E+02  3.356E-07 ( 3.356E-07 )  3.356E-07 ( 3.356E-07 )  3.356E-07 ( 3.356E-07 )
  1.000E+03  1.074E-07 ( 1.074E-07 )  1.074E-07 ( 1.074E-07 )  1.074E-07 ( 1.074E-07 )
  1.585E+03  3.457E-08 ( 3.457E-08 )  3.457E-08 ( 3.457E-08 )  3.457E-08 ( 3.457E-08 )
  2.512E+03  1.123E-08 ( 1.123E-08 )  1.123E-08 ( 1.123E-08 )  1.123E-08 ( 1.123E-08 )
  3.981E+03  3.697E-09 ( 3.697E-09 )  3.697E-09 ( 3.697E-09 )  3.697E-09 ( 3.697E-09 )
  6.310E+03  1.238E-09 ( 1.238E-09 )  1.238E-09 ( 1.238E-09 )
  1.000E+04  4.241E-10 ( 4.241E-10 )  4.241E-10 ( 4.241E-10 )
  1.585E+04  1.489E-10 ( 1.489E-10 )  1.489E-10 ( 1.489E-10 )
  2.512E+04  5.370E-11 ( 5.370E-11 )  5.370E-11 ( 5.370E-11 )
  3.981E+04  1.984E-11 ( 1.984E-11 )  1.984E-11 ( 1.984E-11 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            9.333E-02                6.607E-02                4.678E-02
width Stark         3.612E+00                3.484E+00                3.352E+00
width incl.Dop.     3.712E+00                3.694E+00                3.773E+00

  0.000E+00  1.059E-01 ( 1.085E-01 )  1.072E-01 ( 1.128E-01 )  1.062E-01 ( 1.176E-01 )
  1.585E-02  1.059E-01 ( 1.084E-01 )  1.072E-01 ( 1.127E-01 )  1.062E-01 ( 1.176E-01 )
  2.512E-02  1.059E-01 ( 1.084E-01 )  1.072E-01 ( 1.127E-01 )  1.062E-01 ( 1.176E-01 )
  3.981E-02  1.059E-01 ( 1.084E-01 )  1.072E-01 ( 1.127E-01 )  1.062E-01 ( 1.175E-01 )
  6.310E-02  1.059E-01 ( 1.083E-01 )  1.072E-01 ( 1.126E-01 )  1.062E-01 ( 1.175E-01 )
  1.000E-01  1.059E-01 ( 1.083E-01 )  1.072E-01 ( 1.125E-01 )  1.061E-01 ( 1.174E-01 )
  1.585E-01  1.058E-01 ( 1.081E-01 )  1.071E-01 ( 1.124E-01 )  1.060E-01 ( 1.172E-01 )
  2.512E-01  1.056E-01 ( 1.079E-01 )  1.068E-01 ( 1.122E-01 )  1.058E-01 ( 1.170E-01 )
  3.981E-01  1.050E-01 ( 1.074E-01 )  1.063E-01 ( 1.116E-01 )  1.053E-01 ( 1.164E-01 )
  6.310E-01  1.036E-01 ( 1.059E-01 )  1.048E-01 ( 1.099E-01 )  1.039E-01 ( 1.144E-01 )
  1.000E+00  1.001E-01 ( 1.021E-01 )  1.013E-01 ( 1.056E-01 )  1.006E-01 ( 1.096E-01 )
  1.585E+00  9.209E-02 ( 9.335E-02 )  9.308E-02 ( 9.583E-02 )  9.287E-02 ( 9.862E-02 )
  2.512E+00  7.509E-02 ( 7.527E-02 )  7.584E-02 ( 7.605E-02 )  7.647E-02 ( 7.684E-02 )
  3.981E+00  4.802E-02 ( 4.719E-02 )  4.821E-02 ( 4.634E-02 )  4.924E-02 ( 4.530E-02 )
  6.310E+00  2.123E-02 ( 2.063E-02 )  2.088E-02 ( 1.963E-02 )  2.113E-02 ( 1.855E-02 )
  1.000E+01  6.909E-03 ( 6.780E-03 )  6.609E-03 ( 6.358E-03 )  6.426E-03 ( 5.931E-03 )
  1.585E+01  2.064E-03 ( 2.048E-03 )  1.957E-03 ( 1.927E-03 )  1.858E-03 ( 1.801E-03 )
  2.512E+01  6.270E-04 ( 6.252E-04 )  5.982E-04 ( 5.947E-04 )  5.661E-04 ( 5.596E-04 )
  3.981E+01  1.945E-04 ( 1.943E-04 )  1.882E-04 ( 1.877E-04 )  1.782E-04 ( 1.774E-04 )
  6.309E+01  6.060E-05 ( 6.058E-05 )  5.963E-05 ( 5.957E-05 )  5.650E-05 ( 5.640E-05 )
  1.000E+02  1.861E-05 ( 1.860E-05 )  1.877E-05 ( 1.877E-05 )  1.836E-05 ( 1.834E-05 )
  1.585E+02  5.907E-06 ( 5.906E-06 )  5.907E-06 ( 5.906E-06 )  5.932E-06 ( 5.930E-06 )
  2.512E+02  1.889E-06 ( 1.889E-06 )  1.889E-06 ( 1.889E-06 )  1.890E-06 ( 1.889E-06 )
  3.981E+02  6.101E-07 ( 6.101E-07 )  6.101E-07 ( 6.101E-07 )  6.101E-07 ( 6.101E-07 )
  6.309E+02  3.357E-07 ( 3.357E-07 )  3.357E-07 ( 3.357E-07 )  1.996E-07 ( 1.996E-07 )
  1.000E+03  1.074E-07 ( 1.074E-07 )  1.074E-07 ( 1.074E-07 )  1.074E-07 ( 1.074E-07 )
  1.585E+03  3.457E-08 ( 3.457E-08 )  3.457E-08 ( 3.457E-08 )  3.457E-08 ( 3.457E-08 )
  2.512E+03  1.123E-08 ( 1.123E-08 )  1.123E-08 ( 1.123E-08 )  1.123E-08 ( 1.123E-08 )
  3.981E+03  3.698E-09 ( 3.698E-09 )  3.698E-09 ( 3.698E-09 )  3.698E-09 ( 3.698E-09 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            3.311E-02                2.344E-02                1.660E-02
width Stark         3.211E+00                3.057E+00                2.876E+00
width incl.Dop.     4.047E+00                4.677E+00                5.598E+00

  0.000E+00  1.011E-01 ( 1.231E-01 )  9.126E-02 ( 1.294E-01 )  7.755E-02 ( 1.369E-01 )
  1.585E-02  1.011E-01 ( 1.231E-01 )  9.126E-02 ( 1.293E-01 )  7.755E-02 ( 1.368E-01 )
  2.512E-02  1.011E-01 ( 1.230E-01 )  9.126E-02 ( 1.293E-01 )  7.755E-02 ( 1.368E-01 )
  3.981E-02  1.011E-01 ( 1.230E-01 )  9.126E-02 ( 1.292E-01 )  7.755E-02 ( 1.367E-01 )
  6.310E-02  1.011E-01 ( 1.229E-01 )  9.125E-02 ( 1.292E-01 )  7.754E-02 ( 1.366E-01 )
  1.000E-01  1.011E-01 ( 1.228E-01 )  9.123E-02 ( 1.290E-01 )  7.753E-02 ( 1.364E-01 )
  1.585E-01  1.010E-01 ( 1.226E-01 )  9.118E-02 ( 1.288E-01 )  7.750E-02 ( 1.362E-01 )
  2.512E-01  1.008E-01 ( 1.224E-01 )  9.106E-02 ( 1.285E-01 )  7.744E-02 ( 1.357E-01 )
  3.981E-01  1.004E-01 ( 1.217E-01 )  9.076E-02 ( 1.277E-01 )  7.726E-02 ( 1.347E-01 )
  6.310E-01  9.929E-02 ( 1.194E-01 )  9.000E-02 ( 1.251E-01 )  7.683E-02 ( 1.317E-01 )
  1.000E+00  9.659E-02 ( 1.140E-01 )  8.814E-02 ( 1.188E-01 )  7.576E-02 ( 1.245E-01 )
  1.585E+00  9.017E-02 ( 1.016E-01 )  8.365E-02 ( 1.048E-01 )  7.315E-02 ( 1.082E-01 )
  2.512E+00  7.620E-02 ( 7.751E-02 )  7.350E-02 ( 7.789E-02 )  6.700E-02 ( 7.775E-02 )
  3.981E+00  5.138E-02 ( 4.401E-02 )  5.375E-02 ( 4.234E-02 )  5.395E-02 ( 4.022E-02 )
  6.310E+00  2.272E-02 ( 1.744E-02 )  2.655E-02 ( 1.627E-02 )  3.210E-02 ( 1.507E-02 )
  1.000E+01  6.547E-03 ( 5.524E-03 )  7.472E-03 ( 5.144E-03 )  1.048E-02 ( 4.783E-03 )
  1.585E+01  1.791E-03 ( 1.679E-03 )  1.798E-03 ( 1.564E-03 )  2.022E-03 ( 1.451E-03 )
  2.512E+01  5.347E-04 ( 5.222E-04 )  5.113E-04 ( 4.871E-04 )  4.881E-04 ( 4.374E-04 )
  3.981E+01  1.679E-04 ( 1.665E-04 )  1.582E-04 ( 1.554E-04 )  1.465E-04 ( 1.415E-04 )
  6.309E+01  5.356E-05 ( 5.337E-05 )  5.032E-05 ( 4.996E-05 )  4.719E-05 ( 4.654E-05 )
  1.000E+02  1.757E-05 ( 1.755E-05 )  1.657E-05 ( 1.653E-05 )  1.552E-05 ( 1.544E-05 )
  1.585E+02  5.764E-06 ( 5.761E-06 )  5.486E-06 ( 5.481E-06 )  5.156E-06 ( 5.145E-06 )
  2.512E+02  1.888E-06 ( 1.888E-06 )  1.817E-06 ( 1.817E-06 )  1.723E-06 ( 1.721E-06 )
  3.981E+02  6.169E-07 ( 6.169E-07 )  6.032E-07 ( 6.031E-07 )  5.774E-07 ( 5.772E-07 )
  6.309E+02  1.996E-07 ( 1.996E-07 )  2.009E-07 ( 2.009E-07 )  1.948E-07 ( 1.948E-07 )
