           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   1.018E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         2.186E-01                2.255E-01                2.290E-01
width incl.Dop.     2.335E-01                2.526E-01                2.865E-01

  0.000E+00  1.458E+00 ( 1.532E+00 )  1.370E+00 ( 1.493E+00 )  1.282E+00 ( 1.481E+00 )
  1.000E-02  1.455E+00 ( 1.530E+00 )  1.368E+00 ( 1.492E+00 )  1.280E+00 ( 1.480E+00 )
  1.585E-02  1.451E+00 ( 1.526E+00 )  1.365E+00 ( 1.487E+00 )  1.278E+00 ( 1.475E+00 )
  2.512E-02  1.441E+00 ( 1.510E+00 )  1.358E+00 ( 1.472E+00 )  1.273E+00 ( 1.463E+00 )
  3.981E-02  1.416E+00 ( 1.476E+00 )  1.339E+00 ( 1.442E+00 )  1.259E+00 ( 1.431E+00 )
  6.310E-02  1.356E+00 ( 1.397E+00 )  1.293E+00 ( 1.369E+00 )  1.226E+00 ( 1.362E+00 )
  1.000E-01  1.227E+00 ( 1.238E+00 )  1.190E+00 ( 1.221E+00 )  1.149E+00 ( 1.220E+00 )
  1.585E-01  9.880E-01 ( 9.757E-01 )  9.883E-01 ( 9.735E-01 )  9.870E-01 ( 9.784E-01 )
  2.512E-01  6.680E-01 ( 6.525E-01 )  6.879E-01 ( 6.593E-01 )  7.152E-01 ( 6.655E-01 )
  3.981E-01  3.712E-01 ( 3.634E-01 )  3.864E-01 ( 3.706E-01 )  4.063E-01 ( 3.741E-01 )
  6.310E-01  1.720E-01 ( 1.697E-01 )  1.782E-01 ( 1.734E-01 )  1.838E-01 ( 1.737E-01 )
  1.000E+00  6.817E-02 ( 6.767E-02 )  6.960E-02 ( 6.855E-02 )  6.995E-02 ( 6.776E-02 )
  1.585E+00  2.408E-02 ( 2.399E-02 )  2.403E-02 ( 2.386E-02 )  2.364E-02 ( 2.329E-02 )
  2.512E+00  8.064E-03 ( 8.052E-03 )  7.855E-03 ( 7.831E-03 )  7.598E-03 ( 7.549E-03 )
  3.981E+00  2.681E-03 ( 2.680E-03 )  2.556E-03 ( 2.552E-03 )  2.434E-03 ( 2.428E-03 )
  6.310E+00  8.693E-04 ( 8.691E-04 )  8.198E-04 ( 8.194E-04 )  7.717E-04 ( 7.709E-04 )
  1.000E+01  2.878E-04 ( 2.877E-04 )  2.708E-04 ( 2.707E-04 )  2.535E-04 ( 2.534E-04 )
  1.585E+01  9.522E-05 ( 9.522E-05 )  8.981E-05 ( 8.980E-05 )  8.415E-05 ( 8.414E-05 )
  2.512E+01  3.127E-05 ( 3.127E-05 )  2.971E-05 ( 2.971E-05 )  2.793E-05 ( 2.793E-05 )
  3.981E+01  1.018E-05 ( 1.018E-05 )  9.784E-06 ( 9.784E-06 )  9.250E-06 ( 9.249E-06 )
  6.310E+01  3.286E-06 ( 3.286E-06 )  3.194E-06 ( 3.194E-06 )  3.050E-06 ( 3.050E-06 )
  1.000E+02  1.034E-06 ( 1.034E-06 )  1.036E-06 ( 1.036E-06 )  1.001E-06 ( 1.001E-06 )
  1.585E+02  3.298E-07 ( 3.298E-07 )  3.298E-07 ( 3.298E-07 )  3.270E-07 ( 3.270E-07 )
  2.512E+02                                                    1.065E-07 ( 1.065E-07 )
  3.981E+02                                                    3.412E-08 ( 3.412E-08 )
  6.310E+02                                                    1.113E-08 ( 1.113E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.660E-01                1.175E-01                8.318E-02
width Stark         2.278E-01                2.200E-01                2.044E-01
width incl.Dop.     3.240E-01                3.707E-01                4.520E-01

  0.000E+00  1.185E+00 ( 1.502E+00 )  1.071E+00 ( 1.568E+00 )  9.331E-01 ( 1.696E+00 )
  1.000E-02  1.184E+00 ( 1.501E+00 )  1.070E+00 ( 1.566E+00 )  9.328E-01 ( 1.694E+00 )
  1.585E-02  1.183E+00 ( 1.494E+00 )  1.069E+00 ( 1.561E+00 )  9.322E-01 ( 1.687E+00 )
  2.512E-02  1.179E+00 ( 1.484E+00 )  1.067E+00 ( 1.548E+00 )  9.309E-01 ( 1.670E+00 )
  3.981E-02  1.170E+00 ( 1.451E+00 )  1.061E+00 ( 1.513E+00 )  9.275E-01 ( 1.627E+00 )
  6.310E-02  1.147E+00 ( 1.382E+00 )  1.047E+00 ( 1.436E+00 )  9.192E-01 ( 1.535E+00 )
  1.000E-01  1.093E+00 ( 1.238E+00 )  1.012E+00 ( 1.278E+00 )  8.986E-01 ( 1.346E+00 )
  1.585E-01  9.725E-01 ( 9.908E-01 )  9.300E-01 ( 1.011E+00 )  8.493E-01 ( 1.034E+00 )
  2.512E-01  7.447E-01 ( 6.700E-01 )  7.598E-01 ( 6.691E-01 )  7.390E-01 ( 6.581E-01 )
  3.981E-01  4.376E-01 ( 3.719E-01 )  4.841E-01 ( 3.614E-01 )  5.298E-01 ( 3.408E-01 )
  6.310E-01  1.917E-01 ( 1.697E-01 )  2.109E-01 ( 1.608E-01 )  2.567E-01 ( 1.471E-01 )
  1.000E+00  6.979E-02 ( 6.529E-02 )  7.059E-02 ( 6.111E-02 )  7.762E-02 ( 5.537E-02 )
  1.585E+00  2.302E-02 ( 2.232E-02 )  2.233E-02 ( 2.096E-02 )  2.192E-02 ( 1.920E-02 )
  2.512E+00  7.317E-03 ( 7.222E-03 )  7.022E-03 ( 6.842E-03 )  6.718E-03 ( 6.380E-03 )
  3.981E+00  2.324E-03 ( 2.312E-03 )  2.221E-03 ( 2.198E-03 )  2.121E-03 ( 2.078E-03 )
  6.310E+00  7.284E-04 ( 7.268E-04 )  7.113E-04 ( 7.085E-04 )  6.788E-04 ( 6.735E-04 )
  1.000E+01  2.378E-04 ( 2.377E-04 )  2.238E-04 ( 2.234E-04 )  2.120E-04 ( 2.113E-04 )
  1.585E+01  7.854E-05 ( 7.852E-05 )  7.345E-05 ( 7.341E-05 )  6.907E-05 ( 6.899E-05 )
  2.512E+01  2.606E-05 ( 2.605E-05 )  2.429E-05 ( 2.429E-05 )  2.273E-05 ( 2.271E-05 )
  3.981E+01  8.655E-06 ( 8.655E-06 )  8.064E-06 ( 8.063E-06 )  7.519E-06 ( 7.518E-06 )
  6.310E+01  2.872E-06 ( 2.872E-06 )  2.681E-06 ( 2.681E-06 )  2.497E-06 ( 2.497E-06 )
  1.000E+02  9.509E-07 ( 9.509E-07 )  8.920E-07 ( 8.920E-07 )  8.317E-07 ( 8.316E-07 )
  1.585E+02  3.140E-07 ( 3.140E-07 )  2.968E-07 ( 2.968E-07 )  2.776E-07 ( 2.776E-07 )
  2.512E+02  1.035E-07 ( 1.035E-07 )  9.870E-08 ( 9.870E-08 )  9.290E-08 ( 9.290E-08 )
  3.981E+02  3.408E-08 ( 3.408E-08 )  3.286E-08 ( 3.286E-08 )  3.117E-08 ( 3.117E-08 )
  6.310E+02  1.113E-08 ( 1.113E-08 )  1.097E-08 ( 1.097E-08 )  1.050E-08 ( 1.050E-08 )
  1.000E+03                           3.691E-09 ( 3.691E-09 )  3.567E-09 ( 3.567E-09 )
  1.585E+03                           1.243E-09 ( 1.243E-09 )  1.227E-09 ( 1.227E-09 )
  2.512E+03                                                    4.290E-10 ( 4.290E-10 )
  3.981E+03                                                    1.521E-10 ( 1.521E-10 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            5.889E-02                4.169E-02                2.951E-02
width Stark         1.808E-01                1.517E-01                1.281E-01
width incl.Dop.     5.619E-01                7.405E-01                9.809E-01

  0.000E+00  7.745E-01 ( 1.903E+00 )  6.122E-01 ( 2.211E+00 )  4.650E-01 ( 2.649E+00 )
  6.310E-03  7.745E-01 ( 1.902E+00 )  6.122E-01 ( 2.212E+00 )  4.650E-01 ( 2.646E+00 )
  1.000E-02  7.744E-01 ( 1.900E+00 )  6.121E-01 ( 2.205E+00 )  4.650E-01 ( 2.644E+00 )
  1.585E-02  7.741E-01 ( 1.889E+00 )  6.120E-01 ( 2.193E+00 )  4.649E-01 ( 2.610E+00 )
  2.512E-02  7.734E-01 ( 1.866E+00 )  6.117E-01 ( 2.158E+00 )  4.648E-01 ( 2.549E+00 )
  3.981E-02  7.717E-01 ( 1.809E+00 )  6.109E-01 ( 2.066E+00 )  4.644E-01 ( 2.411E+00 )
  6.310E-02  7.674E-01 ( 1.683E+00 )  6.090E-01 ( 1.879E+00 )  4.636E-01 ( 2.110E+00 )
  1.000E-01  7.568E-01 ( 1.435E+00 )  6.041E-01 ( 1.533E+00 )  4.616E-01 ( 1.613E+00 )
  1.585E-01  7.308E-01 ( 1.053E+00 )  5.920E-01 ( 1.050E+00 )  4.565E-01 ( 1.013E+00 )
  2.512E-01  6.697E-01 ( 6.311E-01 )  5.628E-01 ( 5.850E-01 )  4.440E-01 ( 5.212E-01 )
  3.981E-01  5.399E-01 ( 3.100E-01 )  4.960E-01 ( 2.717E-01 )  4.142E-01 ( 2.300E-01 )
  6.310E-01  3.228E-01 ( 1.297E-01 )  3.628E-01 ( 1.106E-01 )  3.481E-01 ( 9.167E-02 )
  1.000E+00  1.082E-01 ( 4.858E-02 )  1.717E-01 ( 4.138E-02 )  2.262E-01 ( 3.433E-02 )
