           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   1.018E-01

T(K)                                                                  7.943E+04
RO/Debye                                                              5.667E-01
width Stark                                                           2.336E-01
width incl.Dop.                                                       2.336E-01

  0.000E+00                                                    1.105E+00 ( 1.105E+00 )
  2.512E-02                                                    1.059E+00 ( 1.059E+00 )
  3.981E-02                                                    1.026E+00 ( 1.026E+00 )
  6.310E-02                                                    9.656E-01 ( 9.656E-01 )
  1.000E-01                                                    8.633E-01 ( 8.633E-01 )
  1.585E-01                                                    7.082E-01 ( 7.082E-01 )
  2.512E-01                                                    5.160E-01 ( 5.160E-01 )
  3.981E-01                                                    3.279E-01 ( 3.279E-01 )
  6.310E-01                                                    1.817E-01 ( 1.817E-01 )
  1.000E+00                                                    8.848E-02 ( 8.848E-02 )
  1.585E+00                                                    3.876E-02 ( 3.876E-02 )
  2.512E+00                                                    1.585E-02 ( 1.585E-02 )
  3.981E+00                                                    6.271E-03 ( 6.271E-03 )
  6.310E+00                                                    2.455E-03 ( 2.455E-03 )
  1.000E+01                                                    9.610E-04 ( 9.610E-04 )
  1.585E+01                                                    3.775E-04 ( 3.775E-04 )
  2.512E+01                                                    1.488E-04 ( 1.488E-04 )
  3.981E+01                                                    5.886E-05 ( 5.886E-05 )
  6.310E+01                                                    2.333E-05 ( 2.333E-05 )
  1.000E+02                                                    9.262E-06 ( 9.262E-06 )
  1.585E+02                                                    3.680E-06 ( 3.680E-06 )
  2.512E+02                                                    1.463E-06 ( 1.463E-06 )
  3.981E+02                                                    5.822E-07 ( 5.822E-07 )
  6.310E+02                                                    2.317E-07 ( 2.317E-07 )
  1.000E+03                                                    9.220E-08 ( 9.220E-08 )
  1.585E+03                                                    3.670E-08 ( 3.670E-08 )
  2.512E+03                                                    1.461E-08 ( 1.461E-08 )
  3.981E+03                                                    5.815E-09 ( 5.815E-09 )
  6.310E+03                                                    2.315E-09 ( 2.315E-09 )
  1.000E+04                                                    9.216E-10 ( 9.216E-10 )
  1.585E+04                                                    3.669E-10 ( 3.669E-10 )
  2.512E+04                                                    1.460E-10 ( 1.460E-10 )
  3.981E+04                                                    5.814E-11 ( 5.814E-11 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-01                2.840E-01                2.011E-01
width Stark         2.342E-01                2.304E-01                2.235E-01
width incl.Dop.     2.342E-01                2.304E-01                2.235E-01

  0.000E+00  1.086E+00 ( 1.086E+00 )  1.094E+00 ( 1.094E+00 )  1.124E+00 ( 1.124E+00 )
  1.000E-02  1.070E+00 ( 1.070E+00 )  1.079E+00 ( 1.079E+00 )  1.109E+00 ( 1.109E+00 )
  1.585E-02  1.060E+00 ( 1.060E+00 )  1.068E+00 ( 1.068E+00 )  1.098E+00 ( 1.098E+00 )
  2.512E-02  1.041E+00 ( 1.041E+00 )  1.049E+00 ( 1.049E+00 )  1.078E+00 ( 1.078E+00 )
  3.981E-02  1.008E+00 ( 1.008E+00 )  1.015E+00 ( 1.015E+00 )  1.041E+00 ( 1.041E+00 )
  6.310E-02  9.489E-01 ( 9.489E-01 )  9.537E-01 ( 9.537E-01 )  9.750E-01 ( 9.750E-01 )
  1.000E-01  8.484E-01 ( 8.484E-01 )  8.496E-01 ( 8.496E-01 )  8.638E-01 ( 8.638E-01 )
  1.585E-01  6.965E-01 ( 6.965E-01 )  6.943E-01 ( 6.943E-01 )  6.997E-01 ( 6.997E-01 )
  2.512E-01  5.085E-01 ( 5.085E-01 )  5.044E-01 ( 5.044E-01 )  5.034E-01 ( 5.034E-01 )
  3.981E-01  3.251E-01 ( 3.251E-01 )  3.218E-01 ( 3.218E-01 )  3.191E-01 ( 3.191E-01 )
  6.310E-01  1.821E-01 ( 1.821E-01 )  1.809E-01 ( 1.809E-01 )  1.793E-01 ( 1.793E-01 )
  1.000E+00  8.986E-02 ( 8.986E-02 )  8.994E-02 ( 8.994E-02 )  8.928E-02 ( 8.928E-02 )
  1.585E+00  3.974E-02 ( 3.974E-02 )  4.002E-02 ( 4.002E-02 )  3.969E-02 ( 3.969E-02 )
  2.512E+00  1.631E-02 ( 1.631E-02 )  1.646E-02 ( 1.646E-02 )  1.627E-02 ( 1.627E-02 )
  3.981E+00  6.454E-03 ( 6.454E-03 )  6.509E-03 ( 6.509E-03 )  6.407E-03 ( 6.407E-03 )
  6.310E+00  2.524E-03 ( 2.524E-03 )  2.541E-03 ( 2.541E-03 )  2.493E-03 ( 2.493E-03 )
  1.000E+01  9.865E-04 ( 9.865E-04 )  9.915E-04 ( 9.915E-04 )  9.706E-04 ( 9.706E-04 )
  1.585E+01  3.871E-04 ( 3.871E-04 )  3.886E-04 ( 3.886E-04 )  3.798E-04 ( 3.798E-04 )
  2.512E+01  1.525E-04 ( 1.525E-04 )  1.529E-04 ( 1.529E-04 )  1.494E-04 ( 1.494E-04 )
  3.981E+01  6.028E-05 ( 6.028E-05 )  6.042E-05 ( 6.042E-05 )  5.897E-05 ( 5.897E-05 )
  6.310E+01  2.388E-05 ( 2.388E-05 )  2.393E-05 ( 2.393E-05 )  2.398E-05 ( 2.398E-05 )
  1.000E+02  9.480E-06 ( 9.480E-06 )  9.837E-06 ( 9.837E-06 )  9.486E-06 ( 9.486E-06 )
  1.585E+02  3.766E-06 ( 3.766E-06 )  3.901E-06 ( 3.901E-06 )  3.762E-06 ( 3.762E-06 )
  2.512E+02  1.498E-06 ( 1.498E-06 )  1.549E-06 ( 1.549E-06 )  1.494E-06 ( 1.494E-06 )
  3.981E+02  5.957E-07 ( 5.957E-07 )  6.158E-07 ( 6.158E-07 )  5.938E-07 ( 5.938E-07 )
  6.310E+02  2.370E-07 ( 2.370E-07 )  2.449E-07 ( 2.449E-07 )  2.362E-07 ( 2.362E-07 )
  1.000E+03  9.434E-08 ( 9.434E-08 )  9.744E-08 ( 9.744E-08 )  9.395E-08 ( 9.395E-08 )
  1.585E+03  3.755E-08 ( 3.755E-08 )  3.878E-08 ( 3.878E-08 )  3.739E-08 ( 3.739E-08 )
  2.512E+03  1.495E-08 ( 1.495E-08 )  1.543E-08 ( 1.543E-08 )  1.488E-08 ( 1.488E-08 )
  3.981E+03  5.950E-09 ( 5.950E-09 )  6.143E-09 ( 6.143E-09 )  5.923E-09 ( 5.923E-09 )
  6.310E+03  2.368E-09 ( 2.368E-09 )  2.446E-09 ( 2.446E-09 )  2.358E-09 ( 2.358E-09 )
  1.000E+04  9.429E-10 ( 9.429E-10 )  9.735E-10 ( 9.735E-10 )  9.386E-10 ( 9.386E-10 )
  1.585E+04  3.754E-10 ( 3.754E-10 )  3.875E-10 ( 3.875E-10 )  3.737E-10 ( 3.737E-10 )
  2.512E+04  1.494E-10 ( 1.494E-10 )  1.543E-10 ( 1.543E-10 )  1.488E-10 ( 1.488E-10 )
  3.981E+04  5.949E-11 ( 5.949E-11 )  6.142E-11 ( 6.142E-11 )  5.922E-11 ( 5.922E-11 )

T(K)                1.259E+06
RO/Debye            1.424E-01
width Stark         2.147E-01
width incl.Dop.     2.147E-01

  0.000E+00  1.169E+00 ( 1.169E+00 )
  1.000E-02  1.155E+00 ( 1.155E+00 )
  1.585E-02  1.141E+00 ( 1.141E+00 )
  2.512E-02  1.120E+00 ( 1.120E+00 )
  3.981E-02  1.079E+00 ( 1.079E+00 )
  6.310E-02  1.006E+00 ( 1.006E+00 )
  1.000E-01  8.847E-01 ( 8.847E-01 )
  1.585E-01  7.087E-01 ( 7.087E-01 )
  2.512E-01  5.037E-01 ( 5.037E-01 )
  3.981E-01  3.166E-01 ( 3.166E-01 )
  6.310E-01  1.774E-01 ( 1.774E-01 )
  1.000E+00  8.814E-02 ( 8.814E-02 )
  1.585E+00  3.902E-02 ( 3.902E-02 )
  2.512E+00  1.592E-02 ( 1.592E-02 )
  3.981E+00  6.237E-03 ( 6.237E-03 )
  6.310E+00  2.418E-03 ( 2.418E-03 )
  1.000E+01  9.389E-04 ( 9.389E-04 )
  1.585E+01  3.667E-04 ( 3.667E-04 )
  2.512E+01  1.440E-04 ( 1.440E-04 )
  3.981E+01  5.816E-05 ( 5.816E-05 )
  6.310E+01  2.292E-05 ( 2.292E-05 )
  1.000E+02  9.068E-06 ( 9.068E-06 )
  1.585E+02  3.596E-06 ( 3.596E-06 )
  2.512E+02  1.428E-06 ( 1.428E-06 )
  3.981E+02  5.675E-07 ( 5.675E-07 )
  6.310E+02  2.257E-07 ( 2.257E-07 )
  1.000E+03  8.980E-08 ( 8.980E-08 )
  1.585E+03  3.573E-08 ( 3.573E-08 )
  2.512E+03  1.422E-08 ( 1.422E-08 )
  3.981E+03  5.661E-09 ( 5.661E-09 )
  6.310E+03  2.253E-09 ( 2.253E-09 )
  1.000E+04  8.971E-10 ( 8.971E-10 )
  1.585E+04  3.571E-10 ( 3.571E-10 )
  2.512E+04  1.422E-10 ( 1.422E-10 )
  3.981E+04  5.660E-11 ( 5.660E-11 )
