           N LOWER =  3  N UPPER=  7  WAVELENGTH (angstroms)= 10052.19
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   4.001E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         8.228E-01                7.497E-01                6.446E-01
width incl.Dop.     1.461E+01                2.070E+01                2.933E+01

  0.000E+00  3.218E-02 ( 4.671E-01 )  2.290E-02 ( 5.079E-01 )  1.625E-02 ( 5.699E-01 )
  1.000E-01  3.217E-02 ( 4.602E-01 )  2.290E-02 ( 4.988E-01 )  1.625E-02 ( 5.571E-01 )
  1.585E-01  3.217E-02 ( 4.509E-01 )  2.290E-02 ( 4.867E-01 )  1.625E-02 ( 5.394E-01 )
  2.512E-01  3.217E-02 ( 4.291E-01 )  2.290E-02 ( 4.586E-01 )  1.625E-02 ( 4.993E-01 )
  3.981E-01  3.216E-02 ( 3.820E-01 )  2.289E-02 ( 3.991E-01 )  1.625E-02 ( 4.184E-01 )
  6.310E-01  3.213E-02 ( 2.949E-01 )  2.288E-02 ( 2.951E-01 )  1.624E-02 ( 2.900E-01 )
  1.000E+00  3.207E-02 ( 1.769E-01 )  2.286E-02 ( 1.672E-01 )  1.624E-02 ( 1.530E-01 )
  1.585E+00  3.191E-02 ( 7.835E-02 )  2.280E-02 ( 7.136E-02 )  1.622E-02 ( 6.307E-02 )
  2.512E+00  3.152E-02 ( 2.792E-02 )  2.266E-02 ( 2.552E-02 )  1.616E-02 ( 2.268E-02 )
  3.981E+00  3.055E-02 ( 9.067E-03 )  2.231E-02 ( 8.431E-03 )  1.604E-02 ( 7.663E-03 )
  6.310E+00  2.825E-02 ( 2.870E-03 )  2.144E-02 ( 2.707E-03 )  1.572E-02 ( 2.519E-03 )
  1.000E+01  2.321E-02 ( 8.767E-04 )  1.942E-02 ( 8.657E-04 )  1.496E-02 ( 8.179E-04 )
