           N LOWER =  3  N UPPER=  9  WAVELENGTH (angstroms)=  9231.60
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   8.885E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         1.706E+00                1.615E+00                1.506E+00
width incl.Dop.     1.375E+01                1.932E+01                2.704E+01

  0.000E+00  3.410E-02 ( 2.304E-01 )  2.453E-02 ( 2.408E-01 )  1.752E-02 ( 2.565E-01 )
  2.512E-02  3.410E-02 ( 2.302E-01 )  2.453E-02 ( 2.406E-01 )  1.752E-02 ( 2.562E-01 )
  3.981E-02  3.410E-02 ( 2.301E-01 )  2.453E-02 ( 2.405E-01 )  1.752E-02 ( 2.561E-01 )
  6.310E-02  3.410E-02 ( 2.300E-01 )  2.453E-02 ( 2.403E-01 )  1.752E-02 ( 2.559E-01 )
  1.000E-01  3.410E-02 ( 2.297E-01 )  2.453E-02 ( 2.400E-01 )  1.752E-02 ( 2.555E-01 )
  1.585E-01  3.410E-02 ( 2.286E-01 )  2.453E-02 ( 2.387E-01 )  1.752E-02 ( 2.539E-01 )
  2.512E-01  3.410E-02 ( 2.260E-01 )  2.453E-02 ( 2.356E-01 )  1.752E-02 ( 2.502E-01 )
  3.981E-01  3.408E-02 ( 2.197E-01 )  2.453E-02 ( 2.286E-01 )  1.752E-02 ( 2.419E-01 )
  6.310E-01  3.405E-02 ( 2.053E-01 )  2.451E-02 ( 2.125E-01 )  1.752E-02 ( 2.227E-01 )
  1.000E+00  3.398E-02 ( 1.751E-01 )  2.449E-02 ( 1.791E-01 )  1.751E-02 ( 1.834E-01 )
  1.585E+00  3.379E-02 ( 1.231E-01 )  2.442E-02 ( 1.224E-01 )  1.748E-02 ( 1.197E-01 )
  2.512E+00  3.331E-02 ( 6.280E-02 )  2.424E-02 ( 5.992E-02 )  1.742E-02 ( 5.588E-02 )
  3.981E+00  3.215E-02 ( 2.335E-02 )  2.380E-02 ( 2.197E-02 )  1.726E-02 ( 2.027E-02 )
  6.310E+00  2.940E-02 ( 7.455E-03 )  2.273E-02 ( 7.021E-03 )  1.686E-02 ( 6.556E-03 )
  1.000E+01  2.350E-02 ( 2.313E-03 )  2.026E-02 ( 2.181E-03 )  1.590E-02 ( 2.055E-03 )
  1.585E+01  1.344E-02 ( 7.032E-04 )  1.519E-02 ( 6.595E-04 )  1.373E-02 ( 6.219E-04 )
  2.512E+01  3.412E-03 ( 2.288E-04 )  7.386E-03 ( 2.134E-04 )  9.508E-03 ( 1.999E-04 )
  3.981E+01  2.014E-04 ( 7.526E-05 )  1.260E-03 ( 7.009E-05 )  3.789E-03 ( 6.536E-05 )
  6.310E+01  2.888E-05 ( 2.483E-05 )  4.456E-05 ( 2.315E-05 )  3.967E-04 ( 2.155E-05 )
  1.000E+02  8.638E-06 ( 8.180E-06 )  8.603E-06 ( 7.666E-06 )  1.040E-05 ( 7.138E-06 )
  1.585E+02  2.739E-06 ( 2.683E-06 )  2.643E-06 ( 2.534E-06 )  2.584E-06 ( 2.365E-06 )
  2.512E+02  8.816E-07 ( 8.743E-07 )  8.473E-07 ( 8.334E-07 )  8.097E-07 ( 7.833E-07 )
  3.981E+02  2.835E-07 ( 2.825E-07 )  2.743E-07 ( 2.725E-07 )  2.618E-07 ( 2.584E-07 )
  6.310E+02  8.919E-08 ( 8.907E-08 )  8.874E-08 ( 8.851E-08 )  8.529E-08 ( 8.485E-08 )
  1.000E+03  2.820E-08 ( 2.819E-08 )  2.854E-08 ( 2.851E-08 )  2.774E-08 ( 2.768E-08 )
  1.585E+03  8.933E-09 ( 8.932E-09 )  8.936E-09 ( 8.932E-09 )  8.969E-09 ( 8.962E-09 )
  2.512E+03  2.832E-09 ( 2.832E-09 )  2.832E-09 ( 2.832E-09 )  2.833E-09 ( 2.832E-09 )
  3.981E+03  8.995E-10 ( 8.995E-10 )  8.996E-10 ( 8.995E-10 )  8.996E-10 ( 8.995E-10 )
  6.310E+03  2.866E-10 ( 2.866E-10 )  2.866E-10 ( 2.866E-10 )  2.866E-10 ( 2.866E-10 )
  1.000E+04  8.945E-11 ( 8.945E-11 )  9.164E-11 ( 9.164E-11 )  9.164E-11 ( 9.164E-11 )
  1.585E+04  2.840E-11 ( 2.840E-11 )  2.840E-11 ( 2.840E-11 )  2.952E-11 ( 2.952E-11 )
  2.512E+04                           9.035E-12 ( 9.035E-12 )  9.035E-12 ( 9.035E-12 )
  3.981E+04                                                    2.884E-12 ( 2.884E-12 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            3.576E-02                2.531E-02                1.792E-02
width Stark         1.379E+00                1.218E+00                1.010E+00
width incl.Dop.     3.766E+01                5.339E+01                7.574E+01

  0.000E+00  1.248E-02 ( 2.797E-01 )  8.868E-03 ( 3.145E-01 )  6.291E-03 ( 3.642E-01 )
  2.512E-02  1.248E-02 ( 2.794E-01 )  8.868E-03 ( 3.140E-01 )  6.291E-03 ( 3.634E-01 )
  3.981E-02  1.248E-02 ( 2.792E-01 )  8.868E-03 ( 3.137E-01 )  6.291E-03 ( 3.629E-01 )
  6.310E-02  1.248E-02 ( 2.789E-01 )  8.868E-03 ( 3.133E-01 )  6.291E-03 ( 3.621E-01 )
  1.000E-01  1.248E-02 ( 2.785E-01 )  8.868E-03 ( 3.126E-01 )  6.291E-03 ( 3.609E-01 )
  1.585E-01  1.248E-02 ( 2.766E-01 )  8.868E-03 ( 3.095E-01 )  6.291E-03 ( 3.565E-01 )
  2.512E-01  1.248E-02 ( 2.719E-01 )  8.868E-03 ( 3.027E-01 )  6.291E-03 ( 3.451E-01 )
  3.981E-01  1.248E-02 ( 2.608E-01 )  8.868E-03 ( 2.867E-01 )  6.291E-03 ( 3.196E-01 )
  6.310E-01  1.248E-02 ( 2.360E-01 )  8.868E-03 ( 2.518E-01 )  6.291E-03 ( 2.676E-01 )
  1.000E+00  1.248E-02 ( 1.870E-01 )  8.866E-03 ( 1.879E-01 )  6.291E-03 ( 1.836E-01 )
  1.585E+00  1.247E-02 ( 1.143E-01 )  8.863E-03 ( 1.058E-01 )  6.289E-03 ( 9.441E-02 )
  2.512E+00  1.244E-02 ( 5.069E-02 )  8.855E-03 ( 4.467E-02 )  6.286E-03 ( 3.823E-02 )
  3.981E+00  1.239E-02 ( 1.831E-02 )  8.834E-03 ( 1.613E-02 )  6.279E-03 ( 1.386E-02 )
  6.310E+00  1.224E-02 ( 6.035E-03 )  8.782E-03 ( 5.446E-03 )  6.260E-03 ( 4.791E-03 )
  1.000E+01  1.189E-02 ( 1.928E-03 )  8.652E-03 ( 1.785E-03 )  6.214E-03 ( 1.615E-03 )
  1.585E+01  1.104E-02 ( 6.130E-04 )  8.335E-03 ( 5.774E-04 )  6.098E-03 ( 5.354E-04 )
  2.512E+01  9.161E-03 ( 1.885E-04 )  7.588E-03 ( 1.792E-04 )  5.817E-03 ( 1.755E-04 )
  3.981E+01  5.742E-03 ( 6.129E-05 )  5.996E-03 ( 5.786E-05 )  5.167E-03 ( 5.505E-05 )
  6.310E+01  1.782E-03 ( 2.012E-05 )  3.319E-03 ( 1.889E-05 )  3.837E-03 ( 1.787E-05 )
  1.000E+02  1.023E-04 ( 6.646E-06 )  7.550E-04 ( 6.212E-06 )  1.819E-03 ( 5.845E-06 )
  1.585E+02  2.748E-06 ( 2.202E-06 )  2.094E-05 ( 2.052E-06 )  2.800E-04 ( 1.922E-06 )
  2.512E+02  7.823E-07 ( 7.303E-07 )  7.920E-07 ( 6.797E-07 )  3.383E-06 ( 6.342E-07 )
  3.981E+02  2.485E-07 ( 2.421E-07 )  2.379E-07 ( 2.255E-07 )  2.356E-07 ( 2.099E-07 )
  6.310E+02  8.092E-08 ( 8.010E-08 )  7.638E-08 ( 7.483E-08 )  7.266E-08 ( 6.966E-08 )
  1.000E+03  2.649E-08 ( 2.639E-08 )  2.500E-08 ( 2.480E-08 )  2.351E-08 ( 2.313E-08 )
  1.585E+03  8.661E-09 ( 8.647E-09 )  8.225E-09 ( 8.198E-09 )  7.729E-09 ( 7.680E-09 )
  2.512E+03  2.816E-09 ( 2.814E-09 )  2.702E-09 ( 2.698E-09 )  2.552E-09 ( 2.546E-09 )
  3.981E+03  9.101E-10 ( 9.099E-10 )  8.836E-10 ( 8.831E-10 )  8.426E-10 ( 8.418E-10 )
  6.310E+03  2.867E-10 ( 2.866E-10 )  2.877E-10 ( 2.876E-10 )  2.775E-10 ( 2.774E-10 )
  1.000E+04  9.165E-11 ( 9.164E-11 )  9.166E-11 ( 9.165E-11 )  9.108E-11 ( 9.106E-11 )
  1.585E+04  2.952E-11 ( 2.952E-11 )  2.952E-11 ( 2.952E-11 )  2.986E-11 ( 2.985E-11 )
  2.512E+04  9.035E-12 ( 9.035E-12 )  9.601E-12 ( 9.601E-12 )  9.609E-12 ( 9.609E-12 )
  3.981E+04  2.884E-12 ( 2.884E-12 )  2.884E-12 ( 2.884E-12 )  3.174E-12 ( 3.174E-12 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.269E-02                8.982E-03                6.358E-03
width Stark         8.438E-01                6.707E-01                5.300E-01
width incl.Dop.     1.065E+02                1.491E+02                2.119E+02

  0.000E+00  4.460E-03 ( 4.346E-01 )  3.159E-03 ( 5.312E-01 )  2.238E-03 ( 6.643E-01 )
  1.000E-02  4.460E-03 ( 4.344E-01 )  3.159E-03 ( 5.308E-01 )  2.238E-03 ( 6.639E-01 )
  1.585E-02  4.460E-03 ( 4.343E-01 )  3.159E-03 ( 5.306E-01 )  2.238E-03 ( 6.637E-01 )
  2.512E-02  4.460E-03 ( 4.342E-01 )  3.159E-03 ( 5.302E-01 )  2.238E-03 ( 6.634E-01 )
  3.981E-02  4.460E-03 ( 4.339E-01 )  3.159E-03 ( 5.296E-01 )  2.238E-03 ( 6.628E-01 )
  6.310E-02  4.460E-03 ( 4.328E-01 )  3.159E-03 ( 5.272E-01 )  2.238E-03 ( 6.568E-01 )
  1.000E-01  4.460E-03 ( 4.288E-01 )  3.159E-03 ( 5.205E-01 )  2.238E-03 ( 6.422E-01 )
  1.585E-01  4.460E-03 ( 4.204E-01 )  3.159E-03 ( 5.039E-01 )  2.238E-03 ( 6.094E-01 )
  2.512E-01  4.460E-03 ( 4.003E-01 )  3.159E-03 ( 4.676E-01 )  2.238E-03 ( 5.410E-01 )
  3.981E-01  4.460E-03 ( 3.575E-01 )  3.159E-03 ( 3.940E-01 )  2.238E-03 ( 4.199E-01 )
  6.310E-01  4.460E-03 ( 2.785E-01 )  3.159E-03 ( 2.790E-01 )  2.238E-03 ( 2.650E-01 )
  1.000E+00  4.460E-03 ( 1.724E-01 )  3.159E-03 ( 1.544E-01 )  2.238E-03 ( 1.320E-01 )
  1.585E+00  4.460E-03 ( 8.130E-02 )  3.159E-03 ( 6.768E-02 )  2.238E-03 ( 5.483E-02 )
  2.512E+00  4.459E-03 ( 3.188E-02 )  3.159E-03 ( 2.600E-02 )  2.238E-03 ( 2.082E-02 )
  3.981E+00  4.456E-03 ( 1.161E-02 )  3.158E-03 ( 9.525E-03 )  2.237E-03 ( 7.675E-03 )
  6.310E+00  4.449E-03 ( 4.103E-03 )  3.155E-03 ( 3.425E-03 )  2.237E-03 ( 2.799E-03 )
  1.000E+01  4.433E-03 ( 1.421E-03 )  3.149E-03 ( 1.214E-03 )  2.234E-03 ( 1.001E-03 )
  1.585E+01  4.391E-03 ( 4.838E-04 )  3.135E-03 ( 4.192E-04 )  2.229E-03 ( 3.567E-04 )
  2.512E+01  4.288E-03 ( 1.623E-04 )  3.097E-03 ( 1.439E-04 )  2.216E-03 ( 1.254E-04 )
  3.981E+01  4.041E-03 ( 5.283E-05 )  3.006E-03 ( 4.866E-05 )  2.183E-03 ( 4.344E-05 )
  6.310E+01  3.480E-03 ( 1.704E-05 )  2.789E-03 ( 1.621E-05 )  2.102E-03 ( 1.482E-05 )
  1.000E+02  2.391E-03 ( 5.541E-06 )  2.311E-03 ( 5.297E-06 )  1.913E-03 ( 4.983E-06 )
  1.585E+02  9.322E-04 ( 1.812E-06 )  1.440E-03 ( 1.723E-06 )  1.509E-03 ( 1.656E-06 )
  2.512E+02  8.809E-05 ( 5.952E-07 )  4.392E-04 ( 5.628E-07 )  8.319E-04 ( 5.364E-07 )
  3.981E+02  4.858E-07 ( 1.963E-07 )  2.249E-05 ( 1.846E-07 )  1.865E-04 ( 1.751E-07 )
  6.310E+02  7.097E-08 ( 6.492E-08 )  8.683E-08 ( 6.081E-08 )  4.429E-06 ( 5.736E-08 )
  1.000E+03  2.226E-08 ( 2.153E-08 )  2.153E-08 ( 2.009E-08 )  2.233E-08 ( 1.887E-08 )
  1.585E+03  7.246E-09 ( 7.154E-09 )  6.837E-09 ( 6.661E-09 )  6.575E-09 ( 6.228E-09 )
  2.512E+03  2.391E-09 ( 2.379E-09 )  2.237E-09 ( 2.215E-09 )  2.107E-09 ( 2.064E-09 )
  3.981E+03  7.926E-10 ( 7.911E-10 )  7.406E-10 ( 7.376E-10 )  6.922E-10 ( 6.866E-10 )
  6.309E+03  2.632E-10 ( 2.630E-10 )  2.466E-10 ( 2.462E-10 )  2.300E-10 ( 2.293E-10 )
  1.000E+04  8.731E-11 ( 8.728E-11 )  8.238E-11 ( 8.233E-11 )  7.700E-11 ( 7.690E-11 )
  1.585E+04  2.897E-11 ( 2.897E-11 )  2.760E-11 ( 2.759E-11 )  2.594E-11 ( 2.592E-11 )

T(K)                1.259E+06
RO/Debye            4.501E-03
width Stark         4.005E-03
width incl.Dop.     3.008E+01

  0.000E+00  1.585E-03 ( 8.448E-01 )
  1.000E-02  1.585E-03 ( 8.431E-01 )
  1.585E-02  1.585E-03 ( 8.421E-01 )
  2.512E-02  1.585E-03 ( 8.406E-01 )
  3.981E-02  1.585E-03 ( 8.381E-01 )
  6.310E-02  1.585E-03 ( 8.279E-01 )
  1.000E-01  1.585E-03 ( 7.969E-01 )
  1.585E-01  1.585E-03 ( 7.324E-01 )
  2.512E-01  1.585E-03 ( 6.083E-01 )
  3.981E-01  1.585E-03 ( 4.243E-01 )
  6.310E-01  1.585E-03 ( 2.374E-01 )
  1.000E+00  1.585E-03 ( 1.085E-01 )
  1.585E+00  1.585E-03 ( 4.349E-02 )
  2.512E+00  1.585E-03 ( 1.643E-02 )
  3.981E+00  1.585E-03 ( 6.096E-03 )
  6.310E+00  1.584E-03 ( 2.228E-03 )
  1.000E+01  1.583E-03 ( 8.156E-04 )
  1.585E+01  1.582E-03 ( 2.958E-04 )
  2.512E+01  1.577E-03 ( 1.061E-04 )
  3.981E+01  1.565E-03 ( 3.756E-05 )
  6.310E+01  1.536E-03 ( 1.311E-05 )
  1.000E+02  1.465E-03 ( 4.514E-06 )
  1.585E+02  1.301E-03 ( 1.531E-06 )
  2.512E+02  9.649E-04 ( 5.128E-07 )
  3.981E+02  4.558E-04 ( 1.673E-07 )
  6.310E+02  6.929E-05 ( 5.452E-08 )
  1.000E+03  6.349E-07 ( 1.783E-08 )
  1.585E+03  6.589E-09 ( 5.860E-09 )
