           N LOWER =  3  N UPPER= 11  WAVELENGTH (angstroms)=  8865.27
                electronic density(1/cm**3)       1.000E+15
                conversion factor for wlengths=f0 1.251E+01
                wings factor                  =   1.449E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            5.680E-01                4.017E-01                2.840E-01
width Stark         3.370E+00                3.565E+00                3.690E+00
width incl.Dop.     3.370E+00                3.565E+00                3.690E+00

  0.000E+00  1.200E-01 ( 1.200E-01 )  1.138E-01 ( 1.138E-01 )  1.100E-01 ( 1.100E-01 )
  6.310E-03  1.200E-01 ( 1.200E-01 )  1.138E-01 ( 1.138E-01 )  1.100E-01 ( 1.100E-01 )
  1.000E-02  1.200E-01 ( 1.200E-01 )  1.138E-01 ( 1.138E-01 )  1.100E-01 ( 1.100E-01 )
  1.585E-02  1.200E-01 ( 1.200E-01 )  1.138E-01 ( 1.138E-01 )  1.100E-01 ( 1.100E-01 )
  2.512E-02  1.200E-01 ( 1.200E-01 )  1.137E-01 ( 1.137E-01 )  1.100E-01 ( 1.100E-01 )
  3.981E-02  1.199E-01 ( 1.199E-01 )  1.137E-01 ( 1.137E-01 )  1.100E-01 ( 1.100E-01 )
  6.310E-02  1.199E-01 ( 1.199E-01 )  1.137E-01 ( 1.137E-01 )  1.100E-01 ( 1.100E-01 )
  1.000E-01  1.198E-01 ( 1.198E-01 )  1.136E-01 ( 1.136E-01 )  1.099E-01 ( 1.099E-01 )
  1.585E-01  1.196E-01 ( 1.196E-01 )  1.135E-01 ( 1.135E-01 )  1.099E-01 ( 1.099E-01 )
  2.512E-01  1.193E-01 ( 1.193E-01 )  1.133E-01 ( 1.133E-01 )  1.096E-01 ( 1.096E-01 )
  3.981E-01  1.184E-01 ( 1.184E-01 )  1.125E-01 ( 1.125E-01 )  1.091E-01 ( 1.091E-01 )
  6.310E-01  1.165E-01 ( 1.165E-01 )  1.110E-01 ( 1.110E-01 )  1.077E-01 ( 1.077E-01 )
  1.000E+00  1.121E-01 ( 1.121E-01 )  1.074E-01 ( 1.074E-01 )  1.045E-01 ( 1.045E-01 )
  1.585E+00  1.015E-01 ( 1.015E-01 )  9.863E-02 ( 9.863E-02 )  9.672E-02 ( 9.672E-02 )
  2.512E+00  7.933E-02 ( 7.933E-02 )  7.931E-02 ( 7.931E-02 )  7.905E-02 ( 7.905E-02 )
  3.981E+00  4.626E-02 ( 4.626E-02 )  4.803E-02 ( 4.803E-02 )  4.907E-02 ( 4.907E-02 )
  6.310E+00  1.862E-02 ( 1.862E-02 )  1.968E-02 ( 1.968E-02 )  2.040E-02 ( 2.040E-02 )
  1.000E+01  5.937E-03 ( 5.937E-03 )  6.185E-03 ( 6.185E-03 )  6.353E-03 ( 6.353E-03 )
  1.585E+01  1.793E-03 ( 1.793E-03 )  1.830E-03 ( 1.830E-03 )  1.854E-03 ( 1.854E-03 )
  2.512E+01  5.347E-04 ( 5.347E-04 )  5.373E-04 ( 5.373E-04 )  5.387E-04 ( 5.387E-04 )
  3.981E+01  1.709E-04 ( 1.709E-04 )  1.714E-04 ( 1.714E-04 )  1.716E-04 ( 1.716E-04 )
  6.310E+01  5.659E-05 ( 5.659E-05 )  5.667E-05 ( 5.667E-05 )  5.670E-05 ( 5.670E-05 )
  1.000E+02  1.984E-05 ( 1.984E-05 )  1.987E-05 ( 1.987E-05 )  1.987E-05 ( 1.987E-05 )
