           N LOWER =  3  N UPPER= 26  WAVELENGTH (angstroms)=  8316.59
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   1.602E+01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         1.768E+01                1.686E+01                1.585E+01
width incl.Dop.     2.223E+01                2.535E+01                3.129E+01

  0.000E+00  1.865E-02 ( 2.257E-02 )  1.659E-02 ( 2.337E-02 )  1.397E-02 ( 2.441E-02 )
  3.981E-02  1.865E-02 ( 2.257E-02 )  1.659E-02 ( 2.337E-02 )  1.397E-02 ( 2.441E-02 )
  6.310E-02  1.865E-02 ( 2.256E-02 )  1.659E-02 ( 2.337E-02 )  1.397E-02 ( 2.441E-02 )
  1.000E-01  1.865E-02 ( 2.256E-02 )  1.659E-02 ( 2.337E-02 )  1.397E-02 ( 2.441E-02 )
  1.585E-01  1.865E-02 ( 2.256E-02 )  1.659E-02 ( 2.337E-02 )  1.397E-02 ( 2.440E-02 )
  2.512E-01  1.864E-02 ( 2.256E-02 )  1.659E-02 ( 2.336E-02 )  1.396E-02 ( 2.440E-02 )
  3.981E-01  1.864E-02 ( 2.255E-02 )  1.659E-02 ( 2.336E-02 )  1.396E-02 ( 2.439E-02 )
  6.310E-01  1.863E-02 ( 2.255E-02 )  1.659E-02 ( 2.335E-02 )  1.396E-02 ( 2.438E-02 )
  1.000E+00  1.862E-02 ( 2.252E-02 )  1.657E-02 ( 2.332E-02 )  1.395E-02 ( 2.435E-02 )
  1.585E+00  1.857E-02 ( 2.245E-02 )  1.655E-02 ( 2.324E-02 )  1.394E-02 ( 2.425E-02 )
  2.512E+00  1.847E-02 ( 2.226E-02 )  1.647E-02 ( 2.302E-02 )  1.390E-02 ( 2.400E-02 )
  3.981E+00  1.820E-02 ( 2.179E-02 )  1.630E-02 ( 2.248E-02 )  1.380E-02 ( 2.338E-02 )
  6.310E+00  1.755E-02 ( 2.064E-02 )  1.586E-02 ( 2.116E-02 )  1.355E-02 ( 2.183E-02 )
  1.000E+01  1.604E-02 ( 1.787E-02 )  1.482E-02 ( 1.807E-02 )  1.295E-02 ( 1.833E-02 )
  1.585E+01  1.286E-02 ( 1.254E-02 )  1.252E-02 ( 1.239E-02 )  1.156E-02 ( 1.220E-02 )
  2.512E+01  7.718E-03 ( 6.170E-03 )  8.373E-03 ( 5.949E-03 )  8.755E-03 ( 5.682E-03 )
  3.981E+01  2.831E-03 ( 2.140E-03 )  3.476E-03 ( 2.045E-03 )  4.534E-03 ( 1.928E-03 )
  6.310E+01  7.291E-04 ( 6.333E-04 )  8.345E-04 ( 6.105E-04 )  1.184E-03 ( 5.793E-04 )
  1.000E+02  1.957E-04 ( 1.860E-04 )  2.023E-04 ( 1.818E-04 )  2.228E-04 ( 1.750E-04 )
  1.585E+02  5.617E-05 ( 5.508E-05 )  5.748E-05 ( 5.532E-05 )  5.842E-05 ( 5.402E-05 )
  2.512E+02  1.666E-05 ( 1.654E-05 )  1.707E-05 ( 1.682E-05 )  1.717E-05 ( 1.666E-05 )
  3.981E+02  5.161E-06 ( 5.147E-06 )  5.160E-06 ( 5.130E-06 )  5.190E-06 ( 5.130E-06 )
  6.310E+02  1.616E-06 ( 1.614E-06 )  1.618E-06 ( 1.614E-06 )  1.622E-06 ( 1.614E-06 )
  1.000E+03  5.100E-07 ( 5.098E-07 )  5.102E-07 ( 5.098E-07 )  5.107E-07 ( 5.098E-07 )
  1.585E+03  1.613E-07 ( 1.613E-07 )  1.614E-07 ( 1.613E-07 )  1.614E-07 ( 1.613E-07 )
  2.512E+03  5.113E-08 ( 5.113E-08 )  5.114E-08 ( 5.113E-08 )  5.116E-08 ( 5.114E-08 )
  3.981E+03  1.625E-08 ( 1.625E-08 )  1.625E-08 ( 1.625E-08 )  1.625E-08 ( 1.625E-08 )
  6.310E+03  5.089E-09 ( 5.089E-09 )  5.181E-09 ( 5.181E-09 )  5.181E-09 ( 5.181E-09 )
  1.000E+04  1.614E-09 ( 1.614E-09 )  1.614E-09 ( 1.614E-09 )  1.659E-09 ( 1.659E-09 )
  1.585E+04                           5.125E-10 ( 5.125E-10 )  5.125E-10 ( 5.125E-10 )
  2.512E+04                                                    1.632E-10 ( 1.632E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            3.576E-02                2.531E-02                1.792E-02
width Stark         1.513E+01                1.443E+01                1.375E+01
width incl.Dop.     3.941E+01                5.277E+01                7.206E+01

  0.000E+00  1.117E-02 ( 2.562E-02 )  8.559E-03 ( 2.694E-02 )  6.369E-03 ( 2.836E-02 )
  1.000E-01  1.117E-02 ( 2.560E-02 )  8.559E-03 ( 2.693E-02 )  6.369E-03 ( 2.834E-02 )
  1.585E-01  1.117E-02 ( 2.559E-02 )  8.559E-03 ( 2.692E-02 )  6.369E-03 ( 2.833E-02 )
  2.512E-01  1.117E-02 ( 2.558E-02 )  8.559E-03 ( 2.690E-02 )  6.369E-03 ( 2.831E-02 )
  3.981E-01  1.117E-02 ( 2.556E-02 )  8.559E-03 ( 2.688E-02 )  6.369E-03 ( 2.828E-02 )
  6.310E-01  1.116E-02 ( 2.553E-02 )  8.558E-03 ( 2.684E-02 )  6.368E-03 ( 2.824E-02 )
  1.000E+00  1.116E-02 ( 2.548E-02 )  8.557E-03 ( 2.677E-02 )  6.368E-03 ( 2.816E-02 )
  1.585E+00  1.115E-02 ( 2.540E-02 )  8.554E-03 ( 2.668E-02 )  6.367E-03 ( 2.804E-02 )
  2.512E+00  1.113E-02 ( 2.514E-02 )  8.545E-03 ( 2.637E-02 )  6.363E-03 ( 2.768E-02 )
  3.981E+00  1.109E-02 ( 2.439E-02 )  8.524E-03 ( 2.548E-02 )  6.355E-03 ( 2.664E-02 )
  6.310E+00  1.097E-02 ( 2.258E-02 )  8.472E-03 ( 2.337E-02 )  6.334E-03 ( 2.419E-02 )
  1.000E+01  1.067E-02 ( 1.861E-02 )  8.342E-03 ( 1.887E-02 )  6.281E-03 ( 1.910E-02 )
