           N LOWER =  2  N UPPER=  3  WAVELENGTH (angstroms)=  6564.70
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   2.564E-03

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         1.668E-02                1.769E-02                1.805E-02
width incl.Dop.     3.163E-02                3.941E-02                5.156E-02

  0.000E+00  1.264E+01 ( 1.973E+01 )  1.042E+01 ( 1.900E+01 )  8.417E+00 ( 1.886E+01 )
  1.000E-03  1.263E+01 ( 1.964E+01 )  1.042E+01 ( 1.896E+01 )  8.415E+00 ( 1.878E+01 )
  1.585E-03  1.262E+01 ( 1.951E+01 )  1.041E+01 ( 1.884E+01 )  8.411E+00 ( 1.866E+01 )
  2.512E-03  1.258E+01 ( 1.918E+01 )  1.039E+01 ( 1.857E+01 )  8.402E+00 ( 1.843E+01 )
  3.981E-03  1.248E+01 ( 1.850E+01 )  1.034E+01 ( 1.796E+01 )  8.380E+00 ( 1.785E+01 )
  6.310E-03  1.224E+01 ( 1.700E+01 )  1.022E+01 ( 1.662E+01 )  8.323E+00 ( 1.656E+01 )
  1.000E-02  1.167E+01 ( 1.422E+01 )  9.933E+00 ( 1.408E+01 )  8.183E+00 ( 1.411E+01 )
  1.585E-02  1.038E+01 ( 1.023E+01 )  9.244E+00 ( 1.030E+01 )  7.843E+00 ( 1.039E+01 )
  2.512E-02  7.867E+00 ( 6.130E+00 )  7.753E+00 ( 6.265E+00 )  7.057E+00 ( 6.336E+00 )
  3.981E-02  4.376E+00 ( 3.094E+00 )  5.138E+00 ( 3.179E+00 )  5.450E+00 ( 3.198E+00 )
  6.310E-02  1.695E+00 ( 1.349E+00 )  2.220E+00 ( 1.379E+00 )  2.990E+00 ( 1.371E+00 )
  1.000E-01  5.765E-01 ( 5.187E-01 )  6.665E-01 ( 5.230E-01 )  9.246E-01 ( 5.132E-01 )
  1.585E-01  1.903E-01 ( 1.817E-01 )  1.987E-01 ( 1.797E-01 )  2.198E-01 ( 1.745E-01 )
  2.512E-01  6.204E-02 ( 6.088E-02 )  6.148E-02 ( 5.907E-02 )  6.196E-02 ( 5.691E-02 )
  3.981E-01  2.038E-02 ( 2.023E-02 )  1.958E-02 ( 1.928E-02 )  1.899E-02 ( 1.839E-02 )
  6.310E-01  6.572E-03 ( 6.551E-03 )  6.230E-03 ( 6.190E-03 )  5.911E-03 ( 5.833E-03 )
  1.000E+00  2.187E-03 ( 2.185E-03 )  2.052E-03 ( 2.048E-03 )  1.926E-03 ( 1.917E-03 )
  1.585E+00  7.272E-04 ( 7.269E-04 )  6.816E-04 ( 6.809E-04 )  6.366E-04 ( 6.354E-04 )
  2.512E+00  2.405E-04 ( 2.404E-04 )  2.262E-04 ( 2.261E-04 )  2.112E-04 ( 2.111E-04 )
  3.981E+00  7.885E-05 ( 7.884E-05 )  7.477E-05 ( 7.476E-05 )  7.006E-05 ( 7.004E-05 )
  6.310E+00  2.561E-05 ( 2.561E-05 )  2.455E-05 ( 2.455E-05 )  2.318E-05 ( 2.317E-05 )
  1.000E+01  8.146E-06 ( 8.146E-06 )  8.004E-06 ( 8.004E-06 )  7.631E-06 ( 7.631E-06 )
  1.585E+01                           2.582E-06 ( 2.582E-06 )  2.499E-06 ( 2.499E-06 )
  2.512E+01                           8.199E-07 ( 8.199E-07 )  8.135E-07 ( 8.135E-07 )
  3.981E+01                                                    2.609E-07 ( 2.609E-07 )
