           N LOWER =  2  N UPPER=  3  WAVELENGTH (angstroms)=  6564.70
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   2.564E-03

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         5.692E-03                4.640E-03                3.642E-03
width incl.Dop.     9.422E+00                1.341E+01                1.907E+01

  0.000E+00  5.012E-02 ( 5.721E+01 )  3.543E-02 ( 7.079E+01 )  2.503E-02 ( 8.902E+01 )
  2.512E-04  5.012E-02 ( 5.730E+01 )  3.543E-02 ( 7.056E+01 )  2.503E-02 ( 8.869E+01 )
  3.981E-04  5.012E-02 ( 5.714E+01 )  3.543E-02 ( 7.027E+01 )  2.503E-02 ( 8.819E+01 )
  6.310E-04  5.012E-02 ( 5.672E+01 )  3.543E-02 ( 6.947E+01 )  2.503E-02 ( 8.662E+01 )
  1.000E-03  5.012E-02 ( 5.540E+01 )  3.543E-02 ( 6.765E+01 )  2.503E-02 ( 8.251E+01 )
  1.585E-03  5.012E-02 ( 5.303E+01 )  3.543E-02 ( 6.324E+01 )  2.503E-02 ( 7.454E+01 )
  2.512E-03  5.012E-02 ( 4.763E+01 )  3.543E-02 ( 5.418E+01 )  2.503E-02 ( 5.975E+01 )
  3.981E-03  5.012E-02 ( 3.806E+01 )  3.543E-02 ( 3.988E+01 )  2.503E-02 ( 3.993E+01 )
  6.310E-03  5.012E-02 ( 2.525E+01 )  3.543E-02 ( 2.404E+01 )  2.503E-02 ( 2.177E+01 )
  1.000E-02  5.012E-02 ( 1.370E+01 )  3.543E-02 ( 1.202E+01 )  2.503E-02 ( 1.016E+01 )
  1.585E-02  5.012E-02 ( 6.369E+00 )  3.543E-02 ( 5.327E+00 )  2.503E-02 ( 4.343E+00 )
  2.512E-02  5.012E-02 ( 2.716E+00 )  3.543E-02 ( 2.222E+00 )  2.503E-02 ( 1.782E+00 )
  3.981E-02  5.012E-02 ( 1.108E+00 )  3.543E-02 ( 8.980E-01 )  2.503E-02 ( 7.158E-01 )
  6.310E-02  5.012E-02 ( 4.425E-01 )  3.543E-02 ( 3.573E-01 )  2.503E-02 ( 2.842E-01 )
  1.000E-01  5.012E-02 ( 1.735E-01 )  3.543E-02 ( 1.402E-01 )  2.503E-02 ( 1.116E-01 )
  1.585E-01  5.011E-02 ( 6.671E-02 )  3.543E-02 ( 5.410E-02 )  2.503E-02 ( 4.319E-02 )
  2.512E-01  5.010E-02 ( 2.508E-02 )  3.542E-02 ( 2.049E-02 )  2.503E-02 ( 1.644E-02 )
  3.981E-01  5.006E-02 ( 9.215E-03 )  3.541E-02 ( 7.607E-03 )  2.502E-02 ( 6.158E-03 )
  6.310E-01  4.997E-02 ( 3.316E-03 )  3.537E-02 ( 2.776E-03 )  2.501E-02 ( 2.282E-03 )
