           N LOWER =  2  N UPPER= 15  WAVELENGTH (angstroms)=  3713.06
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   2.721E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         1.230E+00                1.257E+00                1.256E+00
width incl.Dop.     1.230E+00                1.257E+00                1.256E+00

  0.000E+00  3.375E-01 ( 3.375E-01 )  3.308E-01 ( 3.308E-01 )  3.303E-01 ( 3.303E-01 )
  1.585E-02  3.373E-01 ( 3.373E-01 )  3.306E-01 ( 3.306E-01 )  3.302E-01 ( 3.302E-01 )
  2.512E-02  3.371E-01 ( 3.371E-01 )  3.305E-01 ( 3.305E-01 )  3.301E-01 ( 3.301E-01 )
  3.981E-02  3.369E-01 ( 3.369E-01 )  3.304E-01 ( 3.304E-01 )  3.300E-01 ( 3.300E-01 )
  6.310E-02  3.365E-01 ( 3.365E-01 )  3.301E-01 ( 3.301E-01 )  3.298E-01 ( 3.298E-01 )
  1.000E-01  3.354E-01 ( 3.354E-01 )  3.292E-01 ( 3.292E-01 )  3.288E-01 ( 3.288E-01 )
  1.585E-01  3.329E-01 ( 3.329E-01 )  3.268E-01 ( 3.268E-01 )  3.266E-01 ( 3.266E-01 )
  2.512E-01  3.272E-01 ( 3.272E-01 )  3.216E-01 ( 3.216E-01 )  3.215E-01 ( 3.215E-01 )
  3.981E-01  3.134E-01 ( 3.134E-01 )  3.090E-01 ( 3.090E-01 )  3.090E-01 ( 3.090E-01 )
  6.310E-01  2.800E-01 ( 2.800E-01 )  2.778E-01 ( 2.778E-01 )  2.776E-01 ( 2.776E-01 )
  1.000E+00  2.084E-01 ( 2.084E-01 )  2.092E-01 ( 2.092E-01 )  2.087E-01 ( 2.087E-01 )
  1.585E+00  1.078E-01 ( 1.078E-01 )  1.096E-01 ( 1.096E-01 )  1.094E-01 ( 1.094E-01 )
  2.512E+00  3.760E-02 ( 3.760E-02 )  3.828E-02 ( 3.828E-02 )  3.825E-02 ( 3.825E-02 )
  3.981E+00  1.103E-02 ( 1.103E-02 )  1.116E-02 ( 1.116E-02 )  1.115E-02 ( 1.115E-02 )
  6.310E+00  3.205E-03 ( 3.205E-03 )  3.221E-03 ( 3.221E-03 )  3.224E-03 ( 3.224E-03 )
  1.000E+01  9.232E-04 ( 9.232E-04 )  9.242E-04 ( 9.242E-04 )  9.256E-04 ( 9.256E-04 )
  1.585E+01  2.836E-04 ( 2.836E-04 )  2.839E-04 ( 2.839E-04 )  2.840E-04 ( 2.840E-04 )
  2.512E+01  8.860E-05 ( 8.860E-05 )  8.861E-05 ( 8.861E-05 )  8.861E-05 ( 8.861E-05 )
  3.981E+01  2.812E-05 ( 2.812E-05 )  2.812E-05 ( 2.812E-05 )  2.812E-05 ( 2.812E-05 )
  6.309E+01  9.006E-06 ( 9.006E-06 )  9.006E-06 ( 9.006E-06 )  9.006E-06 ( 9.006E-06 )
  1.000E+02  2.915E-06 ( 2.915E-06 )  2.916E-06 ( 2.916E-06 )  2.916E-06 ( 2.916E-06 )
  1.585E+02  9.572E-07 ( 9.572E-07 )  9.572E-07 ( 9.572E-07 )  9.572E-07 ( 9.572E-07 )
  2.512E+02  3.216E-07 ( 3.216E-07 )  3.216E-07 ( 3.216E-07 )  3.216E-07 ( 3.216E-07 )
  3.981E+02  1.117E-07 ( 1.117E-07 )  1.117E-07 ( 1.117E-07 )  1.117E-07 ( 1.117E-07 )
  6.309E+02  4.075E-08 ( 4.075E-08 )  4.075E-08 ( 4.075E-08 )  4.075E-08 ( 4.075E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         1.232E+00                1.189E+00                1.134E+00
width incl.Dop.     1.244E+00                1.213E+00                1.185E+00

  0.000E+00  3.332E-01 ( 3.356E-01 )  3.408E-01 ( 3.459E-01 )  3.485E-01 ( 3.602E-01 )
  3.981E-02  3.330E-01 ( 3.346E-01 )  3.406E-01 ( 3.449E-01 )  3.482E-01 ( 3.591E-01 )
  6.310E-02  3.327E-01 ( 3.341E-01 )  3.402E-01 ( 3.443E-01 )  3.478E-01 ( 3.584E-01 )
  1.000E-01  3.319E-01 ( 3.332E-01 )  3.393E-01 ( 3.433E-01 )  3.467E-01 ( 3.573E-01 )
