           N LOWER =  2  N UPPER= 18  WAVELENGTH (angstroms)=  3692.64
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   4.635E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         1.446E+00                1.398E+00                1.346E+00
width incl.Dop.     5.764E+00                7.954E+00                1.103E+01

  0.000E+00  7.966E-02 ( 2.746E-01 )  5.876E-02 ( 2.851E-01 )  4.263E-02 ( 2.972E-01 )
  1.585E-02  7.966E-02 ( 2.746E-01 )  5.876E-02 ( 2.850E-01 )  4.263E-02 ( 2.970E-01 )
  2.512E-02  7.966E-02 ( 2.746E-01 )  5.876E-02 ( 2.850E-01 )  4.263E-02 ( 2.970E-01 )
  3.981E-02  7.965E-02 ( 2.745E-01 )  5.876E-02 ( 2.849E-01 )  4.263E-02 ( 2.969E-01 )
  6.310E-02  7.965E-02 ( 2.745E-01 )  5.875E-02 ( 2.847E-01 )  4.263E-02 ( 2.967E-01 )
  1.000E-01  7.964E-02 ( 2.738E-01 )  5.875E-02 ( 2.840E-01 )  4.263E-02 ( 2.959E-01 )
  1.585E-01  7.961E-02 ( 2.722E-01 )  5.874E-02 ( 2.824E-01 )  4.263E-02 ( 2.941E-01 )
  2.512E-01  7.955E-02 ( 2.683E-01 )  5.871E-02 ( 2.780E-01 )  4.262E-02 ( 2.892E-01 )
  3.981E-01  7.939E-02 ( 2.589E-01 )  5.865E-02 ( 2.676E-01 )  4.259E-02 ( 2.774E-01 )
  6.310E-01  7.898E-02 ( 2.371E-01 )  5.849E-02 ( 2.433E-01 )  4.253E-02 ( 2.504E-01 )
  1.000E+00  7.798E-02 ( 1.919E-01 )  5.810E-02 ( 1.941E-01 )  4.238E-02 ( 1.963E-01 )
  1.585E+00  7.551E-02 ( 1.203E-01 )  5.711E-02 ( 1.183E-01 )  4.201E-02 ( 1.156E-01 )
  2.512E+00  6.967E-02 ( 5.199E-02 )  5.471E-02 ( 4.950E-02 )  4.108E-02 ( 4.678E-02 )
  3.981E+00  5.696E-02 ( 1.700E-02 )  4.913E-02 ( 1.594E-02 )  3.885E-02 ( 1.488E-02 )
  6.310E+00  3.458E-02 ( 5.149E-03 )  3.753E-02 ( 4.838E-03 )  3.376E-02 ( 4.514E-03 )
  1.000E+01  1.048E-02 ( 1.578E-03 )  1.923E-02 ( 1.496E-03 )  2.375E-02 ( 1.405E-03 )
  1.585E+01  1.073E-03 ( 4.908E-04 )  3.890E-03 ( 4.725E-04 )  9.910E-03 ( 4.469E-04 )
  2.512E+01  1.819E-04 ( 1.542E-04 )  2.575E-04 ( 1.478E-04 )  1.234E-03 ( 1.417E-04 )
  3.981E+01  4.999E-05 ( 4.692E-05 )  5.337E-05 ( 4.727E-05 )  6.455E-05 ( 4.586E-05 )
  6.310E+01  1.506E-05 ( 1.474E-05 )  1.547E-05 ( 1.475E-05 )  1.623E-05 ( 1.478E-05 )
  1.000E+02  4.693E-06 ( 4.651E-06 )  4.732E-06 ( 4.651E-06 )  4.826E-06 ( 4.652E-06 )
  1.585E+02  1.474E-06 ( 1.469E-06 )  1.480E-06 ( 1.469E-06 )  1.490E-06 ( 1.469E-06 )
  2.512E+02  4.654E-07 ( 4.647E-07 )  4.660E-07 ( 4.647E-07 )  4.673E-07 ( 4.647E-07 )
  3.981E+02  1.471E-07 ( 1.470E-07 )  1.472E-07 ( 1.470E-07 )  1.474E-07 ( 1.470E-07 )
  6.309E+02  4.657E-08 ( 4.656E-08 )  4.658E-08 ( 4.656E-08 )  4.660E-08 ( 4.656E-08 )
  1.000E+03  1.476E-08 ( 1.476E-08 )  1.476E-08 ( 1.476E-08 )  1.477E-08 ( 1.476E-08 )
  1.585E+03  4.686E-09 ( 4.686E-09 )  4.686E-09 ( 4.686E-09 )  4.686E-09 ( 4.686E-09 )
  2.512E+03  1.491E-09 ( 1.491E-09 )  1.491E-09 ( 1.491E-09 )  1.492E-09 ( 1.492E-09 )
  3.981E+03  4.763E-10 ( 4.763E-10 )  4.763E-10 ( 4.763E-10 )  4.763E-10 ( 4.763E-10 )
  6.309E+03  1.530E-10 ( 1.530E-10 )  1.530E-10 ( 1.530E-10 )  1.530E-10 ( 1.530E-10 )
  0.000E+00                           4.960E-11 ( 4.960E-11 )  4.960E-11 ( 4.960E-11 )
  0.000E+00                                                    1.631E-11 ( 1.631E-11 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            3.576E-02                2.531E-02                1.792E-02
width Stark         1.292E+00                1.231E+00                1.158E+00
width incl.Dop.     1.521E+01                2.147E+01                3.040E+01

  0.000E+00  3.064E-02 ( 3.106E-01 )  2.189E-02 ( 3.264E-01 )  1.557E-02 ( 3.455E-01 )
  3.981E-02  3.064E-02 ( 3.098E-01 )  2.189E-02 ( 3.253E-01 )  1.557E-02 ( 3.442E-01 )
  6.310E-02  3.064E-02 ( 3.092E-01 )  2.189E-02 ( 3.247E-01 )  1.557E-02 ( 3.435E-01 )
  1.000E-01  3.064E-02 ( 3.084E-01 )  2.189E-02 ( 3.237E-01 )  1.557E-02 ( 3.424E-01 )
  1.585E-01  3.064E-02 ( 3.071E-01 )  2.189E-02 ( 3.221E-01 )  1.557E-02 ( 3.405E-01 )
  2.512E-01  3.064E-02 ( 3.016E-01 )  2.189E-02 ( 3.158E-01 )  1.557E-02 ( 3.332E-01 )
  3.981E-01  3.063E-02 ( 2.883E-01 )  2.189E-02 ( 3.008E-01 )  1.557E-02 ( 3.155E-01 )
  6.310E-01  3.061E-02 ( 2.582E-01 )  2.188E-02 ( 2.666E-01 )  1.557E-02 ( 2.759E-01 )
  1.000E+00  3.055E-02 ( 1.983E-01 )  2.186E-02 ( 1.994E-01 )  1.556E-02 ( 1.989E-01 )
  1.585E+00  3.041E-02 ( 1.122E-01 )  2.181E-02 ( 1.078E-01 )  1.554E-02 ( 1.019E-01 )
  2.512E+00  3.007E-02 ( 4.388E-02 )  2.168E-02 ( 4.095E-02 )  1.550E-02 ( 3.789E-02 )
  3.981E+00  2.922E-02 ( 1.386E-02 )  2.137E-02 ( 1.293E-02 )  1.539E-02 ( 1.202E-02 )
  6.310E+00  2.719E-02 ( 4.211E-03 )  2.060E-02 ( 3.931E-03 )  1.510E-02 ( 3.681E-03 )
  1.000E+01  2.269E-02 ( 1.311E-03 )  1.879E-02 ( 1.223E-03 )  1.442E-02 ( 1.103E-03 )
  1.585E+01  1.442E-02 ( 4.186E-04 )  1.492E-02 ( 3.906E-04 )  1.283E-02 ( 3.543E-04 )
  2.512E+01  4.669E-03 ( 1.336E-04 )  8.370E-03 ( 1.249E-04 )  9.576E-03 ( 1.161E-04 )
  3.981E+01  3.248E-04 ( 4.372E-05 )  1.981E-03 ( 4.109E-05 )  4.596E-03 ( 3.833E-05 )
  6.310E+01  1.776E-05 ( 1.426E-05 )  7.025E-05 ( 1.352E-05 )  7.365E-04 ( 1.266E-05 )
  1.000E+02  4.966E-06 ( 4.621E-06 )  5.182E-06 ( 4.433E-06 )  1.289E-05 ( 4.187E-06 )
  1.585E+02  1.527E-06 ( 1.486E-06 )  1.527E-06 ( 1.444E-06 )  1.550E-06 ( 1.377E-06 )
  2.512E+02  4.704E-07 ( 4.651E-07 )  4.770E-07 ( 4.668E-07 )  4.706E-07 ( 4.505E-07 )
  3.981E+02  1.477E-07 ( 1.470E-07 )  1.484E-07 ( 1.471E-07 )  1.488E-07 ( 1.463E-07 )
