           N LOWER =  2  N UPPER= 29  WAVELENGTH (angstroms)=  3664.48
                electronic density(1/cm**3)       1.000E+11
                conversion factor for wlengths=f0 2.696E-02
                wings factor                  =   1.903E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.224E-01                8.654E-02                6.119E-02
width Stark         4.847E+00                4.733E+00                4.543E+00
width incl.Dop.     5.464E+00                5.969E+00                7.043E+00

  0.000E+00  7.809E-02 ( 8.700E-02 )  7.184E-02 ( 8.861E-02 )  6.277E-02 ( 9.153E-02 )
  6.310E-02  7.809E-02 ( 8.695E-02 )  7.183E-02 ( 8.857E-02 )  6.276E-02 ( 9.148E-02 )
  1.000E-01  7.808E-02 ( 8.693E-02 )  7.182E-02 ( 8.854E-02 )  6.276E-02 ( 9.146E-02 )
  1.585E-01  7.805E-02 ( 8.688E-02 )  7.180E-02 ( 8.850E-02 )  6.274E-02 ( 9.141E-02 )
  2.512E-01  7.798E-02 ( 8.682E-02 )  7.175E-02 ( 8.843E-02 )  6.271E-02 ( 9.135E-02 )
  3.981E-01  7.780E-02 ( 8.657E-02 )  7.161E-02 ( 8.825E-02 )  6.262E-02 ( 9.110E-02 )
  6.310E-01  7.735E-02 ( 8.603E-02 )  7.126E-02 ( 8.764E-02 )  6.239E-02 ( 9.050E-02 )
  1.000E+00  7.624E-02 ( 8.475E-02 )  7.039E-02 ( 8.630E-02 )  6.183E-02 ( 8.892E-02 )
  1.585E+00  7.351E-02 ( 8.147E-02 )  6.826E-02 ( 8.278E-02 )  6.045E-02 ( 8.485E-02 )
  2.512E+00  6.706E-02 ( 7.302E-02 )  6.321E-02 ( 7.355E-02 )  5.712E-02 ( 7.439E-02 )
  3.981E+00  5.332E-02 ( 5.361E-02 )  5.226E-02 ( 5.312E-02 )  4.963E-02 ( 5.242E-02 )
  6.310E+00  3.090E-02 ( 2.642E-02 )  3.312E-02 ( 2.581E-02 )  3.520E-02 ( 2.485E-02 )
  1.000E+01  1.061E-02 ( 8.633E-03 )  1.253E-02 ( 8.445E-03 )  1.598E-02 ( 8.116E-03 )
  1.585E+01  2.683E-03 ( 2.440E-03 )  2.960E-03 ( 2.413E-03 )  3.744E-03 ( 2.352E-03 )
  2.512E+01  7.256E-04 ( 7.014E-04 )  7.499E-04 ( 6.992E-04 )  8.028E-04 ( 6.911E-04 )
  3.981E+01  2.042E-04 ( 2.014E-04 )  2.071E-04 ( 2.014E-04 )  2.131E-04 ( 2.015E-04 )
  6.310E+01  6.221E-05 ( 6.193E-05 )  6.251E-05 ( 6.194E-05 )  6.311E-05 ( 6.194E-05 )
  1.000E+02  1.930E-05 ( 1.926E-05 )  1.933E-05 ( 1.926E-05 )  1.941E-05 ( 1.926E-05 )
  1.585E+02  6.066E-06 ( 6.061E-06 )  6.070E-06 ( 6.061E-06 )  6.079E-06 ( 6.061E-06 )
  2.512E+02  1.915E-06 ( 1.915E-06 )  1.916E-06 ( 1.915E-06 )  1.917E-06 ( 1.915E-06 )
  3.981E+02  6.061E-07 ( 6.060E-07 )  6.062E-07 ( 6.060E-07 )  6.063E-07 ( 6.060E-07 )
  6.310E+02  1.922E-07 ( 1.921E-07 )  1.922E-07 ( 1.921E-07 )  1.922E-07 ( 1.921E-07 )
  1.000E+03  6.107E-08 ( 6.107E-08 )  6.107E-08 ( 6.107E-08 )  6.110E-08 ( 6.109E-08 )
  1.585E+03  1.948E-08 ( 1.948E-08 )  1.948E-08 ( 1.948E-08 )  1.948E-08 ( 1.948E-08 )
