           N LOWER =  1  N UPPER=  2  WAVELENGTH (angstroms)=  1215.68
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   6.731E-06

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         7.056E-05                5.609E-05                4.430E-05
width incl.Dop.     1.764E+00                2.464E+00                3.501E+00

  0.000E+00  2.706E-01 ( 4.621E+03 )  1.913E-01 ( 5.787E+03 )  1.351E-01 ( 7.342E+03 )
  2.512E-06  2.706E-01 ( 4.610E+03 )  1.913E-01 ( 5.761E+03 )  1.351E-01 ( 7.172E+03 )
  3.981E-06  2.706E-01 ( 4.593E+03 )  1.913E-01 ( 5.723E+03 )  1.351E-01 ( 7.146E+03 )
  6.310E-06  2.706E-01 ( 4.550E+03 )  1.913E-01 ( 5.625E+03 )  1.351E-01 ( 7.062E+03 )
  1.000E-05  2.706E-01 ( 4.442E+03 )  1.913E-01 ( 5.514E+03 )  1.351E-01 ( 6.847E+03 )
  1.585E-05  2.706E-01 ( 4.309E+03 )  1.913E-01 ( 5.270E+03 )  1.351E-01 ( 6.381E+03 )
  2.512E-05  2.706E-01 ( 4.019E+03 )  1.913E-01 ( 4.741E+03 )  1.351E-01 ( 5.447E+03 )
  3.981E-05  2.706E-01 ( 3.434E+03 )  1.913E-01 ( 3.784E+03 )  1.351E-01 ( 3.981E+03 )
  6.310E-05  2.706E-01 ( 2.515E+03 )  1.913E-01 ( 2.510E+03 )  1.351E-01 ( 2.374E+03 )
  1.000E-04  2.706E-01 ( 1.504E+03 )  1.913E-01 ( 1.361E+03 )  1.351E-01 ( 1.181E+03 )
  1.585E-04  2.706E-01 ( 7.488E+02 )  1.913E-01 ( 6.328E+02 )  1.351E-01 ( 5.218E+02 )
  2.512E-04  2.706E-01 ( 3.300E+02 )  1.913E-01 ( 2.709E+02 )  1.351E-01 ( 2.164E+02 )
  3.981E-04  2.706E-01 ( 1.378E+02 )  1.913E-01 ( 1.107E+02 )  1.351E-01 ( 8.754E+01 )
  6.310E-04  2.706E-01 ( 5.576E+01 )  1.913E-01 ( 4.451E+01 )  1.351E-01 ( 3.506E+01 )
  1.000E-03  2.706E-01 ( 2.235E+01 )  1.913E-01 ( 1.779E+01 )  1.351E-01 ( 1.400E+01 )
  1.585E-03  2.706E-01 ( 8.851E+00 )  1.913E-01 ( 7.104E+00 )  1.351E-01 ( 5.593E+00 )
  2.512E-03  2.706E-01 ( 3.514E+00 )  1.913E-01 ( 2.796E+00 )  1.351E-01 ( 2.204E+00 )
  3.981E-03  2.706E-01 ( 1.368E+00 )  1.913E-01 ( 1.092E+00 )  1.351E-01 ( 8.627E-01 )
  6.310E-03  2.706E-01 ( 5.228E-01 )  1.913E-01 ( 4.202E-01 )  1.351E-01 ( 3.323E-01 )
  1.000E-02  2.706E-01 ( 1.964E-01 )  1.913E-01 ( 1.588E-01 )  1.351E-01 ( 1.266E-01 )
  1.585E-02  2.706E-01 ( 7.224E-02 )  1.913E-01 ( 5.908E-02 )  1.351E-01 ( 4.737E-02 )
  2.512E-02  2.706E-01 ( 2.613E-02 )  1.913E-01 ( 2.162E-02 )  1.351E-01 ( 1.754E-02 )
  3.981E-02  2.705E-01 ( 9.288E-03 )  1.913E-01 ( 7.833E-03 )  1.351E-01 ( 6.428E-03 )
  6.310E-02  2.704E-01 ( 3.252E-03 )  1.912E-01 ( 2.794E-03 )  1.351E-01 ( 2.332E-03 )
  1.000E-01  2.700E-01 ( 1.121E-03 )  1.911E-01 ( 9.841E-04 )  1.350E-01 ( 8.353E-04 )
  1.585E-01  2.691E-01 ( 3.798E-04 )  1.908E-01 ( 3.409E-04 )  1.349E-01 ( 2.958E-04 )
  2.512E-01  2.667E-01 ( 1.267E-04 )  1.899E-01 ( 1.163E-04 )  1.346E-01 ( 1.031E-04 )
  3.981E-01  2.610E-01 ( 4.017E-05 )  1.879E-01 ( 3.905E-05 )  1.339E-01 ( 3.546E-05 )
  6.310E-01  2.471E-01 ( 1.310E-05 )  1.828E-01 ( 1.254E-05 )  1.321E-01 ( 1.200E-05 )
  1.000E+00  2.153E-01 ( 4.282E-06 )  1.706E-01 ( 4.078E-06 )  1.276E-01 ( 4.000E-06 )
  1.585E+00  1.524E-01 ( 1.405E-06 )  1.436E-01 ( 1.331E-06 )  1.170E-01 ( 1.271E-06 )
  2.512E+00  6.400E-02 ( 4.626E-07 )  9.303E-02 ( 4.358E-07 )  9.421E-02 ( 4.140E-07 )
  3.981E+00  7.236E-03 ( 1.527E-07 )  3.128E-02 ( 1.433E-07 )  5.463E-02 ( 1.354E-07 )
  6.310E+00  3.037E-05 ( 5.056E-08 )  2.024E-03 ( 4.723E-08 )  1.390E-02 ( 4.440E-08 )
  1.000E+01  1.852E-08 ( 1.677E-08 )  2.107E-06 ( 1.562E-08 )  4.462E-04 ( 1.461E-08 )
  1.585E+01  5.771E-09 ( 5.566E-09 )  5.584E-09 ( 5.176E-09 )  8.487E-08 ( 4.826E-09 )
  2.512E+01  1.871E-09 ( 1.845E-09 )  1.767E-09 ( 1.717E-09 )  1.696E-09 ( 1.598E-09 )
  3.981E+01  6.135E-10 ( 6.101E-10 )  5.762E-10 ( 5.698E-10 )  5.421E-10 ( 5.300E-10 )
  6.310E+01  2.012E-10 ( 2.008E-10 )  1.896E-10 ( 1.887E-10 )  1.775E-10 ( 1.759E-10 )
  1.000E+02  6.571E-11 ( 6.565E-11 )  6.241E-11 ( 6.230E-11 )  5.855E-11 ( 5.835E-11 )
  1.585E+02  2.128E-11 ( 2.128E-11 )  2.045E-11 ( 2.044E-11 )  1.932E-11 ( 1.930E-11 )
  2.512E+02  6.740E-12 ( 6.740E-12 )  6.657E-12 ( 6.657E-12 )  6.356E-12 ( 6.352E-12 )
  3.981E+02                           2.133E-12 ( 2.133E-12 )  2.078E-12 ( 2.078E-12 )
  6.310E+02                           6.753E-13 ( 6.753E-13 )  6.745E-13 ( 6.744E-13 )
  1.000E+03                                                    2.139E-13 ( 2.139E-13 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            3.576E-02                2.531E-02                1.792E-02
width Stark         3.455E-05                2.650E-05                2.063E-05
width incl.Dop.     4.979E+00                7.041E+00                9.820E+00

  0.000E+00  9.562E-02 ( 9.406E+03 )  6.773E-02 ( 1.216E+04 )  4.791E-02 ( 1.582E+04 )
  1.585E-06  9.562E-02 ( 9.328E+03 )  6.773E-02 ( 1.195E+04 )  4.791E-02 ( 1.549E+04 )
  2.512E-06  9.562E-02 ( 9.210E+03 )  6.773E-02 ( 1.189E+04 )  4.791E-02 ( 1.535E+04 )
  3.981E-06  9.562E-02 ( 9.139E+03 )  6.773E-02 ( 1.172E+04 )  4.791E-02 ( 1.499E+04 )
