           N LOWER =  1  N UPPER=  3  WAVELENGTH (angstroms)=  1025.73
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   3.586E-05

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         2.054E-03                2.095E-03                2.074E-03
width incl.Dop.     4.024E-03                5.295E-03                7.098E-03

  0.000E+00  1.090E+02 ( 1.831E+02 )  8.557E+01 ( 1.813E+02 )  6.523E+01 ( 1.854E+02 )
  1.000E-04  1.090E+02 ( 1.842E+02 )  8.555E+01 ( 1.821E+02 )  6.522E+01 ( 1.863E+02 )
  1.585E-04  1.089E+02 ( 1.858E+02 )  8.551E+01 ( 1.833E+02 )  6.521E+01 ( 1.877E+02 )
  2.512E-04  1.087E+02 ( 1.885E+02 )  8.543E+01 ( 1.862E+02 )  6.517E+01 ( 1.897E+02 )
  3.981E-04  1.082E+02 ( 1.920E+02 )  8.522E+01 ( 1.895E+02 )  6.508E+01 ( 1.921E+02 )
  6.310E-04  1.071E+02 ( 1.915E+02 )  8.469E+01 ( 1.889E+02 )  6.486E+01 ( 1.903E+02 )
  1.000E-03  1.043E+02 ( 1.736E+02 )  8.338E+01 ( 1.724E+02 )  6.430E+01 ( 1.727E+02 )
  1.585E-03  9.750E+01 ( 1.262E+02 )  8.019E+01 ( 1.274E+02 )  6.291E+01 ( 1.274E+02 )
  2.512E-03  8.256E+01 ( 6.655E+01 )  7.274E+01 ( 6.802E+01 )  5.958E+01 ( 6.791E+01 )
  3.981E-03  5.511E+01 ( 2.665E+01 )  5.709E+01 ( 2.698E+01 )  5.198E+01 ( 2.667E+01 )
  6.310E-03  2.213E+01 ( 9.230E+00 )  3.174E+01 ( 9.110E+00 )  3.705E+01 ( 8.867E+00 )
  1.000E-02  4.753E+00 ( 3.055E+00 )  8.673E+00 ( 2.944E+00 )  1.629E+01 ( 2.822E+00 )
  1.585E-02  1.152E+00 ( 1.008E+00 )  1.337E+00 ( 9.175E-01 )  2.774E+00 ( 8.654E-01 )
  2.512E-02  3.373E-01 ( 3.197E-01 )  3.335E-01 ( 3.011E-01 )  3.649E-01 ( 2.823E-01 )
  3.981E-02  1.075E-01 ( 1.057E-01 )  1.036E-01 ( 9.964E-02 )  1.011E-01 ( 9.323E-02 )
  6.310E-02  3.497E-02 ( 3.470E-02 )  3.354E-02 ( 3.305E-02 )  3.189E-02 ( 3.096E-02 )
  1.000E-01  1.137E-02 ( 1.134E-02 )  1.092E-02 ( 1.086E-02 )  1.036E-02 ( 1.024E-02 )
  1.585E-01  3.596E-03 ( 3.592E-03 )  3.546E-03 ( 3.537E-03 )  3.385E-03 ( 3.369E-03 )
  2.512E-01                           1.137E-03 ( 1.136E-03 )  1.102E-03 ( 1.102E-03 )
  3.981E-01                           3.593E-04 ( 3.591E-04 )  3.573E-04 ( 3.573E-04 )
  6.310E-01                                                    1.136E-04 ( 1.136E-04 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.660E-01                1.175E-01                8.318E-02
width Stark         1.991E-03                1.842E-03                1.617E-03
width incl.Dop.     9.522E-03                1.323E-02                1.850E-02

  0.000E+00  4.855E+01 ( 1.951E+02 )  3.550E+01 ( 2.115E+02 )  2.563E+01 ( 2.343E+02 )
  2.512E-04  4.853E+01 ( 1.988E+02 )  3.550E+01 ( 2.135E+02 )  2.563E+01 ( 2.342E+02 )
  3.981E-04  4.849E+01 ( 1.997E+02 )  3.548E+01 ( 2.123E+02 )  2.563E+01 ( 2.307E+02 )
  6.310E-04  4.840E+01 ( 1.954E+02 )  3.545E+01 ( 2.043E+02 )  2.561E+01 ( 2.173E+02 )
  1.000E-03  4.818E+01 ( 1.744E+02 )  3.536E+01 ( 1.774E+02 )  2.558E+01 ( 1.811E+02 )
  1.585E-03  4.762E+01 ( 1.261E+02 )  3.514E+01 ( 1.236E+02 )  2.550E+01 ( 1.193E+02 )
  2.512E-03  4.624E+01 ( 6.614E+01 )  3.461E+01 ( 6.273E+01 )  2.530E+01 ( 5.780E+01 )
  3.981E-03  4.295E+01 ( 2.572E+01 )  3.329E+01 ( 2.414E+01 )  2.480E+01 ( 2.198E+01 )
  6.310E-03  3.572E+01 ( 8.518E+00 )  3.021E+01 ( 8.044E+00 )  2.359E+01 ( 7.431E+00 )
  1.000E-02  2.257E+01 ( 2.693E+00 )  2.369E+01 ( 2.561E+00 )  2.080E+01 ( 2.408E+00 )
  1.585E-02  7.403E+00 ( 8.179E-01 )  1.293E+01 ( 8.125E-01 )  1.518E+01 ( 7.714E-01 )
  2.512E-02  7.385E-01 ( 2.648E-01 )  2.966E+00 ( 2.494E-01 )  6.916E+00 ( 2.364E-01 )
  3.981E-02  1.047E-01 ( 8.722E-02 )  1.754E-01 ( 8.160E-02 )  1.024E+00 ( 7.676E-02 )
  6.310E-02  3.070E-02 ( 2.886E-02 )  3.085E-02 ( 2.690E-02 )  4.072E-02 ( 2.517E-02 )
  1.000E-01  9.794E-03 ( 9.564E-03 )  9.341E-03 ( 8.903E-03 )  9.202E-03 ( 8.300E-03 )
  1.585E-01  3.195E-03 ( 3.166E-03 )  3.008E-03 ( 2.952E-03 )  2.855E-03 ( 2.747E-03 )
  2.512E-01  1.048E-03 ( 1.044E-03 )  9.853E-04 ( 9.782E-04 )  9.244E-04 ( 9.110E-04 )
  3.981E-01  3.431E-04 ( 3.426E-04 )  3.242E-04 ( 3.233E-04 )  3.038E-04 ( 3.021E-04 )
  6.310E-01  1.117E-04 ( 1.116E-04 )  1.065E-04 ( 1.064E-04 )  1.002E-04 ( 1.000E-04 )
  1.000E+00  3.598E-05 ( 3.597E-05 )  3.483E-05 ( 3.482E-05 )  3.304E-05 ( 3.301E-05 )
  1.585E+00  1.139E-05 ( 1.139E-05 )  1.131E-05 ( 1.131E-05 )  1.085E-05 ( 1.085E-05 )
  2.512E+00                           3.612E-06 ( 3.612E-06 )  3.543E-06 ( 3.543E-06 )
  3.981E+00                           1.147E-06 ( 1.147E-06 )  1.147E-06 ( 1.147E-06 )
  6.310E+00                                                    3.650E-07 ( 3.650E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            5.889E-02                4.169E-02                2.951E-02
width Stark         1.411E-03                1.201E-03                9.588E-04
width incl.Dop.     2.562E-02                3.599E-02                5.105E-02

  0.000E+00  1.837E+01 ( 2.673E+02 )  1.310E+01 ( 3.113E+02 )  9.310E+00 ( 3.739E+02 )
  1.000E-04  1.837E+01 ( 2.669E+02 )  1.310E+01 ( 3.105E+02 )  9.310E+00 ( 3.717E+02 )
  1.585E-04  1.837E+01 ( 2.663E+02 )  1.310E+01 ( 3.092E+02 )  9.310E+00 ( 3.664E+02 )
  2.512E-04  1.837E+01 ( 2.632E+02 )  1.310E+01 ( 3.038E+02 )  9.310E+00 ( 3.547E+02 )
  3.981E-04  1.837E+01 ( 2.561E+02 )  1.310E+01 ( 2.878E+02 )  9.310E+00 ( 3.262E+02 )
  6.310E-04  1.836E+01 ( 2.332E+02 )  1.309E+01 ( 2.510E+02 )  9.309E+00 ( 2.662E+02 )
  1.000E-03  1.835E+01 ( 1.838E+02 )  1.309E+01 ( 1.833E+02 )  9.308E+00 ( 1.770E+02 )
  1.585E-03  1.832E+01 ( 1.125E+02 )  1.308E+01 ( 1.029E+02 )  9.304E+00 ( 9.085E+01 )
  2.512E-03  1.825E+01 ( 5.165E+01 )  1.305E+01 ( 4.480E+01 )  9.294E+00 ( 3.777E+01 )
  3.981E-03  1.806E+01 ( 1.945E+01 )  1.299E+01 ( 1.673E+01 )  9.270E+00 ( 1.405E+01 )
  6.310E-03  1.761E+01 ( 6.692E+00 )  1.282E+01 ( 5.860E+00 )  9.210E+00 ( 4.996E+00 )
  1.000E-02  1.651E+01 ( 2.220E+00 )  1.241E+01 ( 1.994E+00 )  9.060E+00 ( 1.741E+00 )
  1.585E-02  1.406E+01 ( 7.248E-01 )  1.144E+01 ( 6.673E-01 )  8.696E+00 ( 5.971E-01 )
  2.512E-02  9.389E+00 ( 2.349E-01 )  9.320E+00 ( 2.203E-01 )  7.843E+00 ( 2.020E-01 )
  3.981E-02  3.427E+00 ( 7.272E-02 )  5.577E+00 ( 6.943E-02 )  6.052E+00 ( 6.767E-02 )
  6.310E-02  2.978E-01 ( 2.370E-02 )  1.545E+00 ( 2.249E-02 )  3.158E+00 ( 2.151E-02 )
  1.000E-01  1.035E-02 ( 7.776E-03 )  7.060E-02 ( 7.337E-03 )  6.207E-01 ( 6.977E-03 )
  1.585E-01  2.777E-03 ( 2.564E-03 )  2.901E-03 ( 2.407E-03 )  1.343E-02 ( 2.276E-03 )
  2.512E-01  8.743E-04 ( 8.483E-04 )  8.444E-04 ( 7.929E-04 )  8.554E-04 ( 7.459E-04 )
  3.981E-01  2.845E-04 ( 2.812E-04 )  2.684E-04 ( 2.621E-04 )  2.579E-04 ( 2.455E-04 )
  6.310E-01  9.371E-05 ( 9.328E-05 )  8.764E-05 ( 8.683E-05 )  8.258E-05 ( 8.105E-05 )
  1.000E+00  3.099E-05 ( 3.093E-05 )  2.892E-05 ( 2.881E-05 )  2.703E-05 ( 2.683E-05 )
  1.585E+00  1.025E-05 ( 1.024E-05 )  9.580E-06 ( 9.566E-06 )  8.932E-06 ( 8.906E-06 )
  2.512E+00  3.378E-06 ( 3.377E-06 )  3.175E-06 ( 3.173E-06 )  2.963E-06 ( 2.959E-06 )
  3.981E+00  1.108E-06 ( 1.108E-06 )  1.051E-06 ( 1.051E-06 )  9.844E-07 ( 9.839E-07 )
  6.310E+00  3.619E-07 ( 3.619E-07 )  3.468E-07 ( 3.468E-07 )  3.272E-07 ( 3.271E-07 )
  1.000E+01  1.166E-07 ( 1.166E-07 )  1.141E-07 ( 1.141E-07 )  1.086E-07 ( 1.086E-07 )
  1.585E+01  3.744E-08 ( 3.744E-08 )  3.744E-08 ( 3.744E-08 )  3.603E-08 ( 3.603E-08 )
  2.512E+01                           1.212E-08 ( 1.212E-08 )  1.196E-08 ( 1.196E-08 )
  3.981E+01                                                    3.970E-09 ( 3.970E-09 )
  6.310E+01                                                    1.321E-09 ( 1.321E-09 )

T(K)                1.259E+06
RO/Debye            2.089E-02
width Stark         7.817E-04
width incl.Dop.     7.221E-02

  0.000E+00  6.603E+00 ( 4.586E+02 )
  1.000E-04  6.603E+00 ( 4.520E+02 )
  1.585E-04  6.603E+00 ( 4.407E+02 )
  2.512E-04  6.603E+00 ( 4.169E+02 )
  3.981E-04  6.603E+00 ( 3.656E+02 )
