           N LOWER =  1  N UPPER=  3  WAVELENGTH (angstroms)=  1025.73
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   3.586E-05

T(K)                                                                  7.943E+04
RO/Debye                                                              5.667E-01
width Stark                                                           2.956E-03
width incl.Dop.                                                       2.956E-03

  0.000E+00                                                    1.064E+02 ( 1.064E+02 )
  1.585E-04                                                    1.089E+02 ( 1.089E+02 )
  2.512E-04                                                    1.125E+02 ( 1.125E+02 )
  3.981E-04                                                    1.200E+02 ( 1.200E+02 )
  6.310E-04                                                    1.316E+02 ( 1.316E+02 )
  1.000E-03                                                    1.400E+02 ( 1.400E+02 )
  1.585E-03                                                    1.261E+02 ( 1.261E+02 )
  2.512E-03                                                    8.332E+01 ( 8.332E+01 )
  3.981E-03                                                    3.924E+01 ( 3.924E+01 )
  6.310E-03                                                    1.430E+01 ( 1.430E+01 )
  1.000E-02                                                    4.617E+00 ( 4.617E+00 )
  1.585E-02                                                    1.470E+00 ( 1.470E+00 )
  2.512E-02                                                    4.309E-01 ( 4.309E-01 )
  3.981E-02                                                    1.429E-01 ( 1.429E-01 )
  6.310E-02                                                    4.819E-02 ( 4.819E-02 )
  1.000E-01                                                    1.702E-02 ( 1.702E-02 )
  1.585E-01                                                    6.174E-03 ( 6.174E-03 )
  2.512E-01                                                    2.296E-03 ( 2.296E-03 )
  3.981E-01                                                    8.710E-04 ( 8.710E-04 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-01                2.840E-01                2.011E-01
width Stark         3.047E-03                3.071E-03                3.021E-03
width incl.Dop.     3.047E-03                3.071E-03                3.021E-03

  0.000E+00  9.872E+01 ( 9.872E+01 )  9.363E+01 ( 9.363E+01 )  9.048E+01 ( 9.048E+01 )
  1.585E-04  1.013E+02 ( 1.013E+02 )  9.649E+01 ( 9.649E+01 )  9.382E+01 ( 9.382E+01 )
  2.512E-04  1.051E+02 ( 1.051E+02 )  1.007E+02 ( 1.007E+02 )  9.869E+01 ( 9.869E+01 )
  3.981E-04  1.132E+02 ( 1.132E+02 )  1.096E+02 ( 1.096E+02 )  1.088E+02 ( 1.088E+02 )
  6.310E-04  1.262E+02 ( 1.262E+02 )  1.240E+02 ( 1.240E+02 )  1.252E+02 ( 1.252E+02 )
  1.000E-03  1.374E+02 ( 1.374E+02 )  1.373E+02 ( 1.373E+02 )  1.403E+02 ( 1.403E+02 )
  1.585E-03  1.266E+02 ( 1.266E+02 )  1.278E+02 ( 1.278E+02 )  1.301E+02 ( 1.301E+02 )
  2.512E-03  8.498E+01 ( 8.498E+01 )  8.591E+01 ( 8.591E+01 )  8.613E+01 ( 8.613E+01 )
  3.981E-03  4.027E+01 ( 4.027E+01 )  4.055E+01 ( 4.055E+01 )  3.997E+01 ( 3.997E+01 )
  6.310E-03  1.458E+01 ( 1.458E+01 )  1.453E+01 ( 1.453E+01 )  1.411E+01 ( 1.411E+01 )
  1.000E-02  4.666E+00 ( 4.666E+00 )  4.619E+00 ( 4.619E+00 )  4.468E+00 ( 4.468E+00 )
  1.585E-02  1.471E+00 ( 1.471E+00 )  1.453E+00 ( 1.453E+00 )  1.410E+00 ( 1.410E+00 )
  2.512E-02  4.318E-01 ( 4.318E-01 )  4.323E-01 ( 4.323E-01 )  4.538E-01 ( 4.538E-01 )
  3.981E-02  1.430E-01 ( 1.430E-01 )  1.431E-01 ( 1.431E-01 )  1.431E-01 ( 1.431E-01 )
  6.310E-02  4.823E-02 ( 4.823E-02 )  4.825E-02 ( 4.825E-02 )  4.884E-02 ( 4.884E-02 )
  1.000E-01  1.703E-02 ( 1.703E-02 )  1.703E-02 ( 1.703E-02 )  1.703E-02 ( 1.703E-02 )
  1.585E-01  6.178E-03 ( 6.178E-03 )  6.179E-03 ( 6.179E-03 )  6.180E-03 ( 6.180E-03 )
  2.512E-01  2.297E-03 ( 2.297E-03 )  2.297E-03 ( 2.297E-03 )  2.298E-03 ( 2.298E-03 )
  3.981E-01  8.714E-04 ( 8.714E-04 )  8.715E-04 ( 8.715E-04 )  8.716E-04 ( 8.716E-04 )
  6.310E-01                                                    3.358E-04 ( 3.358E-04 )

T(K)                1.259E+06
RO/Debye            1.424E-01
width Stark         2.928E-03
width incl.Dop.     2.928E-03

  0.000E+00  8.922E+01 ( 8.922E+01 )
  1.585E-04  9.323E+01 ( 9.323E+01 )
  2.512E-04  9.893E+01 ( 9.893E+01 )
  3.981E-04  1.105E+02 ( 1.105E+02 )
  6.310E-04  1.291E+02 ( 1.291E+02 )
  1.000E-03  1.451E+02 ( 1.451E+02 )
  1.585E-03  1.323E+02 ( 1.323E+02 )
  2.512E-03  8.578E+01 ( 8.578E+01 )
  3.981E-03  3.901E+01 ( 3.901E+01 )
  6.310E-03  1.349E+01 ( 1.349E+01 )
  1.000E-02  4.251E+00 ( 4.251E+00 )
  1.585E-02  1.346E+00 ( 1.346E+00 )
  2.512E-02  4.378E-01 ( 4.378E-01 )
  3.981E-02  1.463E-01 ( 1.463E-01 )
  6.310E-02  4.887E-02 ( 4.887E-02 )
  1.000E-01  1.703E-02 ( 1.703E-02 )
  1.585E-01  6.180E-03 ( 6.180E-03 )
  2.512E-01  2.298E-03 ( 2.298E-03 )
  3.981E-01  8.717E-04 ( 8.717E-04 )
  6.310E-01  3.358E-04 ( 3.358E-04 )
