           N LOWER =  1  N UPPER=  7  WAVELENGTH (angstroms)=   930.76
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   4.212E-04

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         8.082E-03                7.175E-03                6.073E-03
width incl.Dop.     2.915E+00                4.083E+00                5.763E+00

  0.000E+00  1.638E-01 ( 4.726E+01 )  1.158E-01 ( 5.241E+01 )  8.192E-02 ( 5.976E+01 )
  3.981E-04  1.638E-01 ( 4.714E+01 )  1.158E-01 ( 5.224E+01 )  8.192E-02 ( 5.952E+01 )
  6.310E-04  1.638E-01 ( 4.697E+01 )  1.158E-01 ( 5.197E+01 )  8.192E-02 ( 5.915E+01 )
  1.000E-03  1.638E-01 ( 4.658E+01 )  1.158E-01 ( 5.131E+01 )  8.192E-02 ( 5.827E+01 )
  1.585E-03  1.638E-01 ( 4.555E+01 )  1.158E-01 ( 4.991E+01 )  8.192E-02 ( 5.611E+01 )
  2.512E-03  1.638E-01 ( 4.326E+01 )  1.158E-01 ( 4.678E+01 )  8.192E-02 ( 5.140E+01 )
  3.981E-03  1.638E-01 ( 3.832E+01 )  1.158E-01 ( 4.026E+01 )  8.192E-02 ( 4.225E+01 )
  6.310E-03  1.638E-01 ( 2.933E+01 )  1.158E-01 ( 2.924E+01 )  8.192E-02 ( 2.848E+01 )
  1.000E-02  1.638E-01 ( 1.746E+01 )  1.158E-01 ( 1.630E+01 )  8.192E-02 ( 1.471E+01 )
  1.585E-02  1.638E-01 ( 7.732E+00 )  1.158E-01 ( 6.940E+00 )  8.192E-02 ( 6.037E+00 )
  2.512E-02  1.638E-01 ( 2.791E+00 )  1.158E-01 ( 2.508E+00 )  8.192E-02 ( 2.191E+00 )
  3.981E-02  1.638E-01 ( 9.174E-01 )  1.158E-01 ( 8.417E-01 )  8.192E-02 ( 7.528E-01 )
  6.310E-02  1.638E-01 ( 2.926E-01 )  1.158E-01 ( 2.741E-01 )  8.191E-02 ( 2.516E-01 )
  1.000E-01  1.637E-01 ( 9.321E-02 )  1.158E-01 ( 8.832E-02 )  8.190E-02 ( 8.272E-02 )
  1.585E-01  1.635E-01 ( 2.883E-02 )  1.157E-01 ( 2.732E-02 )  8.188E-02 ( 2.696E-02 )
  2.512E-01  1.630E-01 ( 9.420E-03 )  1.155E-01 ( 8.866E-03 )  8.181E-02 ( 8.410E-03 )
  3.981E-01  1.617E-01 ( 3.104E-03 )  1.151E-01 ( 2.906E-03 )  8.165E-02 ( 2.740E-03 )
  6.310E-01  1.585E-01 ( 1.027E-03 )  1.139E-01 ( 9.582E-04 )  8.124E-02 ( 8.987E-04 )
  1.000E+00  1.507E-01 ( 3.406E-04 )  1.111E-01 ( 3.171E-04 )  8.022E-02 ( 2.962E-04 )
