           N LOWER =  1  N UPPER= 18  WAVELENGTH (angstroms)=   914.59
                electronic density(1/cm**3)       1.000E+11
                conversion factor for wlengths=f0 2.696E-02
                wings factor                  =   7.043E-03

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.224E-01                8.654E-02                6.119E-02
width Stark         9.469E-02                9.164E-02                8.823E-02
width incl.Dop.     6.309E-01                8.836E-01                1.247E+00

  0.000E+00  7.391E-01 ( 4.240E+00 )  5.324E-01 ( 4.386E+00 )  3.807E-01 ( 4.567E+00 )
  3.981E-03  7.391E-01 ( 4.236E+00 )  5.324E-01 ( 4.380E+00 )  3.807E-01 ( 4.560E+00 )
  6.310E-03  7.391E-01 ( 4.227E+00 )  5.324E-01 ( 4.371E+00 )  3.807E-01 ( 4.550E+00 )
  1.000E-02  7.390E-01 ( 4.205E+00 )  5.324E-01 ( 4.349E+00 )  3.807E-01 ( 4.524E+00 )
  1.585E-02  7.388E-01 ( 4.152E+00 )  5.323E-01 ( 4.289E+00 )  3.807E-01 ( 4.457E+00 )
  2.512E-02  7.383E-01 ( 4.022E+00 )  5.321E-01 ( 4.144E+00 )  3.806E-01 ( 4.293E+00 )
  3.981E-02  7.371E-01 ( 3.716E+00 )  5.317E-01 ( 3.804E+00 )  3.804E-01 ( 3.911E+00 )
  6.310E-02  7.340E-01 ( 3.059E+00 )  5.305E-01 ( 3.088E+00 )  3.800E-01 ( 3.122E+00 )
  1.000E-01  7.263E-01 ( 1.962E+00 )  5.276E-01 ( 1.931E+00 )  3.790E-01 ( 1.891E+00 )
  1.585E-01  7.073E-01 ( 8.573E-01 )  5.205E-01 ( 8.202E-01 )  3.764E-01 ( 7.769E-01 )
  2.512E-01  6.619E-01 ( 2.773E-01 )  5.030E-01 ( 2.625E-01 )  3.699E-01 ( 2.456E-01 )
  3.981E-01  5.604E-01 ( 8.273E-02 )  4.617E-01 ( 7.879E-02 )  3.541E-01 ( 7.407E-02 )
  6.310E-01  3.695E-01 ( 2.493E-02 )  3.723E-01 ( 2.406E-02 )  3.173E-01 ( 2.285E-02 )
  1.000E+00  1.320E-01 ( 7.634E-03 )  2.173E-01 ( 7.475E-03 )  2.411E-01 ( 7.217E-03 )
  1.585E+00  1.244E-02 ( 2.286E-03 )  5.730E-02 ( 2.341E-03 )  1.211E-01 ( 2.252E-03 )
  2.512E+00  9.140E-04 ( 7.109E-04 )  2.926E-03 ( 7.109E-04 )  2.199E-02 ( 7.201E-04 )
  3.981E+00  2.424E-04 ( 2.238E-04 )  2.669E-04 ( 2.238E-04 )  6.023E-04 ( 2.238E-04 )
  6.310E+00  7.272E-05 ( 7.060E-05 )  7.516E-05 ( 7.060E-05 )  8.056E-05 ( 7.060E-05 )
  1.000E+01  2.256E-05 ( 2.230E-05 )  2.283E-05 ( 2.230E-05 )  2.342E-05 ( 2.230E-05 )
  1.585E+01  7.080E-06 ( 7.048E-06 )  7.113E-06 ( 7.048E-06 )  7.179E-06 ( 7.048E-06 )
  2.512E+01  2.233E-06 ( 2.229E-06 )  2.237E-06 ( 2.229E-06 )  2.245E-06 ( 2.229E-06 )
  3.981E+01  7.053E-07 ( 7.048E-07 )  7.058E-07 ( 7.048E-07 )  7.069E-07 ( 7.048E-07 )
  6.310E+01                                                    2.232E-07 ( 2.229E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            4.332E-02                3.067E-02                2.171E-02
width Stark         8.473E-02                8.112E-02                7.722E-02
width incl.Dop.     1.753E+00                2.439E+00                3.458E+00

  0.000E+00  2.713E-01 ( 4.772E+00 )  1.928E-01 ( 4.999E+00 )  1.368E-01 ( 5.256E+00 )
  1.000E-02  2.713E-01 ( 4.723E+00 )  1.928E-01 ( 4.942E+00 )  1.368E-01 ( 5.190E+00 )
  1.585E-02  2.713E-01 ( 4.646E+00 )  1.928E-01 ( 4.853E+00 )  1.368E-01 ( 5.088E+00 )
  2.512E-02  2.713E-01 ( 4.459E+00 )  1.928E-01 ( 4.641E+00 )  1.368E-01 ( 4.845E+00 )
  3.981E-02  2.712E-01 ( 4.029E+00 )  1.928E-01 ( 4.156E+00 )  1.368E-01 ( 4.292E+00 )
  6.310E-02  2.711E-01 ( 3.155E+00 )  1.927E-01 ( 3.183E+00 )  1.368E-01 ( 3.198E+00 )
  1.000E-01  2.707E-01 ( 1.843E+00 )  1.926E-01 ( 1.783E+00 )  1.367E-01 ( 1.708E+00 )
  1.585E-01  2.697E-01 ( 7.314E-01 )  1.922E-01 ( 6.835E-01 )  1.366E-01 ( 6.364E-01 )
  2.512E-01  2.674E-01 ( 2.288E-01 )  1.914E-01 ( 2.128E-01 )  1.363E-01 ( 1.982E-01 )
  3.981E-01  2.615E-01 ( 6.910E-02 )  1.893E-01 ( 6.444E-02 )  1.355E-01 ( 6.011E-02 )
  6.310E-01  2.474E-01 ( 2.150E-02 )  1.840E-01 ( 2.006E-02 )  1.337E-01 ( 1.871E-02 )
  1.000E+00  2.153E-01 ( 6.841E-03 )  1.716E-01 ( 6.414E-03 )  1.290E-01 ( 5.986E-03 )
  1.585E+00  1.517E-01 ( 2.164E-03 )  1.438E-01 ( 2.046E-03 )  1.181E-01 ( 1.914E-03 )
  2.512E+00  6.318E-02 ( 7.006E-04 )  9.235E-02 ( 6.694E-04 )  9.447E-02 ( 6.303E-04 )
  3.981E+00  7.212E-03 ( 2.254E-04 )  3.043E-02 ( 2.181E-04 )  5.399E-02 ( 2.073E-04 )
  6.310E+00  1.235E-04 ( 7.060E-05 )  1.954E-03 ( 7.051E-05 )  1.327E-02 ( 6.782E-05 )
  1.000E+01  2.469E-05 ( 2.230E-05 )  3.004E-05 ( 2.263E-05 )  4.195E-04 ( 2.204E-05 )
  1.585E+01  7.322E-06 ( 7.048E-06 )  7.651E-06 ( 7.048E-06 )  8.468E-06 ( 7.111E-06 )
  2.512E+01  2.262E-06 ( 2.229E-06 )  2.295E-06 ( 2.229E-06 )  2.375E-06 ( 2.229E-06 )
  3.981E+01  7.089E-07 ( 7.048E-07 )  7.132E-07 ( 7.048E-07 )  7.213E-07 ( 7.048E-07 )
  6.310E+01  2.235E-07 ( 2.229E-07 )  2.240E-07 ( 2.229E-07 )  2.250E-07 ( 2.229E-07 )
  1.000E+02  7.060E-08 ( 7.054E-08 )  7.067E-08 ( 7.054E-08 )  7.079E-08 ( 7.054E-08 )
  1.585E+02                                                    2.236E-08 ( 2.232E-08 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.537E-02                1.088E-02                7.703E-03
width Stark         7.260E-02                6.647E-02                5.975E-02
width incl.Dop.     4.911E+00                6.930E+00                9.672E+00

  0.000E+00  9.693E-02 ( 5.564E+00 )  6.867E-02 ( 5.964E+00 )  4.864E-02 ( 6.516E+00 )
  6.310E-03  9.693E-02 ( 5.533E+00 )  6.867E-02 ( 5.925E+00 )  4.864E-02 ( 6.464E+00 )
  1.000E-02  9.693E-02 ( 5.486E+00 )  6.867E-02 ( 5.866E+00 )  4.864E-02 ( 6.386E+00 )
  1.585E-02  9.692E-02 ( 5.367E+00 )  6.867E-02 ( 5.722E+00 )  4.864E-02 ( 6.195E+00 )
  2.512E-02  9.692E-02 ( 5.083E+00 )  6.867E-02 ( 5.375E+00 )  4.864E-02 ( 5.741E+00 )
  3.981E-02  9.692E-02 ( 4.440E+00 )  6.866E-02 ( 4.597E+00 )  4.864E-02 ( 4.744E+00 )
  6.310E-02  9.691E-02 ( 3.188E+00 )  6.866E-02 ( 3.132E+00 )  4.864E-02 ( 3.008E+00 )
  1.000E-01  9.690E-02 ( 1.611E+00 )  6.866E-02 ( 1.490E+00 )  4.864E-02 ( 1.343E+00 )
  1.585E-01  9.685E-02 ( 5.877E-01 )  6.864E-02 ( 5.366E-01 )  4.863E-02 ( 4.815E-01 )
  2.512E-01  9.675E-02 ( 1.844E-01 )  6.860E-02 ( 1.708E-01 )  4.862E-02 ( 1.565E-01 )
  3.981E-01  9.647E-02 ( 5.629E-02 )  6.850E-02 ( 5.278E-02 )  4.858E-02 ( 4.941E-02 )
  6.310E-01  9.579E-02 ( 1.681E-02 )  6.826E-02 ( 1.581E-02 )  4.850E-02 ( 1.559E-02 )
  1.000E+00  9.411E-02 ( 5.434E-03 )  6.766E-02 ( 5.082E-03 )  4.828E-02 ( 4.782E-03 )
  1.585E+00  9.001E-02 ( 1.782E-03 )  6.616E-02 ( 1.661E-03 )  4.774E-02 ( 1.555E-03 )
  2.512E+00  8.047E-02 ( 5.882E-04 )  6.255E-02 ( 5.474E-04 )  4.641E-02 ( 5.107E-04 )
  3.981E+00  6.075E-02 ( 1.945E-04 )  5.432E-02 ( 1.813E-04 )  4.324E-02 ( 1.687E-04 )
  6.310E+00  2.999E-02 ( 6.420E-05 )  3.811E-02 ( 6.004E-05 )  3.620E-02 ( 5.589E-05 )
  1.000E+01  5.105E-03 ( 2.109E-05 )  1.565E-02 ( 1.986E-05 )  2.316E-02 ( 1.853E-05 )
  1.585E+01  6.889E-05 ( 6.881E-06 )  1.680E-03 ( 6.543E-06 )  7.549E-03 ( 6.138E-06 )
  2.512E+01  2.532E-06 ( 2.229E-06 )  8.943E-06 ( 2.143E-06 )  4.539E-04 ( 2.028E-06 )
  3.981E+01  7.401E-07 ( 7.048E-07 )  7.687E-07 ( 6.972E-07 )  1.211E-06 ( 6.665E-07 )
  6.310E+01  2.271E-07 ( 2.229E-07 )  2.333E-07 ( 2.249E-07 )  2.346E-07 ( 2.176E-07 )
  1.000E+02  7.105E-08 ( 7.054E-08 )  7.162E-08 ( 7.054E-08 )  7.259E-08 ( 7.053E-08 )
  1.585E+02  2.239E-08 ( 2.232E-08 )  2.245E-08 ( 2.232E-08 )  2.293E-08 ( 2.268E-08 )
  2.512E+02  7.077E-09 ( 7.069E-09 )  7.085E-09 ( 7.069E-09 )  7.103E-09 ( 7.069E-09 )
  3.981E+02                           2.243E-09 ( 2.241E-09 )  2.245E-09 ( 2.241E-09 )

T(K)                1.259E+06
RO/Debye            5.454E-03
width Stark         5.336E-02
width incl.Dop.     1.374E+01

  0.000E+00  3.444E-02 ( 7.301E+00 )
  6.310E-03  3.444E-02 ( 7.224E+00 )
  1.000E-02  3.444E-02 ( 7.108E+00 )
  1.585E-02  3.444E-02 ( 6.830E+00 )
  2.512E-02  3.444E-02 ( 6.182E+00 )
  3.981E-02  3.444E-02 ( 4.835E+00 )
  6.310E-02  3.444E-02 ( 2.799E+00 )
  1.000E-01  3.444E-02 ( 1.181E+00 )
  1.585E-01  3.444E-02 ( 4.231E-01 )
  2.512E-01  3.444E-02 ( 1.411E-01 )
  3.981E-01  3.442E-02 ( 4.575E-02 )
  6.310E-01  3.439E-02 ( 1.469E-02 )
  1.000E+00  3.432E-02 ( 4.536E-03 )
  1.585E+00  3.412E-02 ( 1.465E-03 )
  2.512E+00  3.364E-02 ( 4.788E-04 )
  3.981E+00  3.247E-02 ( 1.575E-04 )
  6.310E+00  2.970E-02 ( 5.206E-05 )
  1.000E+01  2.375E-02 ( 1.724E-05 )
  1.585E+01  1.353E-02 ( 5.720E-06 )
  2.512E+01  3.297E-03 ( 1.896E-06 )
  3.981E+01  9.581E-05 ( 6.276E-07 )
  6.310E+01  2.564E-07 ( 2.069E-07 )
  1.000E+02  7.190E-08 ( 6.783E-08 )
  1.585E+02  2.258E-08 ( 2.208E-08 )
  2.512E+02  7.195E-09 ( 7.132E-09 )
  3.981E+02  2.249E-09 ( 2.241E-09 )
  6.310E+02  7.118E-10 ( 7.108E-10 )
