           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   1.018E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         6.330E-02                5.185E-02                3.984E-02
width incl.Dop.     5.807E+01                8.265E+01                1.174E+02

  0.000E+00  8.139E-03 ( 5.074E+00 )  5.752E-03 ( 6.335E+00 )  4.065E-03 ( 8.023E+00 )
  6.310E-03  8.139E-03 ( 5.024E+00 )  5.752E-03 ( 6.231E+00 )  4.065E-03 ( 7.843E+00 )
  1.000E-02  8.139E-03 ( 4.949E+00 )  5.752E-03 ( 6.077E+00 )  4.065E-03 ( 7.530E+00 )
  1.585E-02  8.139E-03 ( 4.762E+00 )  5.752E-03 ( 5.754E+00 )  4.065E-03 ( 6.906E+00 )
  2.512E-02  8.139E-03 ( 4.379E+00 )  5.752E-03 ( 5.065E+00 )  4.065E-03 ( 5.734E+00 )
  3.981E-02  8.139E-03 ( 3.629E+00 )  5.752E-03 ( 3.906E+00 )  4.065E-03 ( 4.014E+00 )
  6.310E-02  8.139E-03 ( 2.543E+00 )  5.752E-03 ( 2.477E+00 )  4.065E-03 ( 2.288E+00 )
  1.000E-01  8.139E-03 ( 1.452E+00 )  5.752E-03 ( 1.291E+00 )  4.065E-03 ( 1.098E+00 )
  1.585E-01  8.139E-03 ( 6.982E-01 )  5.752E-03 ( 5.861E-01 )  4.065E-03 ( 4.777E-01 )
  2.512E-01  8.139E-03 ( 3.030E-01 )  5.752E-03 ( 2.469E-01 )  4.065E-03 ( 1.968E-01 )
  3.981E-01  8.139E-03 ( 1.247E-01 )  5.751E-03 ( 1.003E-01 )  4.065E-03 ( 7.944E-02 )
  6.310E-01  8.139E-03 ( 4.998E-02 )  5.751E-03 ( 4.003E-02 )  4.065E-03 ( 3.160E-02 )
  1.000E+00  8.138E-03 ( 1.967E-02 )  5.751E-03 ( 1.577E-02 )  4.065E-03 ( 1.244E-02 )
