           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       3.162E+18
                conversion factor for wlengths=f0 2.696E+03
                wings factor                  =   1.018E-01

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-01                5.454E-01                3.861E-01
width Stark         2.504E-01                2.580E-01                2.568E-01
width incl.Dop.     2.504E-01                2.580E-01                2.568E-01

  0.000E+00  1.234E+00 ( 1.234E+00 )  1.192E+00 ( 1.192E+00 )  1.183E+00 ( 1.183E+00 )
  1.000E-02  1.229E+00 ( 1.229E+00 )  1.188E+00 ( 1.188E+00 )  1.179E+00 ( 1.179E+00 )
  1.585E-02  1.223E+00 ( 1.223E+00 )  1.182E+00 ( 1.182E+00 )  1.174E+00 ( 1.174E+00 )
  2.512E-02  1.212E+00 ( 1.212E+00 )  1.171E+00 ( 1.171E+00 )  1.162E+00 ( 1.162E+00 )
  3.981E-02  1.186E+00 ( 1.186E+00 )  1.147E+00 ( 1.147E+00 )  1.138E+00 ( 1.138E+00 )
  6.310E-02  1.132E+00 ( 1.132E+00 )  1.096E+00 ( 1.096E+00 )  1.086E+00 ( 1.086E+00 )
  1.000E-01  1.026E+00 ( 1.026E+00 )  9.949E-01 ( 9.949E-01 )  9.847E-01 ( 9.847E-01 )
  1.585E-01  8.477E-01 ( 8.477E-01 )  8.266E-01 ( 8.266E-01 )  8.167E-01 ( 8.167E-01 )
  2.512E-01  6.149E-01 ( 6.149E-01 )  6.063E-01 ( 6.063E-01 )  5.997E-01 ( 5.997E-01 )
  3.981E-01  3.828E-01 ( 3.828E-01 )  3.849E-01 ( 3.849E-01 )  3.838E-01 ( 3.838E-01 )
  6.310E-01  2.013E-01 ( 2.013E-01 )  2.076E-01 ( 2.076E-01 )  2.102E-01 ( 2.102E-01 )
  1.000E+00  8.919E-02 ( 8.919E-02 )  9.335E-02 ( 9.335E-02 )  9.531E-02 ( 9.531E-02 )
  1.585E+00  3.448E-02 ( 3.448E-02 )  3.595E-02 ( 3.595E-02 )  3.648E-02 ( 3.648E-02 )
  2.512E+00  1.236E-02 ( 1.236E-02 )  1.273E-02 ( 1.273E-02 )  1.276E-02 ( 1.276E-02 )
  3.981E+00  4.338E-03 ( 4.338E-03 )  4.420E-03 ( 4.420E-03 )  4.395E-03 ( 4.395E-03 )
  6.309E+00  1.538E-03 ( 1.538E-03 )  1.514E-03 ( 1.514E-03 )  1.489E-03 ( 1.489E-03 )
  1.000E+01  5.372E-04 ( 5.372E-04 )  5.372E-04 ( 5.372E-04 )  5.298E-04 ( 5.298E-04 )
  1.585E+01  1.957E-04 ( 1.957E-04 )  1.961E-04 ( 1.961E-04 )  1.938E-04 ( 1.938E-04 )
  2.512E+01  7.306E-05 ( 7.306E-05 )  7.348E-05 ( 7.348E-05 )  7.260E-05 ( 7.260E-05 )
  3.981E+01  2.771E-05 ( 2.771E-05 )  2.786E-05 ( 2.786E-05 )  2.794E-05 ( 2.794E-05 )
  6.309E+01  1.068E-05 ( 1.068E-05 )  1.073E-05 ( 1.073E-05 )  1.076E-05 ( 1.076E-05 )
  1.000E+02  4.163E-06 ( 4.163E-06 )  4.183E-06 ( 4.183E-06 )  4.192E-06 ( 4.192E-06 )
  1.585E+02  1.635E-06 ( 1.635E-06 )  1.642E-06 ( 1.642E-06 )  1.646E-06 ( 1.646E-06 )
  2.512E+02  6.450E-07 ( 6.450E-07 )  6.480E-07 ( 6.480E-07 )  6.495E-07 ( 6.495E-07 )
  3.981E+02  2.554E-07 ( 2.554E-07 )  2.565E-07 ( 2.565E-07 )  2.571E-07 ( 2.571E-07 )
  6.310E+02  1.013E-07 ( 1.013E-07 )  1.018E-07 ( 1.018E-07 )  1.020E-07 ( 1.020E-07 )
  1.000E+03  4.023E-08 ( 4.023E-08 )  4.042E-08 ( 4.042E-08 )  4.051E-08 ( 4.051E-08 )
  1.585E+03  1.599E-08 ( 1.599E-08 )  1.607E-08 ( 1.607E-08 )  1.610E-08 ( 1.610E-08 )
  2.512E+03  6.362E-09 ( 6.362E-09 )  6.390E-09 ( 6.390E-09 )  6.405E-09 ( 6.405E-09 )
  3.981E+03  2.532E-09 ( 2.532E-09 )  2.543E-09 ( 2.543E-09 )  2.549E-09 ( 2.549E-09 )
  6.310E+03  1.007E-09 ( 1.007E-09 )  1.012E-09 ( 1.012E-09 )  1.014E-09 ( 1.014E-09 )
  1.000E+04  4.009E-10 ( 4.009E-10 )  4.027E-10 ( 4.027E-10 )  4.036E-10 ( 4.036E-10 )
  1.585E+04  1.596E-10 ( 1.596E-10 )  1.603E-10 ( 1.603E-10 )  1.607E-10 ( 1.607E-10 )
  2.512E+04  6.353E-11 ( 6.353E-11 )  6.381E-11 ( 6.381E-11 )  6.396E-11 ( 6.396E-11 )
  3.981E+04  2.529E-11 ( 2.529E-11 )  2.540E-11 ( 2.540E-11 )  2.546E-11 ( 2.546E-11 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            2.733E-01                1.935E-01                1.370E-01
width Stark         2.496E-01                2.427E-01                2.354E-01
width incl.Dop.     2.496E-01                2.427E-01                2.354E-01

  0.000E+00  1.198E+00 ( 1.198E+00 )  1.228E+00 ( 1.228E+00 )  1.266E+00 ( 1.266E+00 )
  1.000E-02  1.194E+00 ( 1.194E+00 )  1.224E+00 ( 1.224E+00 )  1.263E+00 ( 1.263E+00 )
  1.585E-02  1.189E+00 ( 1.189E+00 )  1.219E+00 ( 1.219E+00 )  1.255E+00 ( 1.255E+00 )
  2.512E-02  1.177E+00 ( 1.177E+00 )  1.206E+00 ( 1.206E+00 )  1.241E+00 ( 1.241E+00 )
  3.981E-02  1.151E+00 ( 1.151E+00 )  1.177E+00 ( 1.177E+00 )  1.209E+00 ( 1.209E+00 )
  6.310E-02  1.095E+00 ( 1.095E+00 )  1.116E+00 ( 1.116E+00 )  1.142E+00 ( 1.142E+00 )
  1.000E-01  9.883E-01 ( 9.883E-01 )  1.001E+00 ( 1.001E+00 )  1.018E+00 ( 1.018E+00 )
  1.585E-01  8.147E-01 ( 8.147E-01 )  8.185E-01 ( 8.185E-01 )  8.249E-01 ( 8.249E-01 )
  2.512E-01  5.951E-01 ( 5.951E-01 )  5.934E-01 ( 5.934E-01 )  5.936E-01 ( 5.936E-01 )
  3.981E-01  3.813E-01 ( 3.813E-01 )  3.794E-01 ( 3.794E-01 )  3.784E-01 ( 3.784E-01 )
  6.310E-01  2.104E-01 ( 2.104E-01 )  2.096E-01 ( 2.096E-01 )  2.081E-01 ( 2.081E-01 )
  1.000E+00  9.578E-02 ( 9.578E-02 )  9.473E-02 ( 9.473E-02 )  9.289E-02 ( 9.289E-02 )
  1.585E+00  3.629E-02 ( 3.629E-02 )  3.532E-02 ( 3.532E-02 )  3.408E-02 ( 3.408E-02 )
  2.512E+00  1.253E-02 ( 1.253E-02 )  1.205E-02 ( 1.205E-02 )  1.148E-02 ( 1.148E-02 )
