           N LOWER =  3  N UPPER= 10  WAVELENGTH (angstroms)=  9017.44
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   1.140E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         2.855E+00                2.981E+00                3.025E+00
width incl.Dop.     2.855E+00                2.981E+00                3.025E+00

  0.000E+00  1.419E-01 ( 1.419E-01 )  1.370E-01 ( 1.370E-01 )  1.352E-01 ( 1.352E-01 )
  1.585E-02  1.418E-01 ( 1.418E-01 )  1.369E-01 ( 1.369E-01 )  1.351E-01 ( 1.351E-01 )
  2.512E-02  1.417E-01 ( 1.417E-01 )  1.368E-01 ( 1.368E-01 )  1.351E-01 ( 1.351E-01 )
  3.981E-02  1.416E-01 ( 1.416E-01 )  1.368E-01 ( 1.368E-01 )  1.350E-01 ( 1.350E-01 )
  6.310E-02  1.415E-01 ( 1.415E-01 )  1.366E-01 ( 1.366E-01 )  1.349E-01 ( 1.349E-01 )
  1.000E-01  1.413E-01 ( 1.413E-01 )  1.364E-01 ( 1.364E-01 )  1.347E-01 ( 1.347E-01 )
  1.585E-01  1.409E-01 ( 1.409E-01 )  1.361E-01 ( 1.361E-01 )  1.344E-01 ( 1.344E-01 )
  2.512E-01  1.404E-01 ( 1.404E-01 )  1.357E-01 ( 1.357E-01 )  1.340E-01 ( 1.340E-01 )
  3.981E-01  1.393E-01 ( 1.393E-01 )  1.347E-01 ( 1.347E-01 )  1.331E-01 ( 1.331E-01 )
  6.310E-01  1.360E-01 ( 1.360E-01 )  1.318E-01 ( 1.318E-01 )  1.304E-01 ( 1.304E-01 )
  1.000E+00  1.283E-01 ( 1.283E-01 )  1.251E-01 ( 1.251E-01 )  1.240E-01 ( 1.240E-01 )
  1.585E+00  1.115E-01 ( 1.115E-01 )  1.100E-01 ( 1.100E-01 )  1.094E-01 ( 1.094E-01 )
  2.512E+00  8.001E-02 ( 8.001E-02 )  8.069E-02 ( 8.069E-02 )  8.088E-02 ( 8.088E-02 )
