           N LOWER =  3  N UPPER= 24  WAVELENGTH (angstroms)=  8336.12
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   1.268E+01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         1.366E+01                1.312E+01                1.255E+01
width incl.Dop.     3.166E+01                4.119E+01                5.553E+01

  0.000E+00  1.399E-02 ( 2.868E-02 )  1.087E-02 ( 2.989E-02 )  8.166E-03 ( 3.130E-02 )
  2.512E-02  1.399E-02 ( 2.868E-02 )  1.087E-02 ( 2.989E-02 )  8.166E-03 ( 3.130E-02 )
  3.981E-02  1.399E-02 ( 2.868E-02 )  1.087E-02 ( 2.989E-02 )  8.166E-03 ( 3.129E-02 )
  6.310E-02  1.399E-02 ( 2.868E-02 )  1.087E-02 ( 2.989E-02 )  8.166E-03 ( 3.129E-02 )
  1.000E-01  1.399E-02 ( 2.867E-02 )  1.087E-02 ( 2.989E-02 )  8.166E-03 ( 3.129E-02 )
  1.585E-01  1.399E-02 ( 2.867E-02 )  1.087E-02 ( 2.988E-02 )  8.166E-03 ( 3.129E-02 )
  2.512E-01  1.399E-02 ( 2.867E-02 )  1.087E-02 ( 2.988E-02 )  8.166E-03 ( 3.129E-02 )
  3.981E-01  1.399E-02 ( 2.866E-02 )  1.087E-02 ( 2.987E-02 )  8.166E-03 ( 3.129E-02 )
  6.310E-01  1.399E-02 ( 2.864E-02 )  1.087E-02 ( 2.985E-02 )  8.165E-03 ( 3.126E-02 )
  1.000E+00  1.398E-02 ( 2.858E-02 )  1.086E-02 ( 2.978E-02 )  8.164E-03 ( 3.115E-02 )
  1.585E+00  1.397E-02 ( 2.840E-02 )  1.086E-02 ( 2.957E-02 )  8.161E-03 ( 3.092E-02 )
  2.512E+00  1.393E-02 ( 2.796E-02 )  1.084E-02 ( 2.907E-02 )  8.154E-03 ( 3.033E-02 )
  3.981E+00  1.383E-02 ( 2.689E-02 )  1.080E-02 ( 2.784E-02 )  8.136E-03 ( 2.891E-02 )
  6.310E+00  1.359E-02 ( 2.437E-02 )  1.069E-02 ( 2.499E-02 )  8.092E-03 ( 2.568E-02 )
  1.000E+01  1.301E-02 ( 1.918E-02 )  1.042E-02 ( 1.928E-02 )  7.980E-03 ( 1.937E-02 )
  1.585E+01  1.166E-02 ( 1.145E-02 )  9.780E-03 ( 1.116E-02 )  7.708E-03 ( 1.083E-02 )
