           N LOWER =  3  N UPPER=  5  WAVELENGTH (angstroms)= 12821.67
                electronic density(1/cm**3)       3.162E+18
                conversion factor for wlengths=f0 2.696E+03
                wings factor                  =   1.998E-01

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-01                5.454E-01                3.861E-01
width Stark         7.668E-01                8.275E-01                8.672E-01
width incl.Dop.     7.668E-01                8.275E-01                8.672E-01

  0.000E+00  4.704E-01 ( 4.704E-01 )  4.385E-01 ( 4.385E-01 )  4.193E-01 ( 4.193E-01 )
  1.000E-01  4.489E-01 ( 4.489E-01 )  4.196E-01 ( 4.196E-01 )  4.024E-01 ( 4.024E-01 )
  1.585E-01  4.350E-01 ( 4.350E-01 )  4.082E-01 ( 4.082E-01 )  3.928E-01 ( 3.928E-01 )
  2.512E-01  4.099E-01 ( 4.099E-01 )  3.883E-01 ( 3.883E-01 )  3.762E-01 ( 3.762E-01 )
  3.981E-01  3.620E-01 ( 3.620E-01 )  3.492E-01 ( 3.492E-01 )  3.425E-01 ( 3.425E-01 )
  6.310E-01  2.762E-01 ( 2.762E-01 )  2.750E-01 ( 2.750E-01 )  2.745E-01 ( 2.745E-01 )
  1.000E+00  1.648E-01 ( 1.648E-01 )  1.703E-01 ( 1.703E-01 )  1.732E-01 ( 1.732E-01 )
  1.585E+00  7.517E-02 ( 7.517E-02 )  7.955E-02 ( 7.955E-02 )  8.190E-02 ( 8.190E-02 )
  2.512E+00  2.864E-02 ( 2.864E-02 )  3.037E-02 ( 3.037E-02 )  3.132E-02 ( 3.132E-02 )
  3.981E+00  1.018E-02 ( 1.018E-02 )  1.072E-02 ( 1.072E-02 )  1.101E-02 ( 1.101E-02 )
  6.309E+00  3.408E-03 ( 3.408E-03 )  3.767E-03 ( 3.767E-03 )  3.845E-03 ( 3.845E-03 )
  1.000E+01  1.221E-03 ( 1.221E-03 )  1.353E-03 ( 1.353E-03 )  1.375E-03 ( 1.375E-03 )
  1.585E+01  4.632E-04 ( 4.632E-04 )  4.696E-04 ( 4.696E-04 )  4.773E-04 ( 4.773E-04 )
  2.512E+01  1.740E-04 ( 1.740E-04 )  1.774E-04 ( 1.774E-04 )  1.796E-04 ( 1.796E-04 )
  3.981E+01  6.666E-05 ( 6.666E-05 )  6.715E-05 ( 6.715E-05 )  6.738E-05 ( 6.738E-05 )
