           N LOWER =  3  N UPPER=  7  WAVELENGTH (angstroms)= 10052.19
                electronic density(1/cm**3)       1.000E+17
                conversion factor for wlengths=f0 2.696E+02
                wings factor                  =   4.001E-01

T(K)                                         5.000E+03                1.000E+04
RO/Debye                                     8.654E-01                6.119E-01
width Stark                                  1.248E+00                1.364E+00
width incl.Dop.                              1.248E+00                1.364E+00

  0.000E+00                           3.160E-01 ( 3.160E-01 )  2.913E-01 ( 2.913E-01 )
  1.585E-01                           3.090E-01 ( 3.090E-01 )  2.857E-01 ( 2.857E-01 )
  2.512E-01                           3.020E-01 ( 3.020E-01 )  2.804E-01 ( 2.804E-01 )
  3.981E-01                           2.870E-01 ( 2.870E-01 )  2.691E-01 ( 2.691E-01 )
  6.310E-01                           2.546E-01 ( 2.546E-01 )  2.440E-01 ( 2.440E-01 )
  1.000E+00                           1.930E-01 ( 1.930E-01 )  1.931E-01 ( 1.931E-01 )
  1.585E+00                           1.103E-01 ( 1.103E-01 )  1.168E-01 ( 1.168E-01 )
  2.512E+00                           4.558E-02 ( 4.558E-02 )  4.964E-02 ( 4.964E-02 )
  3.981E+00                           1.548E-02 ( 1.548E-02 )  1.660E-02 ( 1.660E-02 )
  6.309E+00                           4.971E-03 ( 4.971E-03 )  5.189E-03 ( 5.189E-03 )
  1.000E+01                           1.502E-03 ( 1.502E-03 )  1.651E-03 ( 1.651E-03 )
  1.585E+01                           4.979E-04 ( 4.979E-04 )  5.088E-04 ( 5.088E-04 )
  2.512E+01                           1.679E-04 ( 1.679E-04 )  1.706E-04 ( 1.706E-04 )
  3.981E+01                           5.850E-05 ( 5.850E-05 )  5.872E-05 ( 5.872E-05 )
  6.309E+01                           2.101E-05 ( 2.101E-05 )  2.107E-05 ( 2.107E-05 )
  1.000E+02                           7.747E-06 ( 7.747E-06 )  7.768E-06 ( 7.768E-06 )
  1.585E+02                           2.921E-06 ( 2.921E-06 )  2.928E-06 ( 2.928E-06 )
  2.512E+02                           1.120E-06 ( 1.120E-06 )  1.123E-06 ( 1.123E-06 )
  3.981E+02                           4.350E-07 ( 4.350E-07 )  4.359E-07 ( 4.359E-07 )
  6.310E+02                           1.703E-07 ( 1.703E-07 )  1.707E-07 ( 1.707E-07 )
  1.000E+03                           6.709E-08 ( 6.709E-08 )  6.723E-08 ( 6.723E-08 )
  1.585E+03                           2.653E-08 ( 2.653E-08 )  2.658E-08 ( 2.658E-08 )
  2.512E+03                           1.052E-08 ( 1.052E-08 )  1.054E-08 ( 1.054E-08 )
  3.981E+03                           4.175E-09 ( 4.175E-09 )  4.183E-09 ( 4.183E-09 )
  6.310E+03                           1.659E-09 ( 1.659E-09 )  1.662E-09 ( 1.662E-09 )
  1.000E+04                           6.598E-10 ( 6.598E-10 )  6.611E-10 ( 6.611E-10 )
  1.585E+04                           2.625E-10 ( 2.625E-10 )  2.630E-10 ( 2.630E-10 )
  2.512E+04                           1.044E-10 ( 1.044E-10 )  1.046E-10 ( 1.046E-10 )
  3.981E+04                           4.157E-11 ( 4.157E-11 )  4.166E-11 ( 4.166E-11 )
  6.310E+04                                                    1.658E-11 ( 1.658E-11 )
  1.000E+05                                                    6.599E-12 ( 6.599E-12 )
  1.585E+05                                                    2.627E-12 ( 2.627E-12 )
  2.512E+05                                                    1.046E-12 ( 1.046E-12 )
  3.981E+05                                                    4.163E-13 ( 4.163E-13 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            4.332E-01                3.067E-01                2.171E-01
width Stark         1.444E+00                1.491E+00                1.504E+00
width incl.Dop.     1.444E+00                1.491E+00                1.504E+00

  0.000E+00  2.759E-01 ( 2.759E-01 )  2.673E-01 ( 2.673E-01 )  2.647E-01 ( 2.647E-01 )
  1.585E-01  2.712E-01 ( 2.712E-01 )  2.631E-01 ( 2.631E-01 )  2.609E-01 ( 2.609E-01 )
  2.512E-01  2.668E-01 ( 2.668E-01 )  2.593E-01 ( 2.593E-01 )  2.574E-01 ( 2.574E-01 )
  3.981E-01  2.575E-01 ( 2.575E-01 )  2.511E-01 ( 2.511E-01 )  2.496E-01 ( 2.496E-01 )
  6.310E-01  2.365E-01 ( 2.365E-01 )  2.321E-01 ( 2.321E-01 )  2.313E-01 ( 2.313E-01 )
  1.000E+00  1.921E-01 ( 1.921E-01 )  1.911E-01 ( 1.911E-01 )  1.909E-01 ( 1.909E-01 )
  1.585E+00  1.207E-01 ( 1.207E-01 )  1.226E-01 ( 1.226E-01 )  1.230E-01 ( 1.230E-01 )
  2.512E+00  5.249E-02 ( 5.249E-02 )  5.418E-02 ( 5.418E-02 )  5.442E-02 ( 5.442E-02 )
  3.981E+00  1.741E-02 ( 1.741E-02 )  1.789E-02 ( 1.789E-02 )  1.794E-02 ( 1.794E-02 )
  6.309E+00  5.340E-03 ( 5.340E-03 )  5.428E-03 ( 5.428E-03 )  5.439E-03 ( 5.439E-03 )
  1.000E+01  1.669E-03 ( 1.669E-03 )  1.680E-03 ( 1.680E-03 )  1.680E-03 ( 1.680E-03 )
  1.585E+01  5.110E-04 ( 5.110E-04 )  5.124E-04 ( 5.124E-04 )  5.133E-04 ( 5.133E-04 )
  2.512E+01  1.711E-04 ( 1.711E-04 )  1.714E-04 ( 1.714E-04 )  1.716E-04 ( 1.716E-04 )
  3.981E+01  5.883E-05 ( 5.883E-05 )  5.888E-05 ( 5.888E-05 )  5.891E-05 ( 5.891E-05 )
  6.309E+01  2.110E-05 ( 2.110E-05 )  2.112E-05 ( 2.112E-05 )  2.113E-05 ( 2.113E-05 )
  1.000E+02  7.778E-06 ( 7.778E-06 )  7.783E-06 ( 7.783E-06 )  7.786E-06 ( 7.786E-06 )
  1.585E+02  2.931E-06 ( 2.931E-06 )  2.933E-06 ( 2.933E-06 )  2.934E-06 ( 2.934E-06 )
  2.512E+02  1.124E-06 ( 1.124E-06 )  1.125E-06 ( 1.125E-06 )  1.125E-06 ( 1.125E-06 )
  3.981E+02  4.363E-07 ( 4.363E-07 )  4.366E-07 ( 4.366E-07 )  4.367E-07 ( 4.367E-07 )
  6.310E+02  1.709E-07 ( 1.709E-07 )  1.709E-07 ( 1.709E-07 )  1.710E-07 ( 1.710E-07 )
  1.000E+03  6.730E-08 ( 6.730E-08 )  6.733E-08 ( 6.733E-08 )  6.735E-08 ( 6.735E-08 )
  1.585E+03  2.661E-08 ( 2.661E-08 )  2.662E-08 ( 2.662E-08 )  2.663E-08 ( 2.663E-08 )
  2.512E+03  1.055E-08 ( 1.055E-08 )  1.055E-08 ( 1.055E-08 )  1.055E-08 ( 1.055E-08 )
  3.981E+03  4.187E-09 ( 4.187E-09 )  4.190E-09 ( 4.190E-09 )  4.190E-09 ( 4.190E-09 )
  6.310E+03  1.664E-09 ( 1.664E-09 )  1.665E-09 ( 1.665E-09 )  1.665E-09 ( 1.665E-09 )
