           N LOWER =  3  N UPPER=  9  WAVELENGTH (angstroms)=  9231.60
                electronic density(1/cm**3)       1.000E+15
                conversion factor for wlengths=f0 1.251E+01
                wings factor                  =   8.885E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            5.680E-01                4.017E-01                2.840E-01
width Stark         2.342E+00                2.465E+00                2.542E+00
width incl.Dop.     2.342E+00                2.465E+00                2.542E+00

  0.000E+00  1.718E-01 ( 1.718E-01 )  1.638E-01 ( 1.638E-01 )  1.597E-01 ( 1.597E-01 )
  6.310E-02  1.713E-01 ( 1.713E-01 )  1.634E-01 ( 1.634E-01 )  1.594E-01 ( 1.594E-01 )
  1.000E-01  1.711E-01 ( 1.711E-01 )  1.632E-01 ( 1.632E-01 )  1.592E-01 ( 1.592E-01 )
  1.585E-01  1.707E-01 ( 1.707E-01 )  1.629E-01 ( 1.629E-01 )  1.589E-01 ( 1.589E-01 )
  2.512E-01  1.700E-01 ( 1.700E-01 )  1.624E-01 ( 1.624E-01 )  1.585E-01 ( 1.585E-01 )
  3.981E-01  1.677E-01 ( 1.677E-01 )  1.605E-01 ( 1.605E-01 )  1.568E-01 ( 1.568E-01 )
  6.310E-01  1.623E-01 ( 1.623E-01 )  1.561E-01 ( 1.561E-01 )  1.528E-01 ( 1.528E-01 )
  1.000E+00  1.497E-01 ( 1.497E-01 )  1.455E-01 ( 1.455E-01 )  1.431E-01 ( 1.431E-01 )
  1.585E+00  1.225E-01 ( 1.225E-01 )  1.217E-01 ( 1.217E-01 )  1.209E-01 ( 1.209E-01 )
  2.512E+00  7.771E-02 ( 7.771E-02 )  7.976E-02 ( 7.976E-02 )  8.074E-02 ( 8.074E-02 )
  3.981E+00  3.416E-02 ( 3.416E-02 )  3.581E-02 ( 3.581E-02 )  3.675E-02 ( 3.675E-02 )
  6.310E+00  1.138E-02 ( 1.138E-02 )  1.184E-02 ( 1.184E-02 )  1.209E-02 ( 1.209E-02 )
  1.000E+01  3.472E-03 ( 3.472E-03 )  3.548E-03 ( 3.548E-03 )  3.588E-03 ( 3.588E-03 )
  1.585E+01  1.063E-03 ( 1.063E-03 )  1.071E-03 ( 1.071E-03 )  1.077E-03 ( 1.077E-03 )
  2.512E+01  3.191E-04 ( 3.191E-04 )  3.201E-04 ( 3.201E-04 )  3.206E-04 ( 3.206E-04 )
