           N LOWER =  3  N UPPER= 10  WAVELENGTH (angstroms)=  9017.44
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   1.140E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         2.752E+00                2.766E+00                2.721E+00
width incl.Dop.     2.752E+00                2.766E+00                2.721E+00

  0.000E+00  1.447E-01 ( 1.447E-01 )  1.443E-01 ( 1.443E-01 )  1.462E-01 ( 1.462E-01 )
  1.585E-02  1.446E-01 ( 1.446E-01 )  1.442E-01 ( 1.442E-01 )  1.461E-01 ( 1.461E-01 )
  2.512E-02  1.445E-01 ( 1.445E-01 )  1.441E-01 ( 1.441E-01 )  1.461E-01 ( 1.461E-01 )
  3.981E-02  1.444E-01 ( 1.444E-01 )  1.440E-01 ( 1.440E-01 )  1.460E-01 ( 1.460E-01 )
  6.310E-02  1.443E-01 ( 1.443E-01 )  1.439E-01 ( 1.439E-01 )  1.459E-01 ( 1.459E-01 )
  1.000E-01  1.440E-01 ( 1.440E-01 )  1.436E-01 ( 1.436E-01 )  1.456E-01 ( 1.456E-01 )
  1.585E-01  1.437E-01 ( 1.437E-01 )  1.433E-01 ( 1.433E-01 )  1.453E-01 ( 1.453E-01 )
  2.512E-01  1.431E-01 ( 1.431E-01 )  1.427E-01 ( 1.427E-01 )  1.447E-01 ( 1.447E-01 )
  3.981E-01  1.420E-01 ( 1.420E-01 )  1.416E-01 ( 1.416E-01 )  1.436E-01 ( 1.436E-01 )
  6.310E-01  1.382E-01 ( 1.382E-01 )  1.379E-01 ( 1.379E-01 )  1.399E-01 ( 1.399E-01 )
  1.000E+00  1.296E-01 ( 1.296E-01 )  1.295E-01 ( 1.295E-01 )  1.310E-01 ( 1.310E-01 )
  1.585E+00  1.112E-01 ( 1.112E-01 )  1.113E-01 ( 1.113E-01 )  1.121E-01 ( 1.121E-01 )
  2.512E+00  7.863E-02 ( 7.863E-02 )  7.882E-02 ( 7.882E-02 )  7.869E-02 ( 7.869E-02 )
  3.981E+00  4.019E-02 ( 4.019E-02 )  4.017E-02 ( 4.017E-02 )  3.954E-02 ( 3.954E-02 )
  6.309E+00  1.464E-02 ( 1.464E-02 )  1.453E-02 ( 1.453E-02 )  1.413E-02 ( 1.413E-02 )
  1.000E+01  4.494E-03 ( 4.494E-03 )  4.452E-03 ( 4.452E-03 )  4.323E-03 ( 4.323E-03 )
  1.585E+01  1.338E-03 ( 1.338E-03 )  1.334E-03 ( 1.334E-03 )  1.304E-03 ( 1.304E-03 )
  2.512E+01  3.864E-04 ( 3.864E-04 )  4.017E-04 ( 4.017E-04 )  3.976E-04 ( 3.976E-04 )
  3.981E+01  1.192E-04 ( 1.192E-04 )  1.193E-04 ( 1.193E-04 )  1.193E-04 ( 1.193E-04 )
  6.309E+01  3.720E-05 ( 3.720E-05 )  3.721E-05 ( 3.721E-05 )  3.721E-05 ( 3.721E-05 )
  1.000E+02  1.183E-05 ( 1.183E-05 )  1.183E-05 ( 1.183E-05 )  1.183E-05 ( 1.183E-05 )
  1.585E+02  3.800E-06 ( 3.800E-06 )  3.801E-06 ( 3.801E-06 )  3.801E-06 ( 3.801E-06 )
  2.512E+02  1.159E-06 ( 1.159E-06 )  1.159E-06 ( 1.159E-06 )  1.159E-06 ( 1.159E-06 )
  3.981E+02  3.702E-07 ( 3.702E-07 )  3.702E-07 ( 3.702E-07 )  3.702E-07 ( 3.702E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         2.633E+00                2.520E+00                2.429E+00
width incl.Dop.     2.687E+00                2.622E+00                2.592E+00

  0.000E+00  1.484E-01 ( 1.502E-01 )  1.518E-01 ( 1.554E-01 )  1.541E-01 ( 1.617E-01 )
  1.585E-02  1.484E-01 ( 1.501E-01 )  1.518E-01 ( 1.553E-01 )  1.541E-01 ( 1.616E-01 )
  2.512E-02  1.484E-01 ( 1.500E-01 )  1.518E-01 ( 1.552E-01 )  1.541E-01 ( 1.615E-01 )
  3.981E-02  1.484E-01 ( 1.499E-01 )  1.518E-01 ( 1.551E-01 )  1.541E-01 ( 1.614E-01 )
  6.310E-02  1.484E-01 ( 1.498E-01 )  1.517E-01 ( 1.550E-01 )  1.541E-01 ( 1.612E-01 )
  1.000E-01  1.483E-01 ( 1.496E-01 )  1.516E-01 ( 1.547E-01 )  1.539E-01 ( 1.609E-01 )
  1.585E-01  1.480E-01 ( 1.492E-01 )  1.514E-01 ( 1.543E-01 )  1.537E-01 ( 1.604E-01 )
  2.512E-01  1.474E-01 ( 1.486E-01 )  1.507E-01 ( 1.536E-01 )  1.530E-01 ( 1.597E-01 )
  3.981E-01  1.459E-01 ( 1.474E-01 )  1.491E-01 ( 1.523E-01 )  1.513E-01 ( 1.583E-01 )
  6.310E-01  1.421E-01 ( 1.433E-01 )  1.451E-01 ( 1.479E-01 )  1.472E-01 ( 1.533E-01 )
  1.000E+00  1.330E-01 ( 1.338E-01 )  1.356E-01 ( 1.375E-01 )  1.375E-01 ( 1.418E-01 )
  1.585E+00  1.132E-01 ( 1.136E-01 )  1.149E-01 ( 1.154E-01 )  1.162E-01 ( 1.175E-01 )
  2.512E+00  7.900E-02 ( 7.838E-02 )  7.898E-02 ( 7.793E-02 )  7.933E-02 ( 7.724E-02 )
  3.981E+00  3.888E-02 ( 3.846E-02 )  3.801E-02 ( 3.704E-02 )  3.754E-02 ( 3.541E-02 )
  6.309E+00  1.362E-02 ( 1.349E-02 )  1.298E-02 ( 1.272E-02 )  1.241E-02 ( 1.189E-02 )
  1.000E+01  4.138E-03 ( 4.121E-03 )  3.910E-03 ( 3.876E-03 )  3.685E-03 ( 3.620E-03 )
  1.585E+01  1.257E-03 ( 1.255E-03 )  1.194E-03 ( 1.190E-03 )  1.125E-03 ( 1.118E-03 )
  2.512E+01  3.894E-04 ( 3.891E-04 )  3.750E-04 ( 3.745E-04 )  3.551E-04 ( 3.542E-04 )
  3.981E+01  1.217E-04 ( 1.217E-04 )  1.190E-04 ( 1.189E-04 )  1.139E-04 ( 1.138E-04 )
  6.309E+01  3.723E-05 ( 3.722E-05 )  3.750E-05 ( 3.750E-05 )  3.646E-05 ( 3.645E-05 )
  1.000E+02  1.183E-05 ( 1.183E-05 )  1.183E-05 ( 1.183E-05 )  1.186E-05 ( 1.186E-05 )
  1.585E+02  3.802E-06 ( 3.801E-06 )  3.802E-06 ( 3.801E-06 )  3.802E-06 ( 3.801E-06 )
  2.512E+02  1.159E-06 ( 1.159E-06 )  1.235E-06 ( 1.235E-06 )  1.235E-06 ( 1.235E-06 )
  3.981E+02  3.702E-07 ( 3.702E-07 )  4.080E-07 ( 4.080E-07 )  4.080E-07 ( 4.080E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-02                2.840E-02                2.011E-02
width Stark         2.337E+00                2.237E+00                2.125E+00
width incl.Dop.     2.650E+00                2.839E+00                3.195E+00

  0.000E+00  1.534E-01 ( 1.688E-01 )  1.471E-01 ( 1.769E-01 )  1.339E-01 ( 1.867E-01 )
  1.000E-02  1.534E-01 ( 1.687E-01 )  1.471E-01 ( 1.768E-01 )  1.339E-01 ( 1.866E-01 )
  1.585E-02  1.534E-01 ( 1.687E-01 )  1.471E-01 ( 1.768E-01 )  1.339E-01 ( 1.866E-01 )
  2.512E-02  1.534E-01 ( 1.686E-01 )  1.471E-01 ( 1.767E-01 )  1.339E-01 ( 1.865E-01 )
  3.981E-02  1.534E-01 ( 1.685E-01 )  1.471E-01 ( 1.767E-01 )  1.339E-01 ( 1.864E-01 )
  6.310E-02  1.533E-01 ( 1.684E-01 )  1.471E-01 ( 1.765E-01 )  1.339E-01 ( 1.863E-01 )
  1.000E-01  1.532E-01 ( 1.682E-01 )  1.470E-01 ( 1.763E-01 )  1.338E-01 ( 1.860E-01 )
  1.585E-01  1.530E-01 ( 1.679E-01 )  1.468E-01 ( 1.759E-01 )  1.336E-01 ( 1.855E-01 )
  2.512E-01  1.523E-01 ( 1.672E-01 )  1.462E-01 ( 1.751E-01 )  1.333E-01 ( 1.847E-01 )
  3.981E-01  1.507E-01 ( 1.649E-01 )  1.449E-01 ( 1.725E-01 )  1.323E-01 ( 1.817E-01 )
  6.310E-01  1.468E-01 ( 1.593E-01 )  1.416E-01 ( 1.663E-01 )  1.300E-01 ( 1.744E-01 )
  1.000E+00  1.375E-01 ( 1.464E-01 )  1.337E-01 ( 1.516E-01 )  1.243E-01 ( 1.577E-01 )
  1.585E+00  1.171E-01 ( 1.196E-01 )  1.161E-01 ( 1.216E-01 )  1.114E-01 ( 1.233E-01 )
  2.512E+00  8.071E-02 ( 7.617E-02 )  8.304E-02 ( 7.446E-02 )  8.514E-02 ( 7.186E-02 )
  3.981E+00  3.800E-02 ( 3.360E-02 )  4.046E-02 ( 3.156E-02 )  4.601E-02 ( 2.935E-02 )
  6.310E+00  1.213E-02 ( 1.110E-02 )  1.246E-02 ( 1.035E-02 )  1.431E-02 ( 9.603E-03 )
  1.000E+01  3.500E-03 ( 3.376E-03 )  3.395E-03 ( 3.148E-03 )  3.446E-03 ( 2.932E-03 )
  1.585E+01  1.056E-03 ( 1.042E-03 )  9.990E-04 ( 9.718E-04 )  9.258E-04 ( 8.700E-04 )
  2.512E+01  3.326E-04 ( 3.309E-04 )  3.119E-04 ( 3.088E-04 )  2.851E-04 ( 2.797E-04 )
  3.981E+01  1.056E-04 ( 1.054E-04 )  9.898E-05 ( 9.858E-05 )  9.251E-05 ( 9.177E-05 )
  6.310E+01  3.476E-05 ( 3.474E-05 )  3.271E-05 ( 3.266E-05 )  3.055E-05 ( 3.046E-05 )
  1.000E+02  1.146E-05 ( 1.145E-05 )  1.087E-05 ( 1.086E-05 )  1.019E-05 ( 1.018E-05 )
  1.585E+02  3.778E-06 ( 3.778E-06 )  3.623E-06 ( 3.622E-06 )  3.423E-06 ( 3.421E-06 )
  2.512E+02  1.248E-06 ( 1.248E-06 )  1.213E-06 ( 1.212E-06 )  1.157E-06 ( 1.157E-06 )

T(K)                1.259E+06
RO/Debye            1.423E-02
width Stark         2.087E-02
width incl.Dop.     3.041E-01

  0.000E+00  1.146E-01 ( 1.998E-01 )
  1.000E-02  1.146E-01 ( 1.997E-01 )
  1.585E-02  1.146E-01 ( 1.996E-01 )
  2.512E-02  1.146E-01 ( 1.995E-01 )
  3.981E-02  1.146E-01 ( 1.994E-01 )
  6.310E-02  1.146E-01 ( 1.992E-01 )
  1.000E-01  1.146E-01 ( 1.988E-01 )
  1.585E-01  1.145E-01 ( 1.982E-01 )
  2.512E-01  1.143E-01 ( 1.972E-01 )
  3.981E-01  1.137E-01 ( 1.935E-01 )
  6.310E-01  1.123E-01 ( 1.847E-01 )
  1.000E+00  1.090E-01 ( 1.645E-01 )
  1.585E+00  1.010E-01 ( 1.240E-01 )
  2.512E+00  8.373E-02 ( 6.804E-02 )
  3.981E+00  5.326E-02 ( 2.690E-02 )
  6.310E+00  1.962E-02 ( 8.858E-03 )
  1.000E+01  4.030E-03 ( 2.752E-03 )
  1.585E+01  9.627E-04 ( 8.535E-04 )
  2.512E+01  2.743E-04 ( 2.619E-04 )
  3.981E+01  8.689E-05 ( 8.559E-05 )
  6.310E+01  2.853E-05 ( 2.835E-05 )
  1.000E+02  9.503E-06 ( 9.481E-06 )
  1.585E+02  3.200E-06 ( 3.197E-06 )
  2.512E+02  1.088E-06 ( 1.087E-06 )
  3.981E+02  3.743E-07 ( 3.743E-07 )
  6.310E+02  1.316E-07 ( 1.316E-07 )
  1.000E+03  4.771E-08 ( 4.771E-08 )
  1.585E+03  1.818E-08 ( 1.818E-08 )
  2.512E+03  7.379E-09 ( 7.379E-09 )
  3.981E+03  3.258E-09 ( 3.258E-09 )
