           N LOWER =  3  N UPPER= 25  WAVELENGTH (angstroms)=  8325.76
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   1.428E+01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         1.491E+01                1.433E+01                1.372E+01
width incl.Dop.     3.235E+01                4.187E+01                5.596E+01

  0.000E+00  1.361E-02 ( 2.607E-02 )  1.068E-02 ( 2.718E-02 )  8.078E-03 ( 2.847E-02 )
  3.981E-02  1.361E-02 ( 2.607E-02 )  1.068E-02 ( 2.718E-02 )  8.078E-03 ( 2.846E-02 )
  6.310E-02  1.361E-02 ( 2.607E-02 )  1.068E-02 ( 2.718E-02 )  8.078E-03 ( 2.846E-02 )
  1.000E-01  1.361E-02 ( 2.607E-02 )  1.068E-02 ( 2.717E-02 )  8.078E-03 ( 2.846E-02 )
  1.585E-01  1.361E-02 ( 2.606E-02 )  1.068E-02 ( 2.717E-02 )  8.078E-03 ( 2.846E-02 )
  2.512E-01  1.361E-02 ( 2.606E-02 )  1.068E-02 ( 2.717E-02 )  8.078E-03 ( 2.845E-02 )
  3.981E-01  1.361E-02 ( 2.605E-02 )  1.067E-02 ( 2.716E-02 )  8.078E-03 ( 2.844E-02 )
  6.310E-01  1.361E-02 ( 2.604E-02 )  1.067E-02 ( 2.715E-02 )  8.078E-03 ( 2.843E-02 )
  1.000E+00  1.360E-02 ( 2.600E-02 )  1.067E-02 ( 2.710E-02 )  8.076E-03 ( 2.837E-02 )
  1.585E+00  1.359E-02 ( 2.587E-02 )  1.066E-02 ( 2.695E-02 )  8.074E-03 ( 2.820E-02 )
  2.512E+00  1.355E-02 ( 2.555E-02 )  1.065E-02 ( 2.658E-02 )  8.067E-03 ( 2.776E-02 )
  3.981E+00  1.346E-02 ( 2.476E-02 )  1.061E-02 ( 2.566E-02 )  8.049E-03 ( 2.669E-02 )
  6.310E+00  1.323E-02 ( 2.285E-02 )  1.050E-02 ( 2.349E-02 )  8.006E-03 ( 2.420E-02 )
  1.000E+01  1.269E-02 ( 1.872E-02 )  1.025E-02 ( 1.890E-02 )  7.897E-03 ( 1.909E-02 )
  1.585E+01  1.142E-02 ( 1.195E-02 )  9.633E-03 ( 1.172E-02 )  7.632E-03 ( 1.145E-02 )
  2.512E+01  8.813E-03 ( 5.323E-03 )  8.255E-03 ( 5.067E-03 )  7.005E-03 ( 4.791E-03 )
  3.981E+01  4.734E-03 ( 1.764E-03 )  5.636E-03 ( 1.660E-03 )  5.654E-03 ( 1.550E-03 )
  6.310E+01  1.262E-03 ( 5.281E-04 )  2.267E-03 ( 5.001E-04 )  3.325E-03 ( 4.685E-04 )
  1.000E+02  2.146E-04 ( 1.591E-04 )  3.646E-04 ( 1.527E-04 )  9.393E-04 ( 1.446E-04 )
  1.585E+02  5.359E-05 ( 4.881E-05 )  5.861E-05 ( 4.753E-05 )  9.165E-05 ( 4.564E-05 )
  2.512E+02  1.546E-05 ( 1.493E-05 )  1.596E-05 ( 1.487E-05 )  1.684E-05 ( 1.446E-05 )
